COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,REPATRIATION,VACCINE/MCM DEPLOYED,RESEARCH ADVANCEMENT,COMMENTS
 International Olympic Committee,3/3/2020,Media,,"On 3 March, the International Olympic Committee (OIC) announced that it remained committed to staging the event as scheduled between 24 July and 9 August, after Japan’s Olympic minister suggested it could be postponed until later in the year. ",,,,,,,,,,x,,,,https://www.theguardian.com/world/live/2020/mar/03/coronavirus-live-updates-china-latest-news-us-australia-deaths-markets-italy-iran-update-cases-italy-south-korea-japan?page=with:block-5e5e78198f08e1332474e75b#block-5e5e78198f08e1332474e75b
Afghanistan,2/6/2020,Media,,"The Afghan-Chinese border is closed to travelers. Kabul has gathered a joint ministerial meeting involving health, public, aviation and foreign ministry officials in order to discuss ""necessary measures and actions.""",,x,,,,,,,,,,,,https://www.newsweek.com/china-neighbors-close-borders-coronavirus-sars-1484978
Afghanistan,2/11/2020,Media,1006294536,10-bed isolation ward has been opened for coronavirus patients in western Herat province.,,,,,x,,,,,,,,,https://www.pajhwok.com/en/2020/02/11/firoz-opens-10-bed-virus-ward-herat
Afghanistan,2/24/2020,Media,,Afghanistan suspends all passenger movement (air and ground) to and from Iran  over fears of the novel coronavirus. ,,x,,,,x,x,,,,,,,https://www.thenational.ae/world/seven-countries-close-borders-with-iran-over-coronavirus-outbreak-1.983388
Afghanistan,2/27/2020,Media,,"Afghanistan’s national security council announced on Monday that all air travel to and from Iran had been suspended and borders had been closed. However, an estimated 3,000 people cross between Iran and Afghanistan illegally every day.
Oral swabs have been sent from Herat to Kabul’s central public health laboratory for testing. The laboratory in Kabul is the only one in the country of 35 million people able to test for the virus, but it has just three machines.
WHO in Afghanistan said work to prepare for an outbreak had been underway since January, but the country needed at least $3.5m (£2.7m) to implement the measures needed. More than 700 surveillance-reporting health facilities have already been allocated in the provinces, but more funding is needed to equip isolated areas, as well as more staff, protective equipment and mechanical ventilation machines. ",x,x,,,x,,,,,,,,,https://www.theguardian.com/global-development/2020/feb/26/coronavirus-in-a-war-zone-afghanistan-braces-for-outbreak-after-first-case
Afghanistan ,2/3/2020,Media,,"The Afghan health authorities are establishing isolation wards across the country ahead of a potential influx of novel coronavirus cases, the public health minister said on 2 February. No cases have been recorded in Afghanistan so far, and the war-torn country's health services have set up screening units at airports and borders. in Kabul, authorities have created a 100-bed isolation ward, and another 200 or so beds will be made available across the country in Afghanistan's creaking hospitals.
About 40 Afghan students are currently in Wuhan - the epicentre of the coronavirus outbreak in China. The Minister said the Afghan government had a chartered plane at the ready to bring them home if needed.",x,,x,,x,,,,,,x,,,https://www.channelnewsasia.com/news/asia/afghanistan-quarantine-wuhan-coronavirus-cases-12383662
Africa,2/6/2020,Media,,"Media reports highlight the risk of spread of 2019-nCoV in Africa, as Africa is home to 1.2 billion people from 54 countries, including an estimated 1 million Chinese nationals, who tend to work in business, construction, oil and mining industries. Flights from the Asian power bring at least 1,000 travelers to the continent each day. 
But as of this week, only six labs could test for the novel coronavirus. The Institut Pasteur in Dakar, the region's top biomedical research facility, and another lab in Sounth Africa are the only two on the continent that had testing capabilities before Nigeria, Ghana, Madagascar and Sierra Leone received the supplies this week. 
To address that concern, on 6 February, medical teams from 15 African nations are convening in Dakar for an emergency workshop on the first layer of readiness: diagnosing the new virus. WHO officials said 24 countries, encompassing most of Africa's population, will receive the material needed to conduct the tests by the end of the week. 
Countries with large numbers of travelers arriving from China are screening at airports with thermal monitors and isolating anyone who shows symptoms. Mozambique stopped issuing visas for Chinese nationals. South Africa's postal service no longer accepted packages from China. Six African airlines halted flights they've deemed hazardous, but Ethiopian Airlines has maintained 17 weekly flights to four Chinese cities, not including Wuhan.
",,,x,,x,,x,,,,,,,https://www.washingtonpost.com/world/africa/africa-has-12-billion-people-and-only-six-labs-that-can-test-for-coronavirus-how-quickly-can-they-ramp-up/2020/02/05/68af96de-4758-11ea-91ab-ce439aa5c7c1_story.html
Africa,2/10/2020,Official,,"On 5 February, The Africa Centres for Disease Control and Prevention (Africa CDC) has established the Africa Task Force for Novel Coronavirus (AFCOR), to oversee preparedness and response to the global epidemic of the 2019 Novel Coronavirus (2019-nCoV) disease. 
This Task Force consists of five working groups: surveillance, including screening at points of entry; infection prevention and control in healthcare facilities; clinical management of persons with severe 2019-nCoV infection; laboratory diagnosis and subtyping; and risk communication and community engagement. Each of the working groups will be led by a representative of a Member State and Africa CDC, and membership in the groups will include representatives of Member States, WHO, and other subject matter experts and partners.",,,,,,,,,,,,,,http://www.africacdc.org/press-centre/news/115-africa-cdc-establishes-continent-wide-task-force-to-respond-to-global-coronavirus-epidemic
Africa,2/18/2020,Media,1006340358,"The Africa Centres for Disease Control and Prevention (Africa CDC) is appealing to o African countries to allow their citizens return home from China. Several countries including Uganda and Kenya have been officially rejecting calls fro evacuation from their citizens in China.
The centre says it has trained 15 African countries that were most at risk and they would be ready to screen for the coronavirus from 10 February.",,,,,,,,,x,,x,,,http://www.africanews.com/2020/02/18/ivory-coast-tests-suspected-coronavirus-case/
Africa,2/18/2020,Media,1006340358,"The Ministers of the Economic Community of West African States (ECOWAS) on 14 February met in the Malian capital with the stated objective of “strengthening the capacities of national and regional entities in the region in the surveillance, prevention and early detection of epidemics” due to the novel coronavirus. During the meeting it was decided to “strengthen cross-border coordination”, as well as vigilance with regard to travellers from China, he said without further details.",x,,x,x,x,,,,,,,,,http://www.africanews.com/2020/02/18/ivory-coast-tests-suspected-coronavirus-case/
