COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,TESTING & CASE DETECTION  ,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN / CANCELLATION,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,RESTRICTING OR LIMITING GATHERINGS,CLOSING PUBLIC PLACES,LOCKDOWN OR CURFEW,EASIND RESTRICTIONS,VACCINE/MCM DEPLOYED,PPE,RESEARCH ADVANCEMENT,COMMENTS,
WHO,29/01/2020,Official,,"The Director-General is convening an IHR Emergency Committee on the Novel Coronavirus 2019_nCoV on 30 January 2020, to 1) Review the status of the Novel Coronavirus 2019_nCoV outbreak; 2) Provide views to the Director-General on whether the event constitutes a public health emergency of international concern; 3) Provide views to the Director-General on the issuance of potential Temporary Recommendations.",,,,,,,,,,,,,,,,x,,,IHR Announcement,
United Kingdom,29/01/2020,Official,,"According to Public Health England, as of Tuesday 28 January 2020, there are currently no confirmed cases in the UK or of UK citizens abroad, and the risk to the public remains low. The Foreign and Commonwealth Office (FCO) are advising against all but essential travel to the Hubei Province. Anyone travelling to China should remain vigilant and check the latest travel advice on GOV.UK. PHE urges those who return from Wuhan in the last 14 days to stay indoors and avoid contact with other people as you would with other flu viruses and call NHS 111 to inform about the travel history",,,,,,x,x,,,,,,,,,,,,https://www.gov.uk/government/news/wuhan-novel-coronavirus-and-avian-flu-advice-for-travel-to-china,
Brazil,29/01/2020,Official,1006195615,"On 28 January 2020, the Brazilian ambassador to China declared that China has not yet authorized flights from other countries to evacuate its citizens from Hubei province. To date, Chinese authorities are not allowing anyone to leave the area. However, countries like the United States, France and Japan are already mobilizing to withdraw their citizens from the region. The Brazilian ambassador indicated that the number of Brazilians living in the area is estimated at between 40 and 70 people and that the main request he has received at this time is from residents who want to leave the region, a request that is not possible to be accomplished now due to quarantine measures implemented in Hubei.",,,,,,,,,,,,,,,,,,,https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2020/01/28/embaixador-brasileiro-na-china-entrevista.htm,
Brazil,29/01/2020,Official,1006202110,"The Department of Animal Health, of the Ministry of Agriculture, Livestock and Supply (DSA/Mapa), published a technical report on 27 January with coronavirus information. Based on the available information, it is not known whether 2019-nCoV has any impact on animal health and no specific events have been reported on any animal species. The Ministry's recommendation is that veterinarians should maintain a high level of surveillance and report any unusual events detected in any animal species to the veterinary authorities, immediately notifying the Official Veterinary Service via e-SISBRAVET (the online Brazilian Veterinary Emergency System). For the population, the Ministry advises that when visiting open markets or fairs selling live animals, meat, fish or fresh animal products, hygiene and prevention measures must be applied.",,,,,,,,,,,,,,,,,,,http://crmvba.org.br/nota-tecnica-do-mapa-faz-esclarecimentos-sobre-o-coronavirus/,
UNICEF,29/01/2020,Official,1006204342,"A UNICEF shipment of respiratory masks and protective suits for health workers landed in Shanghai, China on 29 January to support China’s response to the novel coronavirus (2019-nCoV) outbreak. Weighing 6 metric tons, the supplies were sent from UNICEF’s global supply hub in Copenhagen and will be dispatched to Wuhan. UNICEF will be sending more items in the coming days and weeks. UNICEF is in close contact with the Chinese authorities, including the Ministry of Commerce and the National Health Commission, the World Health Organization ",,,,,,,,,,,,,,,,,,,https://reliefweb.int/report/china/unicef-ships-6-metric-tons-supplies-support-china-s-response-novel-coronavirus-outbreak,
Canada,29/01/2020,Official,1006204180,"On 29 January, Public Health Agency of Canada advised the public to Avoid all travel to the province of Hubei, including the cities of Wuhan, Huanggang and Ezhou, due to the imposition of heavy travel restrictions in order to limit the spread of a novel coronavirus. Also Avoid non-essential travel to China due to an outbreak of a novel coronavirus.",x,,x,x,,,x,x,,,,,,,,,,,https://travel.gc.ca/destinations/china?utm_source=china&utm_medium=social-twitter-travel-eng&utm_content=2020-01-29&utm_campaign=CAAupdate#risk,
China,30/01/2020,Official,,"China CDC on 29 January published an educational document for public prevention of penumonia by nCoV, called ""Interim Guidelines for Use of Masks""  ",,,,,,,,,,x,,,,,,,,,http://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_2275/202001/t20200129_211523.html,
China,30/01/2020,Official,,China CDC posts real time case  count updates and epidemic trend on a graphic site: http://2019ncov.chinacdc.cn/2019-nCoV/,,,,,,,,,,,,,,,,,,,http://2019ncov.chinacdc.cn/2019-nCoV/,
China,30/01/2020,Official,,"China CDC posted on its weekly journal a study called "" Notes from the Field: An Outbreak of NCIP (2019-nCoV) Infection in China — Wuhan, Hubei Province, 2019−2020""",,,,,,,,,,,,,,,,,,x,http://weekly.chinacdc.cn/en/article/id/e3c63ca9-dedb-4fb6-9c1c-d057adb77b57,
China,30/01/2020,Official,,"China CDC posted on its weekly journal a study called "" Notes from the Field: Description of the First Strain of 2019-nCoV, C-Tan-nCoV Wuhan Strain — National Pathogen Resource Center, China, 2020""",,,,,,,,,,,,,,,,,,x,http://weekly.chinacdc.cn/en/article/id/e3a460f1-661b-4180-b562-ecd8e9502082,
