NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY /ORGANIZATION,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,SUMMARY,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE ADDED,Sys_BatchID
11593,GPHIN00453,GPHIN,453,AFRO,Botswana,BWA,72,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"WHO has provided PPE kits and has ordered digital thermometers and other essentials to support key preparedness and response activities such as screening and case management. Representatives from WHO and technical staff continue to provide technical guidance, training and support on a daily basis in all areas of preparedness and response. All staff including cleaners, security, immigration, revenue services, restaurant workers and others at ports of entry have been trained in hygiene and infection control while health staff have received comprehensive training from surveillance, infection control to case management.
WHO Representative and offiicials from the Minister of Health and Wellness have toured key facilities including the Sir Seretse Khama International Airport in the capital Gaborone, the isolation facility in Block 8 and a designated bigger isolation facility Sir Ketumile Masire Teaching Hospital to ensure the country is capable of handling increasing numbers of people needing isolation and management. They also visited the busiest land border post between Botswana and South Africa to monitor Port Health Services and motivate staff. 
The country currently has 5 suspected cases and has not recorded a confirmed case yet. Test results from the Regional Laboratory in South Africa will shed further light on this.",,,,Official,https://www.afro.who.int/news/who-supports-botswanas-preparedness-and-response-efforts-coronavirus,,2020-02-05,,2020-02-05,9261
14852,GPHIN02851,GPHIN,2851,WPRO,China,CHN,156,national,,,,LAND SCREENING,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"On 6 March, Chinese health authorities said that China must not relax its vigilance or lower the level of work in epidemic prevention and control as the number of imported cases of novel coronavirus disease (COVID-19) increases. The mainland had seen a total of 36 imported COVID-19 cases by 5 March, according to the commission.",,,,Official,http://www.china.org.cn/china/2020-03/06/content_75782671.htm,,2020-03-06,,2020-03-06,9261
11715,GPHIN00535,GPHIN,535,AFRO,Nigeria,NGA,566,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,The Nigerian CDC on 2 February established surveillance case definitions for new coronavirus disease.,,,,Official,https://ncdc.gov.ng/news/220/surveillance-case-definitions-for-new-coronavirus-disease--%28version-1%29,,2020-02-06,,2020-02-06,9261
16890,GPHIN04464,GPHIN,4464,WPRO,China,CHN,156,other,Hong Kong,,,AIRPORT SCREENING: ENTRY,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"The Centre for Health Protection (CHP) of the Department of Health (DH) announced that as of 4pm today (March 27), the CHP is investigating 65 additional confirmed cases of COVID-19, taking the number of cases to 519 in Hong Kong so far (comprising 518 confirmed cases and one probable case).
Moreover, the DH has further extended its Enhanced Laboratory Surveillance Programme this evening to provide free testing for COVID-19 to asymptomatic inbound travellers arriving from the Philippines and Indonesia. Specimen collection containers will be provided to these travellers at the Hong Kong International Airport (HKIA) for collection of their deep throat saliva samples for testing.",,,,Official,,,2020-03-27,,2020-03-27,9261
11240,GPHIN00229,GPHIN,229,AMRO,United States Of America,USA,840,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"CDC on 1 February released a CDC Health Alert Network (HAN) update that provides a situational update and interim guidance to state and local health departments that supersedes guidance in CDC’s HAN 426 distributed on  17 January 2020.  It adds guidance for clinicians caring for patients with 2019-nCoV, and for public health officials on the evaluation and testing of patients under investigation (PUIs) for 2019-nCoV, and updated infection prevention and control guidance specific to 2019-nCoV.",,,,Official,"https://emergency.cdc.gov/han/han00427.asp
https://www.cdc.gov/coronavirus/2019-ncov/hcp/clinical-guidance-management-patients.html
https://www.cdc.gov/coronavirus/2019-nCoV/hcp/clinical-criteria.html
https://www.cdc.gov/coronavirus/2019-nCoV/hcp/infection-control.html",,2020-02-03,,2020-02-03,9261
12258,GPHIN00935,GPHIN,935,WPRO,China,CHN,156,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"On 12 February, China CDC published a list of designated hospitals for pregnant or maternal patients with suspected or confirmed novel coronavirus infection.",,,,Official,http://www.nhc.gov.cn/fys/s7901/202002/d4e8fae0649745118f63136660f4c3b0.shtml,,2020-02-12,,2020-02-12,9261
12520,GPHIN01166,GPHIN,1166,WPRO,China,CHN,156,national,,,,TRAVEL BAN,5.7,International travel measures,,Suspending or restricting international flights,,,,"A customized train for returning workers left Guiyang, capital of Guizhou Province, Sunday 17 February  afternoon, carrying nearly 300 workers from Guizhou who are returning to work in Hangzhou, capital of Zhejiang Province, the first such train service in China after the Spring Festival. To meet the employment demand of enterprises and reduce the risks of epidemic spread, Hangzhou had applied to the railway department for a special train for those returning to work from places where the epidemic situation is relatively stable and the number of employees coming to Hangzhou is high, according to China Railway Chengdu Group Co. Ltd. Special measures have been arranged for passengers on the train, including strict temperature monitoring, better ventilation and scattered seating.",,,,Official,http://www.china.org.cn/china/2020-02/17/content_75711834.htm,,2020-02-17,,2020-02-17,9261
16599,GPHIN04204,GPHIN,4204,WPRO,China,CHN,156,other,Hong Kong,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"The Centre for Health Protection (CHP) will further extend its Enhanced Laboratory Surveillance Programme, which provides a free testing service for COVID-19, to cover asymptomatic inbound travellers arriving from the United Kingdom, other countries in Europe and the United States by phases starting 25 March, with an aim of identifying cases of COVID-19 early in order to minimise the risk of community transmission. Starting at midnight 25 March a specimen container will at the first stage be provided to inbound travellers arriving at the Hong Kong International Airport from the United Kingdom and other countries in Europe for collecting deep throat saliva samples for relevant testing. Inbound travellers who are provided with the specimen containers are required to collect their deep throat saliva sample by themselves at home in accordance with the instructions, and to have their family members or friends deliver it to any of the collection points in the same morning. If a sample tests positive, the CHP will notify the person concerned as early as possible and arrange for admission to a public hospital for treatment. In general, if no notification is received within three working days after returning a sample, it means the test result is negative and the person concerned is required to continue the quarantine until the quarantine period ends.",,,,Official,http://www.info.gov.hk/gia/general/202003/24/P2020032400828.htm,,2020-03-24,,2020-03-24,9261
14117,GPHIN02250,GPHIN,2250,WPRO,China,CHN,156,national,,,,AIRPORT SCREENING: ENTRY,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"According to an official with the National Immigration Administration(NIA) on 1st March, big data analysis has been implemented in border control to prevent the influx of COVID-19 patients from overseas. The technique has been employed to screen inbound passengers from epidemic-stricken countries and regions before international flights arrive. Results of the big data investigation would be shared with quarantine officers at customs to earn more time for them to do the quarantine work efficiently.
The administration has collected and made public entry restrictions of related countries, and advises residents from the Chinese mainland to postpone or cancel their outbound trips.
The administration will further strengthen international cooperations with hard-hit countries and regions to jointly fight the epidemic through strict border control and information sharing.",,,,Official,http://www.china.org.cn/china/2020-03/02/content_75762504.htm,,2020-03-02,,2020-03-02,9261
11216,GPHIN00210,GPHIN,210,WPRO,China,CHN,156,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"On 31 January, the Organization Department of the Central Committee of the Communist Party of China (CPC) has allocated 108 million yuan (about US$15.57 million) to prevent and control the novel coronavirus epidemic. The money was appropriated from CPC membership dues to help frontline medical personnel as well as grassroots-level Party members. Primary-level Party organizations will receive financial aid to purchase medicine and resources for epidemic prevention and control.",,,,Official,http://www.china.org.cn/china/2020-01/31/content_75661650.htm,,2020-01-31,,2020-01-31,9261
