COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,TESTING & CASE DETECTION  ,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN / CANCELLATION,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,RESTRICTING OR LIMITING GATHERINGS,CLOSING PUBLIC PLACES,LOCKDOWN OR CURFEW,EASIND RESTRICTIONS,VACCINE/MCM DEPLOYED,PPE,RESEARCH ADVANCEMENT,COMMENTS,,
Brazil,29/01/2020,Media,1006200678,"Companies such as Mining Vale, Facebook and Nissan have halted indefinite trips by Brazilian employees to China to prevent the spread of coronavirus. Educational institutions, such as Universidade Estadual Paulista (Unesp), had already place restrictions on the arrival of exchange students. Vale's Brazilian employees who are already in China are teleworking. As a precaution, Nissan suspended any corporate travel of employees in Brazil to the Asian country. Airlines are also canceling flights and are adjusting schedules not only for Hubei province, but also for the remaining China. Abroad, the American United Airlines has reduced flights to China.",,,,,,,,,,,,,,,,,,,,,
Brazil,29/01/2020,Official,1006195615,"On 28 January 2020, the Brazilian ambassador to China declared that China has not yet authorized flights from other countries to evacuate its citizens from Hubei province. To date, Chinese authorities are not allowing anyone to leave the area. However, countries like the United States, France and Japan are already mobilizing to withdraw their citizens from the region. The Brazilian ambassador indicated that the number of Brazilians living in the area is estimated at between 40 and 70 people and that the main request he has received at this time is from residents who want to leave the region, a request that is not possible to be accomplished now due to quarantine measures implemented in Hubei.",,,,,,,,,,,,,,,,,,,https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2020/01/28/embaixador-brasileiro-na-china-entrevista.htm,,
Brazil,29/01/2020,Media,1006202137,"Anvisa created a public health emergency group to monitor the new coronavirus. The measure appears in ordinance 74/20, published on 29 January 2020 in the Federal Daily Gazette. Among the members of the group, are representatives of airports, borders and customs areas, managers of sanitary control and communication advisory. The group will work for indefinite period and its activities will start on 29 January.",,,,,,,,,,,,,,,,,,,,,
Brazil,29/01/2020,Official,1006202110,"The Department of Animal Health, of the Ministry of Agriculture, Livestock and Supply (DSA/Mapa), published a technical report on 27 January with coronavirus information. Based on the available information, it is not known whether 2019-nCoV has any impact on animal health and no specific events have been reported on any animal species. The Ministry's recommendation is that veterinarians should maintain a high level of surveillance and report any unusual events detected in any animal species to the veterinary authorities, immediately notifying the Official Veterinary Service via e-SISBRAVET (the online Brazilian Veterinary Emergency System). For the population, the Ministry advises that when visiting open markets or fairs selling live animals, meat, fish or fresh animal products, hygiene and prevention measures must be applied.",,,,,,,,,,,,,,,,,,,http://crmvba.org.br/nota-tecnica-do-mapa-faz-esclarecimentos-sobre-o-coronavirus/,,
Brazil,30/01/2020,Official,1006205861,"Several states, through their Secretariats of Health, have established protocols to monitor the new coronavirus and have already activated their contingent plan for Severe Acute Respiratory Syndrome (SRAG), which means that these States are prepared to address and identify suspected cases. Are they:Amazonas, Bahia, Ceará, Maranhão, Minas Gerais, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, and Tocantins. Together with Anvisa, States of Bahia, Paraná and Rio Grande do Sul, aligned their surveillance actions at Brazilian airports and ports. Anvisa will meet with all representatives of the port terminals to discuss preventive action measures against nCoV, especially due to the increased tourist flow from now until Carnival.",,,,,,,,,,,,,,,,,,,https://gphin.canada.ca/cepr/showarticle.jsp?docId=1006205861,,
Brazil,1/30/2020,Official,1006207542,"The Ministry of Health will update the information on the situation of the new coronavirus in Brazil on a daily basis. The Ministry stresses the recommendation that trips to China should only be taken in cases of extreme need. The Health Surveillance Secretary of the Ministry of Health noted Brazil's central and reference laboratories are able to carry out tests and define diagnoses. According to the Executive Secretary of the Ministry of Health, tests will be carried out by the Oswaldo Cruz Foundation (Fiocruz-RJ). Other reference laboratories such as the Adolfo Lutz Institute in São Paulo and the Evandro Chagas Institute (IEC) in Pará are being prepared for this purpose.",,,,,,,x,,,,,,,,,,,,http://saude.gov.br/noticias/agencia-saude/46245-saude-passa-a-atualizar-diariamente-situacao-do-novo-coronavirus,,
Brazil,1/30/2020,Media,1006203013,"On 28 January, the Department of Health suspended the blood donation of citizens who were in China for 30 days. According to the Technical Director of the Hemominas Foundation (Blood Services), every candidate for blood donation who was in China, even if not showing any signs or symptoms of febrile respiratory disease will be considered unable to donate blood for 30 (thirty) days after their return.",,,,,,,,,,,,,,,,,,,https://noticias.r7.com/minas-gerais/coronavirus-mg-suspende-doacao-de-sangue-de-quem-esteve-na-china-28012020,,
Brazil,1/31/2020,Official,1006214344,"The Ministry of Health announced on 30 January 2020, that the Brazilian public health system is being prepared and will open a bidding process to allocate 1000 new beds in the reference hospitals indicated by the states. The wards will be installed in a period of up to 30 to 40 days. The number of beds will be increased if necessary, this number will be increased. The Ministry will provide the beds with all necessary supplies, technical assistance, maintenance and training. The distribution of these beds will follow the criteria of the contingency plans of the states and the evolution of the disease. ",,,,,,x,,,,,,,,,,,,,http://saude.gov.br/noticias/agencia-saude/46262-acao-preventiva-saude-ira-disponibilizar-mil-novos-leitos-para-tratamento-no-sus,,
Brazil,1/31/2020,Official,1006216608,The State Health Departments has shared with the Ministry of Health a list of the reference hospitals to deal with any severe cases of the new coronavirus. Any severe cases of patients diagnosed with the novel coronavirus must be referred by health professionals to the listed reference hospitals defined by the States for isolation and treatment. ,,,,,,x,,,,,,,,,,,,,http://saude.gov.br/noticias/agencia-saude/46257-mapa-hospitais-referencia-novo-coronavirus,,
Brazil,1/31/2020,Official,1006217841,On 31 January 2020 the Ministry of Health declared that it starts to coordinate the preparative and contingency handle public health emergencies at the national and international levels. ,,,,,,,,,,,,,,,,,,,,,
