COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,TESTING & CASE DETECTION  ,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN / CANCELLATION,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,RESTRICTING OR LIMITING GATHERINGS,CLOSING PUBLIC PLACES,LOCKDOWN OR CURFEW,EASIND RESTRICTIONS,VACCINE/MCM DEPLOYED,PPE,RESEARCH ADVANCEMENT,COMMENTS,
Canada,29/01/2020,Official,1006204180,"On 29 January, Public Health Agency of Canada advised the public to Avoid all travel to the province of Hubei, including the cities of Wuhan, Huanggang and Ezhou, due to the imposition of heavy travel restrictions in order to limit the spread of a novel coronavirus. Also Avoid non-essential travel to China due to an outbreak of a novel coronavirus.",x,,x,x,,,x,x,,,,,,,,,,,https://travel.gc.ca/destinations/china?utm_source=china&utm_medium=social-twitter-travel-eng&utm_content=2020-01-29&utm_campaign=CAAupdate#risk,
Canada,29/01/2020,Media,1006203761,"Canada will evacuate some 160 of its citizens from the Chinese region that is the epicenter for the new coronavirus, and it is urging other Canadians to avoid non-essential travel to China, the foreign minister said on Wednesday 29 January",,,,,,,,,,,,,,,,,,x,,
Canada,30/01/2020,Media,1006207926,"The Canadian government began evacuating the oldest and youngest family members of diplomats in mainland China Thursday 30 January. Media has learned that family members considered “vulnerable” are being sent back to Canada. That includes people with existing medical conditions, those over the age of 65 and those under the age of five, and school-age children and guardians. 
Diplomats themselves are not included in the order, which does not cover Hong Kong. Canada’s repatriation of some diplomatic dependents comes as Ottawa also works to evacuate 160 Canadians who have requested consular assistance in Wuhan. It’s not clear when Canadians evacuated from Wuhan will arrive in Canada, or what will happen to them when they arrive.
",,,,,,,,,,,,,,,,,,,https://www.theglobeandmail.com/world/article-canada-evacuating-vulnerable-family-members-of-diplomats-from-china/,
Canada,30/01/2020,Media,,Western University in Ontario issued a travel advisory recommending staff and students defer travel to Hubei province because of the possibility of travel restrictions being imposed on short notice. ,,,,,,,x,x,,,,,,,,,,,https://lfpress.com/news/local-news/coronavirus-western-university-urges-students-faculty-to-avoid-wuhan-region,
Canada,30/01/2020,Media,,"A planned Chinese new year celebration held annually in Merritton has been cancelled over what organizers describe as concerns over the novel coronavirus.  The Institute teams up with the Chinese Cultural Association of Regional Niagara to present the annual event, which features traditional Chinese cuisine, dance performances and singing. This year’s event was set to place on 2 February at Merritton Community Centre and attracts upwards of 500 visitors throughout the evening. 
",,,,,,,,,,,x,,,,,,,,https://www.stcatharinesstandard.ca/news-story/9833925-coronavirus-concerns-cancel-st-catharines-chinese-new-year-event/,
Canada,30/01/2020,Media,,"Niagara Health is screening patients at all of its sites for the novel coronavirus after it investigated a possible infection at St. Catharines hospital Monday.In a statement issued late Tuesday (28 January), the director of infectious diseases at Niagara Health, said any patient who meets the two basic screening criteria — respiratory symptoms and travel to China — will be tested for the virus which has killed at least 106 people in China. The statement did not say how many patients, if any, are currently being screened or how long screening will take. The Ministry of Health and Long-Term Care said later that the tests of that patient were negative.",,,,,,x,,,,,,,,,,,,,https://www.stcatharinesstandard.ca/news-story/9833680-niagara-health-screening-all-patients-for-coronavirus/,
Canada,30/01/2020,Media,,"The President of the Public Health Agency of Canada, on 29 Janaury told the House of Commons health committee that it is to be expected that there will be travel-related cases in Canada and that the number of confirmed cases will rise. By the end of the week, Namiesniowski said more public health officials will be in customs areas at the three international airports (Toronto, Vancouver and Montreal) to help border officials.  
The federal government, meanwhile, announced on 29 January that it has chartered a plane to evacuate 160 Canadians who’ve been trapped in China. Details are still being worked out about how and when the evacuation will take place and whether those returned to Canada will have to be quarantined once they arrive. The Official said not everyone who wants to come back to Canada may be able to leave since the Chinese authority will not let anyone who might be infected on the plane.  ",,,x,,,,,,,,,,,,,,,x,https://globalnews.ca/news/6481486/canada-vaccine-theresa-tam-coronavirus/,
Canada,1/31/2020,Media,1006216008,"A Scientist from the International Vaccine Centre (VIDO-InterVac) at the University of Saskatchewan said that it could take up to a year before the vaccine is deemed ready for clinical trials, and a couple more before it’s distributed to the regions in need.",,,,,,,,,,,,,,,,x,,,https://o.canada.com/news/it-could-be-up-to-three-years-before-a-coronavirus-vaccine-is-accessible-canadian-scientists-say/wcm/372713e5-94e3-4fdb-bfdb-6a78ede162fe,
Canada,1/31/2020,Media,,Canada's Chief Public Health Officer Theresa Tam is urging people to stop acts of racism against people of Chinese and Asian descent due to the coronavirus outbreak.,,,,,,,,,,,,,,,,,,,https://www.cnn.com/asia/live-news/coronavirus-outbreak-01-30-20-intl-hnk/index.html,
Canada,2/3/2020,Official,,"The Government of Canada on 2 February announced the Government of Canada’s plan to assist Canadians who have requested help in departing from Wuhan. The Government has chartered a plane that is standing by, which will land in Hanoi, Vietnam and deploy to Wuhan once the Government of China has given authorization to land.  Staff from the Embassy of Canada to China in Beijing, as well as members of Global Affairs Canada’s Standing Rapid Deployment Team, are now deployed to Wuhan to prepare for the departure of the flight. All other returning Canadians, including staff and flight crew, will remain at CFB Trenton for 14 days for further medical assessment and observation ",,,,,,x,,,,,,,,,,,,,https://www.canada.ca/en/global-affairs/news/2020/02/government-of-canada-evacuating-canadians-from-wuhan-china.html,
Canada,2/3/2020,Media,,"Canadian officials have fielded 325 requests for departure assistance from Hubei Province in China due to the coronavirus, Global Affairs Canada on 1 February said in a statement. Canada is attempting to charter a plane to take Canadians from Wuhan back to Canada, only Canadian citizens who have entered China with a Canadian passport will be allowed to board the plane back to Canada. Canadian citizens will need to have a valid Canadian passport and a valid Chinese visa to board the plane. Canadians who appear to have symptoms will not be able to board, according to Global Affairs Canada. 
There are currently 543 Canadians in Hubei who have registered with the voluntary Registration of Canadians Abroad service. There are currently 15,219 Canadians in China (including Hong Kong) who have registered with the voluntary service.",,,,,,,,,,,,,,,,,,,https://www.cnn.com/asia/live-news/coronavirus-outbreak-02-02-20-intl-hnk/index.html,
Canada,2/3/2020,Official,,"On 30 January, Hockey Canada issued issued guidelines for hockey participants to follow in order to guard against novel coronavirus infection. ",,,,,,,,,,x,,,,,,,,,https://medicinehatminorhockey.com/bed-head-deep-waver/,
Canada,2/4/2020,Media,,"Chief Medical Officer of Health for Ontario indicated that Canadians who are exhibiting respiratory symptoms linked to a new coronavirus likely will not be able to get on a flight home from China, since, in order to get inside the airport, travelers have to be screened by Chinese authorities. According to Federal Health Minister, passengers will not be allowed to leave the flight during the refuelling stop, unless anyone is ill before arriving in Vancouver, and then would be treated by B.C. health authorities.",,,,x,,,,,,,,,,,,,,,https://globalnews.ca/news/6499384/canada-evacuation-coronavirus-flight/,
Canada,2/4/2020,Media,,"A Canadian citizen was turned away at the northern border as a part of President Donald Trump's temporary ban on people who have visited China before their arrival in the United States, acting Homeland Security Deputy Secretary Ken Cuccinelli said on 3 February .",x,,,,,,,,,,,,,,,,,,https://www.cnn.com/2020/02/03/politics/border-coronavirus-travel-restrictions/index.html,
Canada,2/5/2020,Media,,"Foreign Affairs Minister announced on Twitter on 4 February that a chartered plane has left for Hanoi and will carry on to China when final approvals from Chinese authorities are granted. Global Affairs Canada sent an email to Canadians in the region overnight indicating that a government-chartered flight is expected to leave Wuhan Tianhe International Airport in the early morning of 6 February.  Federal officials are now on the ground in Wuhan to co-ordinate the airlift. All staff taking part in the airlift will be wearing protective gear. Once back in Canada, the evacuees will be transported to Trenton air base in Ontario where they must remain under quarantine for 14 days.",,,,,,x,,,,,,,,,,,,,https://www.cbc.ca/news/politics/coronavirus-health-canada-china-airlift-1.5450953,
Canada,2/6/2020,Media,1006257020,"According to a new Angus Reid Institute poll, half of Canadians say they are taking some form of extra care: things like increased hand-washing or avoiding public places and 48 per cent say they would cancel any plans to travel to affected areas of China due to the concern about the 2019-nCoV. Only 30 per cent of Canadians, however, report they are personally concerned about contracting the virus. Meanwhile, Canadians are “near-unanimously aware” of this health issue, according to the pollster.",,,,,,,,,,,,,,,,,,,https://www.thetelegram.com/news/canada/polls-show-canadians-feel-coronavirus-threat-overblown-407406/,
Canada,2/6/2020,Official,,"On 6 February, The Government of Canada has updated the travel advisory:
1, Avoid non-essential travel to China due to an outbreak of a novel coronavirus.
2, Avoid all travel to the province of Hubei, including the cities of Wuhan, Huanggang and Ezhou, due to the imposition of heavy travel restrictions in order to limit the spread of a novel coronavirus.
",,,,,,,,x,x,,,,,,,,,,https://travel.gc.ca/destinations/china,
Canada,2/6/2020,Media,1006260956,"According to the Foreign Affairs Minister tweeted on 6 February, another 50 or so Canadians are expected to hitch a ride on a U.S. plane, which will depart Wuhan a few hours later after the first plant departed and will land in Vancouver for refuelling, giving the Canadian passengers the opportunity to disembark. Those passengers will also be taken to Trenton for a two-week quarantine at the military base. 
The Canadian federal government is sending a second plane to Wuhan, to bring back the remaining Canadians. The second chartered flight is expected to depart to Wuhan on 10 February which will give people stranded under a strict lockdown in Wuhan and neighbouring cities “ample time” to get to the airport. 
The Minister once again reiterated his call to Canadians whose presence in China is not essential to leave the country via commercial flights while they are available.",,,x,x,,x,x,x,,x,,,,,,,,,https://www.rcinet.ca/en/2020/02/06/ottawa-set-to-dispatch-second-plane-to-wuhan-to-bring-every-canadian-home/,
Canada,2/6/2020,Media,1006260411,"In a bid to slow the potential spread of novel coronavirus, Alberta's health ministry is asking anyone who has recently returned from China's Hubei province to isolate themselves.",,,,,,x,,,,,,,,,,,,,https://edmonton.ctvnews.ca/alberta-urges-self-isolation-for-ill-travellers-returning-from-virus-stricken-part-of-china-1.4800458,
Canada,2/7/2020,Official,,"The Foreign Affairs of Canada on 6 February posted updates on the Consular services and assistance for Canadians in China. On 3 February, Global Affairs Canada authorized the departure of all non-essential Canadian staff and their dependants from the mainland China mission locations (the Embassy in Beijing and Consulate General offices in Shanghai, Guangzhou and Chongqing). This was in addition to the authorized departure of vulnerable individuals and dependant school-aged children and younger announced on 29 January. Full consular services remain available to Canadians in China. Canadians in need of emergency consular assistance are asked to contact the Embassy of Canada in Beijing at 86 (10) 5139-4000. Canadians can also call the 24/7 Emergency Watch and Response Centre in Ottawa at +1 613-996-8885 (collect calls are accepted where available) or email sos@international.gc.ca.
The annoucement also revealed the main requirements and procedures for the assisted departures by chartered flights from Wuhan. ",,,,,,,x,,,,,,,,,,,,https://travel.gc.ca/assistance/consular-assistance-china,
Canada,2/7/2020,Official,,"After the confirmation of two more 2019-nCoV cases (presumptive confirmed) in British Columbia (BC), the Provinical Minister of Health and Health Officer on 6 February posted a joint statement to provide updates, reiterating that Vancouver Coastal Health continues to investigate, close contacts have been identified and continue to be followed by the health authority. They urge the public to continue to enhance personal hygenes, and assure that the risk of spread of this virus within British Columbia remains low at this time.    ",,,,,,,,,,x,,,,,,,,,https://news.gov.bc.ca/releases/2020HLTH0025-000236,
Canada,2/7/2020,Media,1006268864,"Quebec public health authorities are asking travellers returning from the Chinese province of Hubei to self-impose a voluntary 14-day isolation to avoid spreading the novel coronavirus. The request applies to all travellers returning to the country on Air China’s Thursday afternoon (6 February) flight from Beijing to Montreal’s Pierre Elliot Trudeau Airport. All passengers were tested prior to boarding the plane and showed no signs of being infected. Travellers returning from other Chinese provinces are asked to call 811, Info Santé, if they present flu-like symptoms, but they are not asked to abide by the 14-day quarantine.",,,x,,,x,,,,,,,,,,,,,https://globalnews.ca/news/6517673/quebec-health-officials-hubei-province-quarantine/,
Canada,2/7/2020,Media,1006268857,"Despite no reported cases to date of coronavirus infections in Quebec, the Provincial Health Minister on 7 February announced that four hospitals in the province have been designated to treat any patients who might test positive for the 2019-nCoV.
In Montreal, two of the four designated sites are the Jewish General Hospital for any adult cases and Ste-Justine Hospital for any pediatric ones. The other two sites are in the Quebec City region: the Centre hospitalier de l’Université Laval (for both potential adult and pediatric cases) and the Institut universitaire de cardiologie et de pneumologie de Québec.",,,,,,x,,,,,,,,,,,,,https://montrealgazette.com/news/local-news/quebec-selects-4-hospitals-as-potential-coronavirus-treatment-centres,
Canada,2/7/2020,Media,1006268636,"Montreal’s CAE Inc. has pulled all of its Canadian employees from China and instructed local staff to work from home as the coronavirus epidemic intensifies. CAE, the world’s biggest maker of flight simulators, has delayed the installation of a device to a Chinese customer that was supposed to be completed by March 31. Training classes for Chinese pilots have also been postponed. CAE had fewer than 50 employees working in Chinese cities such as Beijing, Hong Kong and Shanghai, including fewer than 20 Canadians.",,,,,,,,,,,x,,,,,,,,https://montrealgazette.com/business/cae-pulls-canadian-staff-from-china-amid-coronavirus-outbreak,
Canada,2/10/2020,Media,,"A second plane has left for Asia to bring more Canadians out of China. According to Canada’s Foreign Minister, the passenger list is still being compiled. ",,,,,,,,,,,,,,,,,,,"https://www.660citynews.com/2020/02/09/second-plane-leaves-for-asia-to-bring-canadians-home/
",
Canada,2/10/2020,Media,,"Canadian health officials are also asking travelers who have returned from the Hubei province of China to go into voluntary self-isolation for up to 14 days, even if they show no symptoms of the coronavirus. The request represents an escalation of health officials' response to the outbreak. The self-isolation period starts the day a traveler leaves Hubei province. ",,,,,,x,,,,,,,,,,,,,https://www.cbc.ca/news/politics/hubei-coronavirus-quarantine-1.5456124,
Canada,2/10/2020,Official,,"On 9 February, the Chief Public Health Officer (CPHO) of Canada stated that pursuant to an Emergency Order under the Quarantine Act, she had the discretion to determine, on a case-by-case basis, whether the quarantine can be for a shorter period based on an assessment of the risk of harm to public health.  The Official assessed each member of the Canadian Armed Forces medical staff who accompanied the returning travellers, and determined that they do not pose a risk of significant harm to public health, and consequently their continued quarantine is not required.",,,,,,x,,,,,,,,,,,,,https://www.canada.ca/en/public-health/news/2020/02/statement-from-the-chief-public-health-officer-of-canada-on-the-release-of-selected-individuals-from-quarantine-for-2019-novel-coronavirus.html,
Canada,2/10/2020,Media,1006284946,"The Canadian Prime Minister says Canada is standing by to assist China if it asks for more help to contain the novel coronavirus outbreak which originated there. Canada already had responded to China's request for medical equipment, including face masks and other protective gear.",,,,,,,,,,,,,,,,,,,https://www.cbc.ca/news/politics/second-airlift-china-to-canada-trenton-1.5457503,
Canada,2/10/2020,Media,,"The Canadian federal funding agency for health research is set to back work aimed at better understanding the novel coronavirus. The agency plans to offer a maximum of $1 million over two years for medical countermeasure research projects and a maximum of $500,000 over two years for social research. The agencies are also in negotiations with the federal government to see if any additional funds can be made available. ",,,,,,,,,,,,,,,,,,,https://ckpgtoday.ca/2020/02/09/feds-to-fund-urgent-research-into-new-coronavirus-including-social-impacts-2/,
Canada,2/11/2020,Media,,"Providence Health Care, which operates medical facilities including Vancouver's St. Paul's and Mount Saint Joseph Hospitals, has increased monitoring of its masks and also sent a memo reminding staff of appropriate mask use. The healthcare provider said it has centralized its N95 mask distribution in order to keep a closer eye on it and make sure it has adequate safety equipment for staff.",,,,,,,,,,x,,,,,,,,,https://www.cbc.ca/news/canada/british-columbia/providence-health-face-mask-control-1.5459152,
Canada,2/12/2020,Media,1006292966,"The University of Alberta’s Li Ka Shing Institute of Virology has begun testing testing Remdesivir against COVID-19. The institute is aiming to raise up to half a million dollars in funding, including rapid response grants from the Canadian Institute of Health Research, to go towards work on the novel coronavirus.",,,,,,,,,,,,,,,,x,,,https://edmontonjournal.com/news/local-news/were-responding-to-this-threat-university-of-alberta-works-to-help-stop-novel-coronavirus,
Canada,2/12/2020,Media,,"The Canada Prime Minister on 11 February convened the Incident Response Group to discuss progress on the Government of Canada’s response to the novel coronavirus, including efforts to protect the health and safety of Canadians both at home and abroad. The group reaffirmed that Canadians should continue to follow all travel advisories, and avoid the spread of fear, stigma and racism.
The group also discussed WHO’s call for donations, to which Canada has responded with $2 million to help vulnerable countries prepare for and respond to the outbreak. Over the past week, Canada has provided 16 tonnes of personal protective equipment to China.",,,,,,,,,,,,,,,,,,,https://www.kootenaivalleytimes.com/creston/prime-minister-convenes-meeting-on-coronavirus/article_7bca979a-4d3a-11ea-aa4b-8f3091ae0a35.html,
Canada,2/13/2020,Official,,Chief Public Health Officer of Canada authorized the release of 6 Canadian Armed Forces (CAF) medical staff who accompanied the returning travellers on the second Canada-chartered flight from Wuhan to Vancouver to CFB Trenton.,,,,,,,,,,,,,,,,,,,https://www.canada.ca/en/public-health/news/2020/02/update-3-statement-from-the-chief-public-health-officer-on-the-release-of-selected-individuals-from-quarantine-for-the-2019-novel-coronavirus.html,
Canada,2/13/2020,Media,,"Canada will aim $6.5 million at research on stopping the spread of the novel coronavirus, after co-ordinating with researchers around the world on tackling the outbreak.
Representatives of the Canadian Institutes for Health Research (CIHR) are returning from two days of talks with the international research community at a World Health Organization forum in Geneva, Switzerland.",,,,,,,,,,,,,,,,,,,https://www.ctvnews.ca/health/canadian-research-officials-return-from-geneva-with-plan-to-tackle-covid-19-1.4809779,
Canada,2/13/2020,Media,,"Global Affairs confirms there are 279 Canadians aboard the cruise ship that is now docked in Cambodia after it was refused entry to at least five other ports due to novel coronavirus fears. The Global Affairs Canada said consular officials have been sent to the town of Sihanoukville to assist Canadians in their return home.
Earlier, Cambodian health officials said some 20 passengers had reported stomachaches or fever, but the ship’s health staff considered them to be “normal illnesses.” Samples from those passengers have been transported by a military helicopter to be tested for the novel coronavirus.
",,,,,,,,,,,,,,,,,,,https://www.ctvnews.ca/world/279-canadians-aboard-cruise-ship-now-in-cambodia-after-entry-refused-elsewhere-1.4810049,
Canada,2/14/2020,Media,,"Ontario's first two cases of the new coronavirus - a husband and wife - have recovered but remain in isolation at their home because tests still show them carrying the bug, authorities say. Nose and throat swabs taken since the man was released from Sunnybrook hospital two weeks ago continue to show traces of coronavirus in both him and his wife, who was never hospitalized. Public health officials are trying to decipher what that indicates as scientists in China and around the world work to pinpoint more traits of the virus, which has never before been seen in humans. Ontario's chief medical officer of health said the apparent stubbornness of the coronavirus in the Toronto-area couple, who returned from China Jan. 22 aboard a China Southern Airlines flight, may be due to their age. The man is in his 50s and has some other health conditions that could impair his ability to shed the virus.",,,,,,,,,,,,,,,,,,,https://www.thestar.com/politics/provincial/2020/02/13/ontario-couple-have-recovered-but-are-still-testing-positive-for-coronavirus.html,
Canada,2/16/2020,Media,1006326758,"The Canadian government has said it was sending a chartered plane to repatriate the Canadians stuck on board the Diamond Princess cruise ship. Canadians who are not showing symptoms of COVID-19 infection will be flown from Japan to Canadian Forces Base Trenton, in Ontario, after which they will be assessed and transported to the NAV Canada Training Institute in Cornwall, Ontario, to undergo a further 14-day period of quarantine. Anyone showing symptoms of infection will be transferred to the Japanese health system to receive care, and will continue to receive full consular services. ",,,,,,,,,,,,,,,,,,,https://www.cbc.ca/news/world/coronavirus-1.5465349,
Canada,2/17/2020,Media,,"Two Canadians who were aboard a cruise ship that was refused entry to several countries before docking in Cambodia last week received an unusual greeting when they returned to Canada Sunday Feb 16. They were among 271 Canadians who had been stuck aboard the Westerdam cruise ship. But not long after, an 83-year old American passenger tested positive for COVID-19. ",,,,,,,,,,,,,,,,,,,https://www.cbc.ca/news/canada/british-columbia/westerdam-cruise-canadians-return-home-1.5466131,
Canada,2/17/2020,Media,1006330769,"Nav Center in Cornwall is being set up as a quarantine site for people showing no symptoms of coronavirus, evacuated from the Diamond Princess cruise ship off the coast of Japan. On 16 February, the Canadian government chartered a plane to pick up passengers, which will fly to CFB Trenton. No date has been given for the flight.
After they are assessed in Canada, people not showing symptoms of COVID-19, will be transferred to the Nav Center on Montreal Road in Cornwall where they will undergo a 14 day quarantine.",,,,,,x,,,,,,,,,,,,,https://www.cornwallnewswatch.com/2020/02/16/nav-center-set-up-as-novid-19-quarantine-site-frustrating-situation-mayor-says/,
Canada,2/18/2020,Media,,The Public Health Agency of Canada says it will review its protocols for health care workers after nurses’ unions denounced the national guidelines set out for dealing with the novel coronavirus earlier this month. The Agency says feedback from the nurses’ unions and other associations will be considered by a national advisory committee on infection prevention and control as it looks to update the guidance.,,,,,,x,,,,,,,,,,,,,https://globalnews.ca/news/6560702/coronavirus-national-standards-review/,
Canada,2/19/2020,Media,1006339718,"On 18 February, Global Affairs Canada said 43 of the 256 Canadian passengers on the Diamond Princess cruise ship docked in a port near Tokyo have tested positive for COVID-19. The Canadian government has told remaining passengers to expect a chartered flight home from Tokyo on 21 February. Passengers were urged to remain on the boat until the flight’s eventual departure even if are cleared to leave sooner as the previously announced 14-day quarantine ends on 19 February. 
Once they arrive at CFB Trenton, the passengers will be assessed and transported to a hotel at theNAV Canada Training Institute in Cornwall, Ont. The length of time evacuees spend in quarantineat the base may vary by person depending on symptoms. 
Those who don’t take the Canadian government-chartered flight home and travel on their own via commercial means will be subject to the Quarantine Act, which could include a further period in isolation in Canada. ",x,,,,,x,,,,,,,,,,,,,https://www.ctvnews.ca/canada/43-canadians-test-positive-for-new-coronavirus-on-cruise-ship-in-japan-1.4816632,
Canada,2/20/2020,Media,,"Canadian passengers aboard the quarantined Diamond Princess cruise ship in Japan who have not tested positive for COVID-19 are disembarking on 20 February, ahead of a charter flight that's scheduled to leave Tokyo on 21 February. The plane is set to land at CFB Trenton in Ontario. From there, the Diamond Princess returnees will be transported to the NAV Canada Training Institute in Cornwall, Ontario. Global Affairs said that if space allowed, non-Canadian immediate family of citizens and permanent residents would be allowed on the flight to allow families to stay together.
If people choose not to return home on the charter flight, GAC said they would have to finish the quarantine being run by health officials in Japan and follow local instructions.
Global Affairs Canada has said 47 of the 256 Canadians on the ship have tested positive for COVID-19.",,,,,,x,,,,,,,,,,,,,https://ca.news.yahoo.com/canadian-cruise-passengers-test-negative-112136295.html,
Canada,2/20/2020,Media,1006352932,"With funding from Genome BC, the BC Centre for Disease Control’s (BCCDC) Public Health Laboratory will be able to identify where new cases of the novel coronavirus (COVID-19) in BC are coming from and monitor any spread in the community.
The new project, ""Responding to Emerging Serious Pathogen Outbreaks using Next-gen Data: RESPOND,"" is designed as a rapid response pilot that will use the fast Oxford Nanopore and other sequencing platforms to simultaneously produce sequence and family tree information. The sequencing device and supporting tools are palm-sized, controllable by mobile phones, and can be powered by a solar power/battery system, enabling the deployment of mobile sequencing laboratories if required.",,,,,,,,,,,,,,,,,,x,https://www.cbj.ca/b-c-to-track-origins-and-spread-of-new-coronavirus-with-genomic-technology/,
Canada,2/20/2020,Media,1006352053,"Canada has already put a temporary halt to deportations to Wuhan and surrounding Hubei province — the COVID-19 epicentre — though not elsewhere in China, a Justice Department submission in a court case has revealed.",,,,,,,,,,,,,,,,,,,https://nationalpost.com/news/coronavirus-man-facing-deportation-to-china-from-canada-cites-raging-epidemic-as-reason-to-stay,
Canada,2/20/2020,Media,1006351756,Canadian universities are extending deadlines for English proficiency exams for prospective students in China or looking for other ways to remotely assess language skills after the tests were cancelled due to the novel coronavirus outbreak. ,,,,,,,,,,,,,,,,,,,https://crofsblogs.typepad.com/h5n1/2020/02/universities-extend-english-exam-deadlines-as-prospective-chinese-students-in-limbo-due-to-coronavirus.html,
Canada,2/20/2020,Media,,"The Ontario Ministry of Health says it’s working with manufacturers of medical masks to address shortage concerns expressed by dentists in light of the new coronavirus outbreak, according to a memo sent to the provincial regulator for dentistry. Fear surrounding a new type of coronavirus dubbed COVID-19 that’s rapidly spreading in China has prompted a rush from the public to stockpile the protective gear, despite advice from Canadian health authorities that they are not effective for healthy people.",,,,,,,,,,x,,,,,,,,,https://www.680news.com/2020/02/13/dentists-worried-about-mask-shortage-in-light-of-coronavirus-outbreak/,
Canada,2/21/2020,Media,,A woman in her 30s who returned from Iran within the past week is British Columbia’s sixth case of COVID-19. The Provincial health officer has said thatths case is a bit unusual in that the travel to Iran is something new. Health officials in BC are now investigating details of the woman’s travel and will work to determine whether other passengers on her flight home need to be notified. The official stresses that the risk of the virus spreading within B.C. remains low.,,,x,,,x,,,,,,,,,,,,,https://www.theglobeandmail.com/canada/british-columbia/article-bc-hit-with-sixth-case-of-coronavirus-after-woman-returns-from-iran/,
Canada,2/21/2020,Official,1006359380,"Global Affairs Canada on 21 February said 129 Canadians and accompanying family members, evacuating from the Diamond Princess cruise ship in Japan and travelling on the chartered plane by the Government of Canada, had arrived at Canadian Forces Base (CFB) Trenton. None of the passengers exhibited symptoms of the novel coronavirus (COVID-19) upon arrival.
Upon landing, the returning passengers were screened at CFB Trenton by quarantine officers and then transported to the NAV CENTRE in Cornwall, Ontario where they will be subject to a 14 day quarantine period. They will undergo the same medical assessment and observation as those who were repatriated earlier this month from Wuhan, China,",,,x,,,x,,,,,,,,,,,,,https://www.canada.ca/en/global-affairs/news/2020/02/government-of-canada-repatriates-canadians-and-their-families-from-diamond-princess-cruise-ship-in-japan.html,
