COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,TESTING & CASE DETECTION  ,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN / CANCELLATION,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,RESTRICTING OR LIMITING GATHERINGS,CLOSING PUBLIC PLACES,LOCKDOWN OR CURFEW,EASIND RESTRICTIONS,VACCINE/MCM DEPLOYED,PPE,RESEARCH ADVANCEMENT,COMMENTS,
China,30/01/2020,Official,,"China CDC on 29 January published an educational document for public prevention of penumonia by nCoV, called ""Interim Guidelines for Use of Masks""  ",,,,,,,,,,x,,,,,,,,,http://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_2275/202001/t20200129_211523.html,
China,30/01/2020,Official,,China CDC posts real time case  count updates and epidemic trend on a graphic site: http://2019ncov.chinacdc.cn/2019-nCoV/,,,,,,,,,,,,,,,,,,,http://2019ncov.chinacdc.cn/2019-nCoV/,
China,30/01/2020,Official,,"China CDC posted on its weekly journal a study called "" Notes from the Field: An Outbreak of NCIP (2019-nCoV) Infection in China — Wuhan, Hubei Province, 2019−2020""",,,,,,,,,,,,,,,,,,x,http://weekly.chinacdc.cn/en/article/id/e3c63ca9-dedb-4fb6-9c1c-d057adb77b57,
China,30/01/2020,Official,,"China CDC posted on its weekly journal a study called "" Notes from the Field: Description of the First Strain of 2019-nCoV, C-Tan-nCoV Wuhan Strain — National Pathogen Resource Center, China, 2020""",,,,,,,,,,,,,,,,,,x,http://weekly.chinacdc.cn/en/article/id/e3a460f1-661b-4180-b562-ecd8e9502082,
China,30/01/2020,Official,,"China CDC posted on its weekly journal a study called ""Notes from the Field: A Novel Coronavirus Genome Identified in a Cluster of Pneumonia Cases — Wuhan, China 2019−2020""",,,,,,,,,,,,,,,,,,,http://weekly.chinacdc.cn/en/article/id/a3907201-f64f-4154-a19e-4253b453d10c,
China,30/01/2020,Official,,"According to the National Health Commission on 30 January, the ""Guidelines for the Public Protection of Pneumonia Infected by New Coronaviruses"" prepared by China CDC was published recently. This book focuses on public and personal protection, home medical observation, rational medical treatment, psychological counseling, and other prevention and treatment details. It explains the doubts about pneumonitis related to new coronavirus infection through questions and answers, guides the public to correctly understand, and actively implements prevention and treatment, scientific protection, Eliminate panic and respond rationally. The forms of this book includes books, e-books, online readings, and others. The first batch of books has been urgently sent to the frontline of the fight against the epidemic in Wuhan. E-books are being posted on a series of online platforms, WeChat public accounts for dissemination, and printable PDF versions are provided throughout the country. ",,,,,,,,,,x,,,,,,,,,http://www.nhc.gov.cn/jkj/s7915/202001/e352c95780dd4867a2ff5be0c4f3799c.shtml,
China,30/01/2020,Official,,"In order to further control the spread of novel coronavirus and better use the window of the Spring Festival for isolation and disinfection, the Ministry of Civil Affairs and the National Health and Health Commission on 30 January jointly issued the ""Urgent Notice on Further Mobilizing Urban and Rural Community Organizations to better Prevention and Control of Pneumonia of New Coronavirus Infection",,,,,,,,,,x,,,,,,,,,http://www.nhc.gov.cn/jws/s3578/202001/a68ed0594583437fb104feefbbffe985.shtml,
China,30/01/2020,Media,,"Passengers on a Malaysia’s Malindo Air flight with two confirmed cases of novel coronavirus have been placed under isolation and observation in a hotel in Dongli district, Tianjin, in northern China. The passengers from the Malindo Air Flight No. OD688 from Sabah, Malaysia, arrived in Tianjin on January 25. Upon their arrival, all 31 passengers together with the flight crew members - including 16 foreign travellers from Malaysia and Bolivia - were sent directly to a hotel for isolation, because three passengers on the flight were reported to have fever. The first case on the flight, confirmed on 26 January, was a person aged 71 from Wuhan who had travelled to Malaysia from Jan 19-25. On the morning of 29 January, a second person on the same flight was found to have the disease, making him the 25th case of novel coronavirus confirmed in Tianjin. The man was a resident from Wuhan and travelled to Malaysia from Jan 19-25. Currently, all crew members and passengers have been isolated in the hotel, and the entire hotel has been closed. A total of 13 doctors are in service. The hotel is now under regular sanitation and the district provides abundant water, food, cleaning supplies for the isolated individuals. All the rubbish from the hotel is also under strict treatment.",,,,,,,,,,,,,,,,,,,https://www.straitstimes.com/asia/east-asia/wuhan-virus-passengers-on-malaysias-malindo-air-flight-in-isolation-in-tianjin-after,
China,30/01/2020,Media,,Chinese villages are cutting themselves off from the world with makeshift brick walls to try to stop outsiders from giving them the Wuhan virus,,,,,,,,,,,,,,,,,,,https://www.businessinsider.com/wuhan-coronavirus-chinese-villages-wall-themselves-in-to-stop-spread-2020-1,
China,30/01/2020,Media,1006208910,"Published in the New England Journal of Medicine (NEJM) on 29 January, a Chinese team found that the incubation period between exposure to the new coronavirus and having symptoms is 5.2 days on average, but varies greatly among patients. They also estimated that each infected person infected an average of 2.2 other people, a figure known as the basic reproductive number, or R0 (pronounced ""R-naught""). The figure doesn't predict how big an epidemic will eventually be, but is a useful measure nonetheless. In this case, it is relatively low: close to the seasonal flu (around 1.3), much less than the measles (12 or higher) and comparable to the SARS-epidemic of 2002-2003 (3). The team also found that human-to-human transmission had been occurring among close contacts since the middle of December 2019.",,,,,,,,,,,,,,,,,,x,"https://www.ctvnews.ca/health/new-coronavirus-study-places-incubation-period-at-around-5-days-1.4790077
https://www.nejm.org/doi/full/10.1056/NEJMoa2001316?query=featured_home",
China,30/01/2020,Media,,"China is shutting down most of its movie theaters, about 70,000 screens, in response to the Wuhan coronavirus outbreak. At least a dozen film releases have been postponed or are at risk of being postponed. China's $9.2 billion box-office market, the second-largest in the world, is expected to be hit with massive losses. ",,,,,,,,,,,x,,,,,,,,https://www.businessinsider.com/china-shuts-down-movie-theaters-during-wuhan-coronavirus-outbreak-2020-1,
China,30/01/2020,Official,,"President Xi Jinping has ordered Chinese military to keep its mission firmly in mind and shoulder responsibility to make contributions to winning the battle against the novel coronavirus epidemic. Xi, also general secretary of the Communist Party of China (CPC) Central Committee and chairman of the Central Military Commission, made the remarks in a recent instruction to the military on the prevention and control of the outbreak of pneumonia caused by the novel coronavirus. 
The military resolutely implemented the decisions and arrangements of the CPC Central Committee after the novel coronavirus outbreak in Wuhan of Hubei Province, Xi said, adding that the armed forces rapidly initiated the joint prevention and control mechanism and sent elite medical teams to combat the epidemic at the frontline. Xi ordered military hospitals engaged in the epidemic control to treat patients with all-out efforts and military research institutions to step up scientific research to contribute to winning the battle against the epidemic.

",x,x,x,x,,x,x,x,,x,x,,,,,,,,http://www.china.org.cn/china/2020-01/30/content_75658494.htm,
China,1/31/2020,Official,,"In order to guide public facilitites with frequent gatherings to prevent and control the spread of 2019-nCoV, the National Health Commission on 31 January issued a notice on Printing and Distributing Guidelines for Health Protection of Pneumonia by New Coronavirus in Public Places. ",,,,,,,,,,x,,,,,,,,,http://www.nhc.gov.cn/jkj/s3578/202001/d79a4ff5190d403f98ad273fed6d7e63.shtml,
China,1/31/2020,Media,,"All football matches in mainland China will be postponed because of the Wuhan coronavirus outbreak, according to the country's governing football body.  The Super League, the country's premier division, was due to commence 22 February and run to 31 October. A new start date has not yet been announced. The Chinese Football Association said postponing the ""2020 season national football competitions at all levels"" was taken to help with the ""prevention and control of the pneumonia epidemic of the new coronavirus infection, and to protect the health of the majority of fans, media, players, coaches, game officials, clubs and district staff"".",,,,,,,,,,,x,,,,,,,,https://www.cnn.com/2020/01/30/football/coronavirus-china-football-league-postponed-spt-intl/index.html,
China,1/31/2020,Official,1006217565,"Temperature screening checkpoints have been set up in 387 Chinese railway stations by the morning of 25 January as local railway authority strengthened prevention measures to help curb the spread of the novel coronavirus. Passengers entering and exiting from these railway stations must take temperature checks, according to sources with the China State Railway Co., Ltd (China Railway). By 8:00 a.m. on Saturday, China Railway has also closed down, in collaboration with relevant local governments, the outbound channels at 72 railway stations in central China's Hubei Province. 
The transport of epidemic prevention materials has been prioritized. On 24 January alone, about 170 batches of epidemic control materials weighing 48.5 tonnes were transported. By 6:00 p.m. on 24 January, a total of 257 batches of epidemic control materials weighing 82.2 tonnes including masks, gloves, medicines and medical apparatus had been transported.",x,,,x,,,,,,,,,,,,,,,https://www.chinadaily.com.cn/a/202001/26/WS5e2cc56ea3101282172733c5.html,
China,1/31/2020,Media,,"China has told farmers to step up vegetable production, opened roads for delivery trucks and is punishing those trying to profit in order to keep feeding residents of the locked-down city of Wuhan at the centre of the new coronavirus outbreak. The Ministry of Agriculture and Rural Affairs on 30 January issued a notice, urging related departments to coordinate to maintain ample supplies of vegetables and stable prices. The authorities have cracked down on cases of price hikes and publicised them to warn others. Delivery trucks carrying food are exempt from travel restrictions if they have government permits.",,,,,,,,,,,,,,,,,,,https://www.asiaone.com/china/wuhan-virus-chinese-farmers-supermarkets-race-supply-food-locked-down-wuhan,
China,1/31/2020,Media,,"Wuhan, the epicentre of a coronavirus outbreak that has quickly spread beyond China’s borders in recent days, should have taken measures sooner to contain it, the city’s Communist Party chief said in a nationally televised interview on 31 January. The Mayor of the city also said the task of containing and preventing the spread of the coronavirus outbreak in Wuhan remains “severe and complex”. Supplies of masks and other medical resources are reported to be still inadequate  ",,,,,,,,,,,,,,,,,,,https://www.straitstimes.com/asia/east-asia/wuhan-mayor-says-containing-virus-still-a-severe-complex-task,
China,1/31/2020,Official,,The National Health Comminssion on 31 January issued Prevention Guidelines to help different risk groups to guard against 2019-nCoV.  ,,,,,,,,,,,,,,,,,,,http://www.nhc.gov.cn/jkj/s7916/202001/a3a261dabfcf4c3fa365d4eb07ddab34.shtml,
China,1/31/2020,Official,,The National Health Comminssion on 31 January issued Guidelines to help the public to properly use face masks to prevent infections with 2019-nCoV.,,,,,,,,,,,,,,,,,,,http://www.nhc.gov.cn/jkj/s7916/202001/a3a261dabfcf4c3fa365d4eb07ddab34.shtml,
China,1/31/2020,Media,,"China's central authorities on 31 January approved  further extending the Spring Festival holiday in  Hubei Province to curb the outbreak. A meeting of the leading group of the Communist Party of China Central Committee on the novel coronavirus prevention and control agreed that Hubei would extend the holiday to an ""appropriate extent."" People in Hubei whose workplaces are outside the province were also granted an extended holiday and were asked to stay put. 
For regions where the number of new confirmed cases is rapidly increasing or where big risks exist, necessary measures such as postponing starting dates of business and school may also be adopted following due legal procedures, said a statement issued after the meeting.",,,,,,,,,,,,,,,,,,,http://www.ecns.cn/news/society/2020-02-01/detail-ifztewca0590765.shtml,
China,1/31/2020,Media,,"People are leaving and entering China’s Hubei province by foot over a bridge spanning the Yangtze river despite a virtual lockdown on vehicle traffic, raising doubts over its effectiveness and providing a glimpse at life inside the epicenter",x,,,,,,,,,,,,,x,,,,,https://nationalpost.com/pmn/health-pmn/travellers-breach-china-virus-lockdown-by-taking-bridge-over-yangtze,
China,1/31/2020,Media,,"The State Council's General Office has appoved the extension of the Spring Festival holiday, aim to strengthen the prevention and control of the 2019-nCoV by reducing the concentration of people. The date to return to work after the Spring Festival was originally scheduled for Jan 31st and has now been postponed to February 10th. Public training is also suspended before Feb 20, the restart date will be announced after the outbreak has become clearer and aligned with each regions policy.  ",,,,,,,,,,,x,,,,,,,,https://finance.yahoo.com/news/bsi-2020-chinese-holiday-office-061300092.html,
