COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,TESTING & CASE DETECTION  ,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN / CANCELLATION,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,RESTRICTING OR LIMITING GATHERINGS,CLOSING PUBLIC PLACES,LOCKDOWN OR CURFEW,EASIND RESTRICTIONS,VACCINE/MCM DEPLOYED,PPE,RESEARCH ADVANCEMENT,COMMENTS,
Egypt,30/01/2020,Media,,"An official statement published by the Association of Egyptian Travel Agencies on 27 January announced that Egypt has suspended all flights from or to China amid an eruption of the deadly coronavirus outbreak. The statement added that all trips to Egypt’s touristic spots including Hurghada, Sharm el-Sheikh and Aswan that had been booked by Chinese travel agencies were adjourned. Trips for approximately 30,000 Chinese tourists expected to visit Egypt in the winter season were cancelled. Egypt was set to welcome 150,000 Chinese visitors in 2020.
The Minister of Health has released guidelines regarding how to properly deal with the virus, warning travelers who carry symptoms to immediately cover their face with a mask and head to the nearest hospital.",,,,,,,,x,,,,,,,,,,,https://egyptindependent.com/egypt-cancels-chinese-flights-amid-coronavirus-outbreak/,
Egypt,30/01/2020,Media,,Egypt has said it will send a special flight to return its citizens. A quarantine period of 14 days would then be enforced.,,,,,,x,,,,,,,,,,,,,https://www.bbc.com/news/world-asia-china-51312378,
Egypt,1/31/2020,Media,1006215837,"Egypt's Minister of Transport instructed officials at Railways and Metro authorities to take precautionary measures against novel Coronavirus. The railway system is also inundated with travelers on a daily basis, which makes hygiene procedures a priority amid threats of the outbreak of the coronavirus. 
The Ministry of Health announced a plan that includes measures like: Issuing medical cards to all travelers coming from China or a country that was affected by the virus, where the cards include details about the travelers to be monitored for 14 days from their arrival. Any suspected cases will be immediately isolated. 
The ministry’s plan also includes allocating isolation departments at fever hospitals, and activating procedures to monitor acute respiratory diseases, raise awareness, and follow up the global epidemiological situation around the clock.
The Minister of Health confirmed that Egypt is free from the new virus, and declared a state of emergency in quarantines at all the state’s air, maritime and ground outlets as a protection against the outbreak of the new coronavirus.
The Association of Egyptian Travel Agencies banned tourism flights from and to China until further notice.
The Chinese Ambassador to Cairo stated that no coronavirus has been detected among the Chinese community in Egypt, and that the Chinese tourists will be leaving Egypt in five days. 
",x,,x,,,,,x,,x,,,,,,,,,https://www.egypttoday.com/Article/1/81114/Precautionary-measures-taken-at-trains-metro-against-coronavirus,
Egypt,1/31/2020,Media,1006215836,"The Egyptian ambassador to China contacted the Chinese authorities to get permission for returning the Egyptians who want to go back home and leave the city. The cabinet called upon all Egyptians who want to leave the city to call the embassy on 01065322541 or send an e-mail on egy.emb_bejjing@mfa.gov.eg , besides the other various ways of contacts on the social media platforms. Minister of Health on 30 January stated that a quarantine will be established for only the Egyptian expats who will come back from Wuhan, adding that they will quarantined for 14 days.
The Egyptian Health Ministry spokesman stressed the readiness of all quarantine departments at the various entry points to the country. All travelers from the areas where the disease was reported undergo a medical inspection at the entry points, suspected cases would be immediately isolated.",,,,,,x,,,,,,,,,,,,,https://www.egypttoday.com/Article/1/81138/Sisi-directs-gov’t-to-take-measures-for-return-of-Egyptians,
Egypt,2/6/2020,Media,1006258925,"The authorities of Damietta Port, in northeastern Egypt, decided to quarantine the crew of a ship coming from Shanghai, China’s biggest city, as part of national efforts to prevent 2019-nCoV from entering the country. The security authorities took security measures on the ship, dubbed “Magic Seas” and dealt with its crew while wearing protective suits, a statement said. The ship carried iron sheets.
As a precautionary measure, the port authorities request a copy of the medical reports of the crew of any ship coming from or passing through China, before it enters the port, including temperature checks, .
The ministry allocated a special building in al-Negila hospital in Matrouh governorate, in northwestern Egypt, to test the repatriated citizens for the deadly virus.
A number of Egyptian importers suspended signing deals to import Chinese garlic because of coronavirus; however, the quantities contracted upon previously are being received.",x,,,,,x,,x,,,,,,,,,,,https://www.egypttoday.com/Article/1/81336/Crew-of-ship-coming-from-China-to-Egypt’s-Damietta-quarantined,
Egypt,2/10/2020,Media,,"The Egyptian Health Minister on 9 February inspected the quarantine at Luxor International Airport, following up on the precautionary medical plan to prevent the entry of the novel coronavirus to Egypt. The minister stressed upon the need for face masks to be worn for all medical teams and workers at the airport, and also check on all travelers through measuring their temperatures and taking all the necessary measures.",,,x,,,x,,,,,,,,,,,,,https://www.egyptindependent.com/health-minister-reviews-preventive-measures-against-coronavirus-at-luxor-airport/,
Egypt,2/12/2020,Media,1006300285,"The Suez Canal Authority in coordination with the Health Ministry have taken all preventive measures to deny access of novel coronavirus into the waterway Suez Canal. The health of the staff who deal directly with passing ships is constantly checked. The precautions measures are also applied to people, ships and buildings. ",x,,,,,,,,,,,,,,,,,,https://www.egypttoday.com/Article/1/81531/Suez-Canal-takes-preventive-measures-against-coronavirus-MP,
Egypt,2/17/2020,Official,,"The confirmed case in Egypt is asymptomatic and was identified through contact screening of an index case who travelled to Cairo between 21 January and 4 February on a business trip and tested positive for COVID-19 on 11 February in China. The confirmed case in Egypt is currently isolated in a referral hospital. Other contacts of the confirmed case are being traced, and so far, all have tested negative, but will be actively followed up on for 14 days. WHO is coordinating with national IHR focal points in China and Egypt in order to support the investigation in Egypt.",,,x,,,,,,,,,,,,,,,,http://www.emro.who.int/media/news/update-on-covid-19-in-the-eastern-mediterranean-region.html,
Egypt,2/19/2020,Media,1006345465,"The Egyptian Cabinet on 19 February issued a statement to deny posts shared by some social media pages warning against the spread of the coronavirus among school pupils. The ministries stressed that no cases of coronavirus have been reported in any school across the nation, asserting full transparency in dealing with the matter.",,,,,,,,,,x,,,,,,,,,https://www.egypttoday.com/Article/1/81802/Cabinet-denies-audio-warning-of-coronavirus-spread-among-school-pupils,
Egypt,2/25/2020,Media,1006378202,Egyptian Consul in Milan on 24 February confirmed that no novel coronavirus cases have been reported among Egyptians in Italy. The Egyptian Consulate has launched awareness campaigns for Egyptians in Italy since the outbreak broke out.,,,,,,,,,,x,,,,,,,,,https://www.egypttoday.com/Article/1/81974/No-coronavirus-among-Egyptians-in-Italy-Egypt’s-consulate,
