COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,TESTING & CASE DETECTION  ,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN / CANCELLATION,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,RESTRICTING OR LIMITING GATHERINGS,CLOSING PUBLIC PLACES,LOCKDOWN OR CURFEW,EASIND RESTRICTIONS,VACCINE/MCM DEPLOYED,PPE,RESEARCH ADVANCEMENT,COMMENTS,
Germany,29/01/2020,Media,1006201736,"In Germany, auto supplier Webasto, which has 11 sites in China, including in Wuhan, has halted all corporate travel to and from China after an employee was infected.",,,,,,x,,,,,,,,,,,,,,
Germany,1/31/2020,Media,,"According to a study published by the New England Journal of Medicine (NEJM) on 30 January 2020, people showing no symptoms appear to be able to spread the novel coronavirus. A case of 2019-nCoV infection was diagnosed in Germany and transmitted outside of Asia. However, the infection appears to have been transmitted during the incubation period of the index patient, in whom the illness was brief and nonspecific. The researchers indicated the fact that asymptomatic persons are potential sources of 2019-nCoV infection may warrant a reassessment of transmission dynamics of the current outbreak. ",,,,,,,,,,,,,,,,,,x,"https://www.statnews.com/2020/01/30/first-documented-case-of-coronavirus-spread-by-person-showing-no-symptoms/?utm_campaign=rss
https://www.nejm.org/doi/full/10.1056/NEJMc2001468?query=featured_home",
Germany,2/3/2020,Media,,"A German military aircraft carrying 128 evacuees from Wuhan landed at Frankfurt Airport on Saturday afternoon (1 February). A German Ministry of Health official said the plane was carrying 110 German citizens. Doctors were also on board to monitor the passengers. The returnees are to be quarantined for two weeks at an army barracks near Frankfurt Airport. None of the German citizens who are to be repatriated are suspected of having contracted the virus, according to Germany's Foreign Ministry. The German Foreign Minister said the plane had delivered aid to Chinese authorities in Wuhan battling the outbreak, including 10,000 protective suits requested by China.",,,x,,,x,,,,,,,,,,,,,https://www.dw.com/en/coronavirus-german-evacuation-flight-lands-in-frankfurt/a-52223609,
Germany,2/6/2020,Media,,"Media reports quoted German public health officials claiming a study published on 30 January in New England Journal of Medicine that suggested Wuhan coronavirus could spread before the onset of symptoms was flawed. Interviews with the Chinese patient at the center of the case revealed she may have actually had mild, nonspecific symptoms.",,,,,,,,,,,,,,,,,,x,https://www.cnn.com/2020/02/05/health/wuhan-coronavirus-flawed-report/index.html,
Germany,2/10/2020,Media,,"Publised in the journal Science on 7 Februry, named ""Scientists are racing to model the next moves of a coronavirus that’s still hard to predict"", researchers from the Humboldt University of Berlin and the Robert Koch Institute created a global risk assessment model relying on air travel data to predict the spred of 2019-nCoV. ",,,,,,,,,,,,,,,,,,x,https://www.sciencemag.org/news/2020/02/scientists-are-racing-model-next-moves-coronavirus-thats-still-hard-predict,
Germany,2/14/2020,Media,1006313291,"Germany's largest airline Lufthansa announced on Friday that it was extending the suspension of flights to two major Cities in China as the outbreak of the new coronavirus continues to rise.
Lufthansa and other Swiss And Austrian Airlines companies will refrain from all flights to Beijing and Shanghai ""until March 28,"" the group said in a statement.",,,,,,,,,,,,,,,,,,,,
Germany,2/19/2020,Media,1006341255,"A new study published by German scientists in The New England Journal of Medicine on 18 February,  titled ""Evidence of SARS-CoV-2 Infection in Returning Travelers from Wuhan, China"", demonstrated that two of the 126 people evacuated from Wuhan to Frankfurt were found to have evidence of SARS-CoV-2 in a throat swab which showed a symptom-based screening process was ineffective in detecting SARS-CoV-2 infection. The scientists stresses that shedding of potentially infectious virus may occur in persons who have no fever and no signs or only minor signs of infection.",,,,,,,,,,,,,,,,,,x,https://www.nejm.org/doi/full/10.1056/NEJMc2001899?query=RP,
Germany,2/25/2020,Media,,"Germany scientists published a study in The Journal of Hospital Infection, titled ""Persistence of coronaviruses on inanimate surfaces and their inactivation with biocidal agents"". The analysis of 22 studies reveals that human coronaviruses such as Severe Acute Respiratory Syndrome (SARS) coronavirus, Middle East Respiratory Syndrome (MERS) coronavirus or endemic human coronaviruses (HCoV) can persist on inanimate surfaces like metal, glass or plastic for up to 9 days, but can be efficiently inactivated by surface disinfection procedures with 62–71% ethanol, 0.5% hydrogen peroxide or 0.1% sodium hypochlorite within 1 minute.",,,,,,,,,,,,,,,,,,x,https://www.foxnews.com/health/human-coronaviruses-live-surfaces-9-days-study,
Germany,2/26/2020,Media,,Germany on 26 February recorded its first COVID-19 case in a 47-year-old man who is in critical condition. His wife is being monitored for the virus. Schools and creches in the couple's home district of Heinsberg have been ordered closed.,,,,,,x,,,,,x,,,,,,,,https://www.telegraph.co.uk/global-health/science-and-disease/coronavirus-news-latest-italy-uk-china-tenerife-death-toll/,
Germany,2/27/2020,Media,,"A regional train traveling between the German cities of Frankfurt and Saarbrücken was stalled for two hours on 26 February, after a passenger announced to train personnel that he was experiencing coronavirus symptoms. The man had recently been on a business trip in Italy, though not in either of the regions that are currently fighting an outbreak. ",x,,,,,x,,,,,,,,,,,,,https://www.dw.com/en/covid-19-updates-germany-facing-a-coronavirus-epidemic/a-52536472,
