COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,TESTING & CASE DETECTION  ,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN / CANCELLATION,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,RESTRICTING OR LIMITING GATHERINGS,CLOSING PUBLIC PLACES,LOCKDOWN OR CURFEW,EASIND RESTRICTIONS,VACCINE/MCM DEPLOYED,PPE,RESEARCH ADVANCEMENT,COMMENTS,
India,30/01/2020,Media,1006208484,"The Indian government has begun the process of ""preparing to evacuate"" Indian nationals affected by situation in Hubei Province, a spokesman of the government confirmed on 29 January. According to a spokesman for the Ministry of External Affairs, the Indian government has requested permission to operate two planes to Hubei province.",,,,,,,,,,,,,,,,,,x,"https://www.cnn.com/2020/01/29/world/wuhan-coronavirus-evacuations-intl/index.html
https://www.bbc.com/news/world-asia-china-51312378",
India,30/01/2020,Media,1006209926,"China's coronavirus pandemic is threatening to disrupt India's $39-billion drug production by halting or severely affecting the flow of imports of bulk drugs and intermediates from the country.  Companies including Lupin, Sun Pharmaceuticals, Glenmark, Mankind, Dr Reddy's, Torrent, Aurobindo Pharma and Abbott are hugely dependent on Chinese imports.The problem for the Indian industry has been compounded by the fact that much of Chinese drug raw material production is concentrated in Hubei, whose capital is Wuhan, the epicentre of the coronavirus outbreak. ",,,,,,,,,,,,,,,,,,,,
India,1/31/2020,Media,1006219555,"On 31 January, the minister had urged the people who suffer from fever, cough, cold or shortness of breath within 28 days to go to the nearest Government Hospital wearing a mask. On the other hand, the officials have set up district nodal officers and emergency toll-free numbers 1100, 1102 or 7013387382, 8008473799 to attend queries on Coronavirus. Authorities have been instructed to set up scanning devices and masks to detected nCoV positive cases at airports and seaports. The government has already given guidelines to state-level officials and told them to be vigilant.

",,,x,,,x,,,,,x,,,,,,,,,
India,2/3/2020,Media,,India has asked its citizens to avoid all travel to China.,,,,,,,x,x,,,,,,,,,,,https://www.scmp.com/news/asia/east-asia/article/3048417/coronavirus-global-travel-restrictions-imposed-chinese,
India,2/3/2020,Media,,"On 1 Febraury, a total of 324 Indians, the majority of whom were students, arrived at the Indira Gandhi International Airport in Gurgaon, near Delhi, in the wee hours on Saturday in a specially-prepped Air India Boeing 747 flight. After an initial screening at the airport, the evacuated people were straightaway taken to quarantine facilities, created by the Indian Armed Forces, to be kept under observation across two locations on the outskirts of Delhi.",,,x,,,x,,,,,,,,,,,,,https://www.aa.com.tr/en/asia-pacific/foreigners-return-amid-coronavirus-outburst-in-china/1721274,
India,2/3/2020,Media,,"At least six Indians are staring at an uncertain future after Chinese authorities stopped them from boarding the special Air India flight, which flew out of Wuhan city on 1 February with 324 of their compatriots on board. The six Indians, comprising four students and two trainees from a Shenzhen-based Chinese electronics company, were stopped at immigration during their medical screening just before they were to board the New Delhi-bound aircraft. All six displayed either above normal or fluctuating temperatures during the screening, and were immediately asked to step aside from the immigration line. Soon after, they were whisked away in local government vehicles to their campuses. The Indian embassy has taken up the issue of their repatriation with the Chinese authorities, and requested that adequate and proper health care support to these individuals. They also urges them to follow the advice given by the Chinese authorities. 



",,,,x,,x,,,,,,,,,,,,,https://www.hindustantimes.com/india-news/6-indians-stopped-from-taking-air-india-s-wuhan-evacuation-flight-stare-at-uncertain-future/story-0KWLh2f7cZbeVsRlmGlpqN.html,
India,2/3/2020,Media,,"Planning for various contingencies, the Indian authorities are also considering alternatives to air evacuation, should a need arise for a mass exit from China. Evacuation by ship remains a possible option in view of the size of the population residing in China. Roughly there are around 40,000 Indians in mainland China, half of whom are students. Besides there are around 20,000 Indian passport holders and people of Indian origin in Hong Kong, many of whom may need to leave.
The Indian health authorities are especially concerned about the possible spread of the respiratory disease from Nepal, where an outbreak has been reported.  the virus spreads to neighbouring Uttar Pradesh and Bihar from Nepal, it would be hard to contain because of the high population density there.",x,,x,,,,,,,,,,,,,,,,https://www.thehindu.com/news/national/govt-alert-for-coronavirus-spread-from-nepal/article30719368.ece,
India,2/3/2020,Media,,"The Kerala government on Monday, 3 February, declared coronavirus a ‘state disaster’ after the third person tested positive for the virus in Kasargod. Meanwhile, the Union Health Ministry on 3 February issued a travel advisory informing the public to refrain from travelling to China.",,,,,,,x,x,,,,,,,,,,,https://www.thequint.com/news/world/china-india-coronavirus-wuhan-2020-live-updates,
India,2/3/2020,Media,,"The Indian government on 2 February issued a new travel advisory asking people to refrain from travelling to China in view of coronavirus outbreak in its Hubei province and said anyone with travel history of China since January 15 could be quarantined.
As on 2 February, 58,658 passengers from 445 flights have been screened for nCoV symptom. A total of 142 symptomatic travellers picked up by the Integrated Disease Surveillance Programme (IDSP) have been referred to the isolation facilities. As many as 130 samples have been tested of which 128 have been found to be negative so far.  India has so far reported two positive cases of nCoV from Kerala.
In addition, travel to India on E-visas has been temporarily suspended with immediate effect. This applies to holders of Chinese passports and applicants of other nationalities residing in China.",x,,,x,,x,x,,x,,,,,,,,,,https://www.livemint.com/news/india/govt-says-anyone-with-travel-history-of-china-since-15-jan-can-be-quarantined-11580658019206.html,
India,2/3/2020,Media,,"India on 31 Janaury banned the export of personal protection equipment such as masks and clothing amid a global coronavirus outbreak.
India, the world’s second most heavily populated country after China, has taken measures to ensure that all people arriving from China report to health authorities.",x,,x,,,,,,,,,,,,,,,,https://www.reuters.com/article/us-china-health-india/india-bans-export-of-protective-masks-clothing-amid-coronavirus-outbreak-idUSKBN1ZU20A,
