COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,TESTING & CASE DETECTION  ,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN / CANCELLATION,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,RESTRICTING OR LIMITING GATHERINGS,CLOSING PUBLIC PLACES,LOCKDOWN OR CURFEW,EASIND RESTRICTIONS,VACCINE/MCM DEPLOYED,PPE,RESEARCH ADVANCEMENT,COMMENTS,
Italy,30/01/2020,Media,1006208484,"Italy said it would begin repatriating its citizens from Wuhan this week. The flight, set to depart Italy on Thursday 30 January, will come with medical personnel.",,,,,,,,,,,,,,,,,,x,https://www.cnn.com/2020/01/29/world/wuhan-coronavirus-evacuations-intl/index.html,
Italy,30/01/2020,Media,1006208274,"About 7,000 passengers and crew are trapped on a cruise ship in Italy amid fears two Chinese holidaymakers are carrying coronavirus. A husband and wife from China have been isolated in separate rooms on the Costa Smeralda, which could have Britons on board, after the couple came down with a fever and breathing difficulties. The two have been checked by doctors and undergone tests to find out if they have novel coronavirus. If they are carrying the killer bug, there are fears that it could have already spread to hundreds of others on board the vessel, which docked at a port in Civitavecchia, north-west of Rome, on 30 January with about 6,000 passengers and 1,000 crew. The Chinese couple arrived at Milan's Malpensa Airport on 25 January and travelled about 100 miles to the port city of Savona, where they boarded the Smeralda the same day. The 1,105-ft long ship had made previous stops this week in Mallorca, Barcelona and Marseille en route back to Italy. Officials wearing masks have boarded the vessel in Civitavecchia and it is unknown if it will continue its journey back to Savona, where it is due to arrive on 1st February.",,,,,,x,,,,,,,,,,,,,https://www.mirror.co.uk/news/world-news/coronavirus-6000-passengers-held-cruise-21392472,
Italy,1/31/2020,Media,1006215331,"The Italian government declared a state of emergency on Friday to accelerate the fight against the new coronavirus and prevent possible spread, a day after the first two cases in the country were confirmed, in two Chinese tourists. The state of emergency is often declared in Italy, after earthquakes or floods. It is a mechanism for activating funds and mobilizing agencies, such as civil protection, in order to prepare structures for the reception of people.",,,,,,,,,,,,,,,,,,,,
Italy,1/31/2020,Media,,"The Italian government said it was suspending all flights between Italy and China, adding it was the first EU government to do so.",,,,,,,,x,,,,,,,,,,,https://www.rawstory.com/2020/01/airlines-curb-or-cancel-china-flights-amid-deadly-coronavirus-outbreak/,
Italy,2/3/2020,Media,,"A hospital in Rome on 2 February announced that it has isolated the DNA sequence of the novel coronavirus. Visiting the Lazzaro Spallanzani National Institute for Infectious Diseases, Italian Health Minister said the discovery will be immediately made available to the entire international community in the interests of taking further measures against the outbreak.",,,,,,,,,,,,,,,,,,x,https://www.euronews.com/2020/02/02/italian-scientists-isolate-dna-sequence-of-coronavirus,
Italy,2/10/2020,Media,,Italy has asked children travelling from China to stay away from school for two weeks voluntarily.,,,,x,,,,,,,,,,,,,,,https://www.straitstimes.com/asia/se-asia/cities-around-the-world-announce-new-travel-restrictions,
Italy,2/12/2020,Media,,"Italy is prepared to screen train passengers if the COVID-19 outbreak worsens, the head of Italy's emergency response service says. Since declaring a state of emergency over the outbreak, the country has suspended direct flights to and from China and ordered health checks on all passengers arriving at Italian airports. Precautionary health checks, which involving taking people's temperature with thermal scanners or thermometers to monitor for signs of fever, will be extended to air passengers transiting through Italian airports.
The government has dispatched a military plane to China to evacuate a 17-year-old Italian national who was barred from another repatriation flight after showing signs of fever, according to Foreign Minister on 10 February. The evacuees are being held in precautionary quarantine at a military facility in the south of Rome for 14 days. ",x,,x,,,x,,x,,,,,,,,,,,https://www.thelocal.it/20200211/coronavirus-italy-ready-to-start-health-checks-in-train-stations-if-necessary,
Italy,2/21/2020,Media,1006359717,"Italian authorities in the northern Lombardy region have urged people to stay at home and avoid social contact after six people tested positive for coronavirus.  A regional health councillor said around 250 people had been placed in isolation and would be tested for the deadly virus. Authorities are trying to establish whether the second batch of three cases is linked to an initial trio in the town of Lodi.       
The Italian prime minister has warned against ""social alarmism and panic"".  ",,,,,,x,,,,x,x,,,,,,,,https://www.telegraph.co.uk/global-health/science-and-disease/coronavirus-uk-news-china-wuhan-deaths-latest/,
Italy,2/21/2020,Media,1006359794,"Italy's Health Minster has announced that all public activities, including school and sports events, will be suspended in the northern part of the country after the number of novel coronavirus cases  in the country has now risen to 14 with 8 more cases reported on 21 February. ",,,,,,x,,,,,x,,,,,,,,https://www.telegraph.co.uk/global-health/science-and-disease/coronavirus-uk-news-china-wuhan-deaths-latest/,
Italy,2/23/2020,Media,1006371791,"Italy stepped up measures Sunday 23 February to ban public gatherings amid rapidly rising numbers of COVID-19 cases in the country and a third death from the virus, calling off the famed Venice Carnival attended by thousands of revelers. The decision to call off the Carnival was announced by Veneto regional Gov. Luca Zaia as the numbers of confirmed coronavirus cases soared to 152, the largest number outside Asia.",,,,,,x,,,,,x,,,,,,,,,
