COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,TESTING & CASE DETECTION  ,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN / CANCELLATION,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,RESTRICTING OR LIMITING GATHERINGS,CLOSING PUBLIC PLACES,LOCKDOWN OR CURFEW,EASIND RESTRICTIONS,VACCINE/MCM DEPLOYED,PPE,RESEARCH ADVANCEMENT,COMMENTS,
Japan,29/01/2020,Media,1006201736,"Japan’s Honda said it recommended employees avoid travel to China, while Nissan said it plans to evacuate its Japanese staff and their families in Wuhan via a government-chartered flight.",,,,,,,,,,,,,,,,,,,,
Japan,30/01/2020,Media,,The second chartered flight with Japanese evacuees from the virus-hit Chinese city of Wuhan arrived in Tokyo on 30 January. It has nine people showing symptoms of fever or coughing.Three Japanese who returned on the first flight  landed on 29 January were confirmed to be infected with the virus.,,,,,,,,,,,,,,,,,,x,http://www.newsonair.com/News?title=Second-chartered-flight-with-Japanese-evacuees-from-virus-hit-Wuhan-arrives-in-Tokyo&id=379543,
Japan,30/01/2020,Media,,"On January 30, Passengers on a China Southern flight between Nagoya to Shanghai refused to board when they realized many of their fellow passengers were from Wuhan. The incident occurred on 28 January and was enough of a disruption to cause a five-hour delay. Staff from the Chinese consulate in Nagoya had to intervened.",,,,,,,,,,,,,,,,,,,https://simpleflying.com/china-southern-passengers-in-japan-refuse-to-fly-with-wuhan-residents/,
Japan,1/31/2020,Media,1006214724,"Japanese travel agencies have suspended China-bound package tours, because major tourism spots in China have been closed amid the crisis. They decide to give full refunds to customers for tours to anywhere in China, excluding Hong Kong and Macau, without collecting cancellation fees, even if they cancel their tours just before departure. 
The Japanese tourism industry is concerned that the coronavirus crisis may affect overall demand for travel abroad, they plan to send out information to prevent the spread of unfounded rumors, as well as excessive worries among the public about overseas travel.",,,,,,,,x,,,,,,,,,,,,
Japan,2/3/2020,Media,,"Japan imposed a 14-day travel ban on foreigners arriving from Hubei province, of which Wuhan is the capital. ",,,,,,,,x,,,,,,,,,,,http://www.koreaherald.com/view.php?ud=20200202000194,
Japan,2/3/2020,Media,,"Japan's Prime Minister on 31 January  announced  a ban on anyone confirmed as having the disease from entering Japan. That requirement, to be implemented on 1 February, instead of February 7 as initially planned, also gives quarantine officials broad powers to test any new arrivals for the virus and enforce hospitalisation where necessary.",x,,x,,,x,,x,,,,,,,,,,,https://www.scmp.com/week-asia/health-environment/article/3048384/japan-bans-coronavirus-infected-after-outcry-over-lax,
Japan,2/3/2020,Media,,"Tokyo Olympic organisers have been forced to confront rumours the coronavirus outbreak could lead to the cancellation of the Games, less than six months before they are due to open. Tokyo Olympic organisers insisted they were “not considering” cancelling the Olympics and Paralympics, but they would work closely with the International Olympic Committee (IOC) and other concerned bodies to draw any countermeasures whenever necessary. The IOC has said countermeasures against infectious diseases constitute an important part of Tokyo 2020’s plans to host a safe and secure Games.",,,,,,,,,,,x,,,,,,,,https://www.theguardian.com/world/2020/feb/01/tokyo-2020-organisers-fight-false-rumours-olympics-cancelled-over-coronavirus-crisis,
Japan,2/3/2020,Media,,"The Japanese government plans to send another charter flight to evacuate Japanese nationals from Wuhan. The fourth government-chartered aircraft to travel to Wuhan will collect some 140 people that remain in the city and nearby areas who wish to return to Japan. The Japanese Embassy in China is asking Beijing to allow their spouses with Chinese citizenship to travel on the flight. 
More than 560 Japanese have returned since 29 January. The total number of people infected with the virus in Japan has risen to 20, with some of the returnees testing positive for2019-nCoV.",,,,,,x,,,,,,,,,,,,,https://www.japantimes.co.jp/news/2020/02/02/national/science-health/japan-fourth-wuhan-evacuation-flight-coronavirus/#.XjhwB2hKg2x,
Japan,2/4/2020,Media,,"The National Institute of Infectious Diseases on 31 January said that it has succeeded in cultivating and isolating the new coronavirus from a person in Japan who has been confirmed to have the virus. The isolated virus’ gene sequences 99.9 percent matched those released by the Chinese government and there was no gene mutation leading to higher infectiousness or toxicity, according to the Japanese institute.  
Using the isolated virus, the institute will start work to develop a vaccine and a drug for the coronavirus, as well as a test kit capable of quick diagnosis. It will also offer the isolated virus to researchers and companies, while trying to discover the infection mechanism and promoting research on the toxicity of the virus.",,,,,,,,,,,,,,,,x,,x,https://www.japantimes.co.jp/news/2020/02/01/national/science-health/japan-isolating-wuhan-coronavirus-vaccine-test/#.XjlmsGhKg2w,
Japan,2/5/2020,Media,,"Japan's Prime Minister said on 4 February that Japan might expand its ban on foreign nationals who have recently been to China's Hubei Province to those from other areas in order to stem the spread of the outbreak. The authorites are analyzing the data on patients within China to determine which regions have a high risk. 
Japan's Health Ministry on the night of 4 February said that three more confirmed 2019-nCoV cases were identified from the evacuees brought back by government-chartered flights from Wuhan.   
The Minister has indicated the development of a rapid test kit for the virus is under way so more institutions, including private ones, can conduct screenings.",,,x,,,x,,x,,,,,,,,,,,https://english.kyodonews.net/news/2020/02/376e2c2b61d9-japan-may-expand-ban-on-foreigners-from-china-amid-virus-outbreak.html,
Japan,2/7/2020,Official,,"As revealed by the International Air Transport Association (IATA), passengers who have been in China's Hubei Province in the past 14 days are not allowed to enter Japan. This does not apply to nationals of Japan. Nationals of China with a passport issued in Hubei Province are not allowed to enter Japan.",,,,,,,,x,,,,,,,,,,,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,
