COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,TESTING & CASE DETECTION  ,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN / CANCELLATION,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,RESTRICTING OR LIMITING GATHERINGS,CLOSING PUBLIC PLACES,LOCKDOWN OR CURFEW,EASIND RESTRICTIONS,VACCINE/MCM DEPLOYED,PPE,RESEARCH ADVANCEMENT,COMMENTS,
South Africa,2/21/2020,Media,,"South Africa's National Health Laboratory Service (NHLS), through its internal division the National Institute for Communicable Diseases, is tasked with conducting surveillance for COVID-19 as well as managing potential cases. It has a call centre to help identify any suspected cases. 
Suspected cases and samples of nasal and throat swabs are handled according to a national protocol. Those who are confirmed as infected would be transitioned into isolation units which already exist for diseases. Family, work and social contacts of confirmed cases would be screened and/or self-quarantined until they are shown to be negative. 
Travellers with high fever are being screening at all ports of entry. 
The government has a formal, inter-sectoral plan on how it responds appropriately to COVID-19.
 ",x,,x,,,x,,,,,,,,,,,,,https://www.dailymaverick.co.za/article/2020-02-21-coronavirus-dont-panic-but-south-africa-needs-to-be-prepared/,
South Africa,2/28/2020,Media,1006408457,"South Africa will evacuate 132 nationals from the Chinese city of Wuhan, the epicenter of the coronavirus outbreak, according to a government statement. There are an estimated 199 South African citizens in Wuhan, and 132 of them have so far expressed desire to be repatriated. Upon arrival in South Africa, the evacuees will be placed in quarantine for 21 days as an additional precautionary measure. ",,,,,,,,,,,,,,,,,,,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-28-20-intl-hnk/index.html,
South Africa,3/5/2020,Media,,"On 5 March, South Africa announced its first COVID-19 case in a man who travelled to Italy, becoming the third sub-Saharan country to report the infection after Senegal and Nigeria. The Emergency Operating Centre (EOC) has identified the contacts by interviewing the patient and doctor. The tracer team has been deployed to KwaZulu-Natal province with epidemiologists and clinicians from NICD. The doctor has been self-isolated as well.  ",,,,,,x,,,,,,,,,,,,,,
South Africa,3/5/2020,Media,,South African Health Minister has said citizens currently quarantined in China will be returning home in the next few days. ,,,,,,x,,,,,,,,,,,,,https://www.aljazeera.com/news/2020/03/backs-83bn-funds-china-death-toll-tops-3000-live-updates-200305000715579.html,
South Africa,3/11/2020,Media,,A completed health questionnaire must be presented to Port Health upon arrival. ,,,,,,x,,,,,,,,,,,,,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,
South Africa,3/12/2020,Official,,"In South Africa, WHO is working closely with local authoritiesto ensure treatment protocols and guidelines are in place. Eleven healthcare facilities, all with intensive care unit (ICU) capacity, have been designated for the treatment of COVID-19.
",,,,,,x,,,,,,,,,,,,,https://apps.who.int/iris/bitstream/handle/10665/331425/SITREP_COVID-19_WHOAFRO_20200311-eng.pdf,
South Africa,3/13/2020,Media,1006510237,"South Africa has so far conducted nearly 900 tests, according to a statement by the government-run National Institute for Communicable Diseases. The South African government is expected to repatriate this week over 100 citizens who have been living in China. They will be in quarantine at a facility in the Northern Province of Limpopo upon arrival on the weekend.",,,,,,,,,,,,,,,,,,,,
South Africa,3/13/2020,Media,1006510267,The Government of Nepal  closed Mount Everest for the rest of the expedition season for fear of contamination of the deadly Covid-19 virus. The NepalI Prime Minister's Office said all climbing permits were cancelled for 48 days from March 14. The Himalayan nation has banned travelers from eight countries. China had already cancelled expeditions on the China-controlled north side of Tibet. ,,,,,,,,,,,,,,,,,,,,
South Africa,3/16/2020,Media,1006532952,"South Africa’s confirmed case toll hits 61 leading to a raft of stringent measures imposed by government. South Africa, Kenya, Rwanda, Senegal have all banned public gatherings in order to curb the outbreak.",,,,,,,,,,,,,,,,,,,,
South Africa,3/23/2020,Media,1006589072,"South Africa will impose a nationwide lockdown for 21 days from midnight on Thursday 26 March to try to contain the coronavirus outbreak, President Cyril Ramaphosa said on Monday, as the number of confirmed cases jumped by 128 to 402.",,,,,,x,,,,,x,,,,,,,,https://nationalpost.com/pmn/health-pmn/south-africa-to-impose-21-day-lockdown-as-coronavirus-cases-jump-2,
