COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,TESTING & CASE DETECTION  ,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN / CANCELLATION,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,RESTRICTING OR LIMITING GATHERINGS,CLOSING PUBLIC PLACES,LOCKDOWN OR CURFEW,EASIND RESTRICTIONS,VACCINE/MCM DEPLOYED,PPE,RESEARCH ADVANCEMENT,COMMENTS,
United Kingdom,29/01/2020,Media,1006201714,"UK government is working to finalise plans overnight to bring Britons back from Wuhan, with flights back to the UK potentially taking place as early as Thursday January 30.",,,,,,,,,,,,,,,,,,,,
United Kingdom,29/01/2020,Media,,Hundreds of Britons evacuated from the Chinese city of Wuhan will be quarantined for two weeks after arriving back in the UK. Passengers may be asked to sign a contract before they board the plane saying they agree to being placed in quarantine. Anyone who does not wish to sign could be asked to stay behind.,,,,,,x,,,,,,,,,,,,curfew,,
United Kingdom,29/01/2020,Media,1006201736,"Europe’s biggest bank, HSBC, banned all staff travel to Chinese-ruled Hong Kong for two weeks and to mainland China until further notice. The British-based lender, which has the largest presence among foreign banks in China, also asked staff who have recently visited the country to undergo a self-imposed 14-day quarantine. ",,,,,,x,,x,,,,,,,,,,,https://www.jpost.com/International/Facebook-others-restrict-business-travel-to-China-as-coronavirus-spreads-615621,
United Kingdom,29/01/2020,Official,,"According to Public Health England, as of Tuesday 28 January 2020, there are currently no confirmed cases in the UK or of UK citizens abroad, and the risk to the public remains low. The Foreign and Commonwealth Office (FCO) are advising against all but essential travel to the Hubei Province. Anyone travelling to China should remain vigilant and check the latest travel advice on GOV.UK. PHE urges those who return from Wuhan in the last 14 days to stay indoors and avoid contact with other people as you would with other flu viruses and call NHS 111 to inform about the travel history",,,,,,x,x,,,,,,,,,,,,https://www.gov.uk/government/news/wuhan-novel-coronavirus-and-avian-flu-advice-for-travel-to-china,
United Kingdom,30/01/2020,Media,,"Britain had planned to bring British citizens in Wuhan back to the United Kingdom on 30 January but had to delay the flight, a UK Foreign Office spokeswoman said 29 January. Around 200 people were due to be on the flight. It was understood the flight was delayed due to Chinese permissions that did not come through. British Health Secretary has said that anyone returning from Wuhan will be isolated for 14 days ""with all neccessary medical attention.""",,,,,,,,,,,,,,,,,,x,https://www.cnn.com/2020/01/29/world/wuhan-coronavirus-evacuations-intl/index.html,
United Kingdom,30/01/2020,Media,,The British government is urgently pressing Beijing to allow dual nationals to leave China after public outcry over families being split up during the coronavirus evacuations. Only British passport holders who do not also hold Chinese nationality are being allowed to leave. The British embassy in Beijing is urging the Chinese to let dependents of British nationals and British-Chinese dual nationals leave too. But the Chinese government has maintained its stance.,,,,,,,,,,,,,,,,,,x,https://www.theguardian.com/politics/2020/jan/29/uk-presses-china-to-let-dual-nationals-join-coronavirus-exodus,
United Kingdom,30/01/2020,Media,1006210371,"Scientists have revealed the cities with the highest risk of the deadly and extremely contagious coronavirus . University of Southampton academics assessed the most ‘high-risk’ cities in the world for coronavirus spread with Bangkok being the highest international concern after China. Researchers found Hong Kong, Taipei, Seoul, Tokyo, Singapore, Phuket, Osaka, Kuala Lumpur, Macau, Denpasar Bali, Sydney, Chiang Mai, Melbourne, Los Angeles, New York and Dubai are the most likely places where the virus will spread in coming weeks. The top 20 countries most at risk of seeing the disease outside of Asia are the US, Australia, Germany, Canada, UK, United Arab Emirates, Italy and Russia.",,,,,,,,,,,,,,,,,,x,"https://news.theceomagazine.com/news/coronavirus-cities/
https://www.worldpop.org/resources/docs/china/WorldPop-coronavirus-spread-risk-analysis-v1-25Jan.pdf",
United Kingdom,30/01/2020,Media,1006209882,"Foreign Secretary has said British nationals trapped in Wuhan will return home on 31 January . Chinese authorities have confirmed the evacuation flight will leave at 23:00 GMT on 30 January. It is expected to land at RAF Brize Norton. The flight, carrying 200 Britons, was due to leave the centre of the coronavirus outbreak earlier but was delayed because of a lack of clearance. As of 29 January, 161 tests have been carried out on people across the UK - all with negative results.",,,,,,,,,,,,,,,,,,,https://www.bbc.com/news/uk-51314028,
United Kingdom,1/31/2020,Official,1006215080,"According to PHE statement on 31 January, PHE have introduced advanced monitoring at airports with direct flights from China. A team of public health experts has been established in Heathrow to support anyone travelling in from China who feels unwell. These hubs will bring in rotational teams of 7 clinicians, working in shifts, who will be on hand to support patients on arrival. This is in addition to medical staff who are already permanently in place at all UK airports and the advice issued to all UK airports for people travelling to and from China.
The government has issued clinical guidance for the detection and diagnosis of novel coronavirus (2019-nCov), and infection prevention and control. The Chief Medical Officer, Medical Director at PHE and Medical Director at NHSE/I have issued advice via a CAS (Central Alerting System) alert to frontline staff to increase awareness of the situation and any actions to take. 
PHE is able to rapidly develop further specific tests for this virus, working with WHO and global network of laboratories. PHE can provide a laboratory result from this specific virus on the same working day. PHE also has the capability to sequence the viral genome and compare this to published sequences from China, if a case occurs. 
PHE also said China has also introduced port-of-exit screening so people already exhibiting symptoms are not allowed to leave the country.
",,,x,,,,,,,,,,,,,,,,https://www.gov.uk/guidance/wuhan-novel-coronavirus-information-for-the-public,
United Kingdom,1/31/2020,Media,,"The 83 Britons who returned to the UK from Wuhan on Friday morning (31 January) have arrived at a facility on the Wirral. The convoy travelled from RAF Brize Norton in Oxfordshire to Arrowe Park Hospital, where the Britons will be quarantined for 14 days in NHS staff accommodation. ",,,,,,x,,,,,,,,,,,,,https://www.theguardian.com/world/live/2020/jan/31/coronavirus-live-updates-china-wuhan-death-toll-who-global-health-emergency-latest-news,
United Kingdom,2/3/2020,Official,,"On 3 February, the Government of United Kingdom stressed that  the risk to individuals in the UK has not changed, after the confirmation of 2 cases of 2019-nCoV in the country. In addition to the travellers from Wuhan and Hubei Province, travellers from elsewhere in China are also urged to stay indoors and avoid contact with other people as you would have the flu and call NHS 111 to inform them of your recent travel to the country, if they have flu-like symptoms. As of 3 February, a total of 326 UK tests have concluded, of which 324 were confirmed negative and 2 positive.  
",,,,,,x,x,,,x,,,,,,,,,https://www.gov.uk/guidance/wuhan-novel-coronavirus-information-for-the-public#advice-for-travellers-from-china,
United Kingdom,2/3/2020,Official,,"According to the Government of United Kingdom on 2 February, a UK-wide public information campaign has been launched to advise the public on how to slow the spread of coronavirus and reduce the impact on NHS services. The government-funded campaign will include public health advice on how people can protect themselves from infection. HM Government and NHS-branded information will appear in radio and print media, as well as social media.",,,,,,,,,,x,,,,,,,,,https://www.gov.uk/government/news/coronavirus-public-information-campaign-launched-across-the-uk,
United Kingdom,2/3/2020,Media,,"Britain is withdrawing some staff from its embassy and consulates in China due to the coronavirus, the British government said in a statement on 1st February. ""In the event that the situation deteriorates further, the ability of the British Embassy and Consulates to provide assistance to British nationals from within China may be limited,"" it said.",,,,,,,,,,,,,,,,,,,https://www.straitstimes.com/asia/east-asia/wuhan-virus-uk-withdraws-some-staff-from-china-embassy,
United Kingdom,2/3/2020,Official,,"The UK Government has pledged £20 million to develop a new vaccine for coronavirus and other infectious diseases. The new funding will support work developing new vaccines for epidemics, including their three new programmes to develop vaccines against the novel coronavirus, 2019-nCoV. These projects aim to advance 2019-nCoV vaccine candidates into clinical testing as quickly as possible. The £20m in new funding will go to the Coalition for Epidemic Preparedness Innovations (CEPI).",,,,,,,,,,,,,,,,x,,,https://www.gov.uk/government/news/20m-announced-to-fund-vaccines-for-coronavirus-and-other-infectious-diseases,
United Kingdom,2/3/2020,Media,,"British drugmaker GlaxoSmithKline Plc is collaborating with the Coalition for Epidemic Preparedness Innovations (CEPI) to contribute towards the effort of developing a vaccine for the coronavirus outbreak, GSK and CEPI said on 3 February. GSK will make its ""adjuvant platform technology"" available for developing a vaccine against the 2019-nCoV virus. The use of adjuvant allows for production of more vaccine doses.",,,,,,,,,,,,,,,,x,,,https://uk.finance.yahoo.com/news/british-drugmaker-gsk-collaborate-cepi-000100205.html,
United Kingdom,2/4/2020,Official,,"UK's Foreign & Commonwealth Office on 4 February issued a statement to recommend British Nationals who are able to leave China to do so, to minimise their risk of exposure to 2019-bCoV. The Foreign Office said commercial airline options for departing China remain available throughout the country, except in Hubei Province, and reiterates that they continues to work on arrangements to evacuate any remaining British nationals from Hubei Province who wish to leave.",,,,,,,x,x,,,,,,,,,,,https://www.gov.uk/government/news/coronavirus-and-travel-to-china-foreign-secretarys-statement-4-february-2020,
United Kingdom,2/4/2020,Official,,"On 4 February, the Government of UK posted an updated guidance for British people travelling and living overseas following the outbreak of novel coronavirus in Wuhan, China, and in other countries worldwide.  Travellers are urged to check the latest travel advice from Foreign & Commonwealth Office (FCO). The FCO is currently advising against all travel to Hubei Province, and against all but essential travel to the rest of mainland China. The FCO is not advising against travel to any other country/territory as a result of coronavirus risks. FCO travel advice remains under constant review to ensure it reflects our latest assessment of risks to British people.  ",,,,,,,x,x,,,,,,,,,,,https://www.gov.uk/guidance/travel-advice-novel-coronavirus,
United Kingdom,2/5/2020,Media,,"Britain will send a second and final plane to evacuate UK nationals from Wuhan. The charter flight is expected to leave on Sunday morning (9 February) at Royal Air Force base Brize Norton, officials said in a statement. ",,,,,,,,,,,,,,,,,,,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-05-20-intl-hnk/index.html,
United Kingdom,2/5/2020,Media,,A letter from a senior NHS England director revealed that all NHS hospitals in England must have cordoned off coronavirus testing areas. Emergency departments have been told they should have isolated 'assessment pods' ready to use by this 7 February. From inside the pods patients will be told to phone the NHS 111 helpline and then assessed and the A&E staff updated by phone and warned if they need testing. The hospitals' coronavirus 'pods' are set up to help doctors to separate them and also stop them interrupting the normal function of A&E departments.,,,,,,x,,,,,,,,,,,,,https://www.dailymail.co.uk/health/article-7970191/Hospitals-England-set-coronavirus-assessment-pods-NHS-boss-warns.html,
United Kingdom,2/5/2020,Media,1006249847,"The Head of Mucosal Infection and Immunity at Imperial College London, on 5 February said they are now at the stage to start testing the vaccine on animals as early as next week with human studies in the summer if enough funding is secured. The team is hoping to move from early animal testing into the first human studies in a few month if the funding is adequate.",,,,,,,,,,,,,,,,x,,x,https://news.sky.com/story/coronavirus-significant-breakthrough-in-race-for-vaccine-made-by-uk-scientists-11926469,
United Kingdom,2/6/2020,Official,,"On 6 February, PHE updated a series of reports and guidance for Novel coronavirus (2019-nCoV): initial investigation of possible cases. Information on the initial assessment and investigation of possible cases of novel coronavirus (2019-nCoV) infection are provided. In addition, information on novel coronavirus (2019-nCoV) including epidemiology, virology and clinical features, guidance on the assessment and management of suspected UK cases were also updated. ",,,,,,,,,,,,,,,,,,,"https://www.gov.uk/government/publications/wuhan-novel-coronavirus-initial-investigation-of-possible-cases
https://www.gov.uk/government/publications/wuhan-novel-coronavirus-background-information
",
United Kingdom,2/6/2020,Media,,"According to a Department of Health statement quoted by media, The UK Chief Medical Officers are advising anyone who has travelled to the UK from mainland China, Thailand, Japan, Republic of Korea, Hong Kong, Taiwan, Singapore, Malaysia or Macau in the last 14 days and is experiencing cough or fever or shortness of breath, to stay indoors and call NHS 111, even if symptoms are mild. The countries were identified because of the volume of air travel from affected areas, other travel routes and number of reported cases.",,,,,,x,x,,,,,,,,,,,,https://www.thesun.co.uk/news/10909504/brits-japan-thailand-korea-coronavirus/,
United Kingdom,2/10/2020,Media,,"United Kingom has decided to declare the novel coronavirus outbreak as a serious and imminent threat to public health,  giving the government fresh legal powers to forcibly quarantine people and send them into isolation if they pose a threat. ",,,,,,x,,,,,,,,,,,,,https://www.theguardian.com/world/live/2020/feb/10/coronavirus-live-updates-china-goes-back-to-work-as-cases-exceed-40000-latest-news,
United Kingdom,2/10/2020,Official,,"The novel coronavirus diagnostic test developed by Public Health England (PHE) is being rolled out to laboratories across the UK starting on Monday 10 February. The increase in diagnostic capacity from one laboratory in London to 12 labs over the coming weeks, will accelerate the country’s testing capabilities.",,,,,,,,,,,,,,,,,,x,https://www.gov.uk/government/news/phe-novel-coronavirus-diagnostic-test-rolled-out-across-uk,
United Kingdom,2/10/2020,Media,,"According to scientists from the London School of Hygiene & Tropical Medicine, trends in reported cases in Wuhan broadly support the mathematical modeling to predict the epidemic’s transmission dynamics. The research shows that the new coronavirus may have infected at least 1 in 20 people in Wuhan by the time it peaks in coming weeks. Based on that, a prevalence of 5 percent equates to about 500,000 cumulative infections. This figure is many times more than the cases provincial health authorities had counted in Wuhan so far.",,,,,,,,,,,,,,,,,,x,https://www.japantimes.co.jp/news/2020/02/09/world/coronavirus-cases-wuhan-may-nearing-peak-study-finds/,
United Kingdom,2/10/2020,Media,,"on 7 February, the British scientists published a study in The Lancet called ""Clinical evidence does not support corticosteroid treatment for 2019-nCoV lung injury"". ",,,,,,,,,,,,,,,,,,x,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30317-2/fulltext#%20,
United Kingdom,2/10/2020,Media,,Brighton’s County Oak medical centre in United Kingdom is closed amid fears of the infection spreading after two healthcare workers have tested positive for novel coronavirus. ,,,,,,x,,,,,,,,,,,,,https://www.independent.co.uk/news/health/coronavirus-brighton-gp-county-oak-medical-centre-nhs-uk-outbreak-test-a9327446.html,
United Kingdom,2/11/2020,Official,,"On 7 February, the UK government issued an new advisory to urge travellers arriving from nine countries and territories to stay at home and call the National Health Service if they are ill within 14 days of their arrival. The advisory, which initially covered only mainland China, has now been expanded to include Singapore, Thailand, Japan, South Korea, Taiwan, Malaysia, Hong Kong and Macau.",,,,,,x,,,,,,,,,,,,,https://www.gov.uk/government/news/novel-coronavirus-and-avian-flu-advice-for-travel-to-china,
United Kingdom,2/11/2020,Media, ,"On 10 February, Imperial College London‌ published a new report the describe Severity of 2019-novel coronavirus (nCoV). For cases detected in Hubei, we estimate the CFR to be 18% (95% credible interval: 11%-81%). For cases detected in travellers outside mainland China, we obtain central estimates of the CFR in the range 1.2-5.6% depending on the statistical methods, with substantial uncertainty around these central values. Using estimates of underlying infection prevalence.",,,,,,,,,,,,,,,,,,x,https://www.imperial.ac.uk/mrc-global-infectious-disease-analysis/news--wuhan-coronavirus/,
United Kingdom,2/11/2020,Media,,"Researchers at London’s Imperial College, currently testing a vaccine against the coronavirus on rats, hope to have it ready by the end of this year.",,,,,,,,,,,,,,,,x,,x,https://www.brusselstimes.com/all-news/belgium-all-news/94545/swine-fever-luxembourg-province-announces-new-precautionary-measures/,
United Kingdom,2/11/2020,Media,,"Schools across the UK have been told to issue advice against all travel to South-East Asia during the half-term holidays to help stop the spread of novel coronavirus. The guidance, from the Department of Education, includes avoiding mainland China and using hand sanitiser. Staff are also reminding parents of the symptoms to look out for, including tiredness, fever, a cough and breathing difficulties.",,,,,,,x,x,,x,,,,,,,,,https://www.thesun.co.uk/news/10937395/half-term-coronavirus-warning-parents-schools/,
United Kingdom,2/12/2020,Media,,The government in the UK has told pharmaceutical businesses to examine the risk that novel coronavirus poses to the supply chain and retain any stockpiles from Brexit to mitigate shortages. ,,,,,,,,,,,,,,,,,,,https://www.europeanpharmaceuticalreview.com/news/112659/uk-government-urges-pharma-to-assess-impact-of-coronavirus-on-supply-chain/,
United Kingdom,2/12/2020,Media,,"British-based The Native Antigen Company on 12 February said that it had introduced novel antigens to deal with the novel coronavirus. The company has said these recombinant proteins offer scientists high-quality reagents to support ongoing infectious disease research, and the development of diagnostics and vaccines,",,,,,,,,,,,,,,,,,,x,https://www.aljazeera.com/news/2020/02/china-coronavirus-outbreak-latest-updates-200211234637415.html,
United Kingdom,2/13/2020,Media,1006306279,"Public Health England investigates the latest COVID-19 patient movements which have raised concerns about London’s transport hub; the National Institute for Health Research said London commuters should continue to go about their business as usual. Provided the individual followed the government's advice (to self-isolate) there should be little concern of transmission to the general public in London. The risk to the general public is moderate, and the trust said that testing of suspected coronavirus cases is carried out in line with strict regulations, with suspected cases kept in isolation. Everyone is being reminded to follow Public Health England advice to: Always carry tissues with you and use them to catch your cough or sneeze. Bin the tissue and wash your hands or use a sanitiser gel. Wash your hands often with soap and water, especially after using public transport. Use a sanitiser gel if soap and water are not available. Avoid touching your eyes, nose and mouth with unwashed hands. Avoid close contact with people who are unwell.",,,,,,,,,,,,,,,,,,,,
United Kingdom,2/13/2020,Media,1006307339,HOSPITALS up and down the country are setting up isolation pods to prevent the spread of coronavirus.,,,,,,x,,,,,,,,,,,,,,
United Kingdom,2/14/2020,Media,1006313743,Paramedics in hazmat suits have today been filmed marching a man out of a flat in central London hours after the first coronavirus patient was confirmed in the capital. Health bosses have been scrambling to trace people she came into contact with,,,,,,,,,,,,,,,,,,,,
United Kingdom,2/17/2020,Official,,"Public Health England published  several documents to provide information for clinical diagnostic laboratories regarding safety, sampling and packaging specimens associated with COVID-19. These documents provide guidance to clinical diagnostic laboratories on the handling and processing of specimens for the diagnosis of COVID-19, and covers safety, laboratory investigations as well as sample requirements.
",,,,,,,,,,,,,,,,,,,https://www.gov.uk/government/publications/wuhan-novel-coronavirus-guidance-for-clinical-diagnostic-laboratories,
United Kingdom,2/17/2020,Media,1006330743,"Schools do not need to close or send staff and pupils home if there is a suspected case of coronavirus, new guidance is to recommend.
Public Health England will say no restrictions or special control measures are needed while tests are carried out on a suspected case.",,,,,,,,,,,,,,,,,,,,
United Kingdom,2/18/2020,Official,,"The Government of United Kingdom published a guidance document to assist schools and other educational settings in providing advice for pupils, students, staff and parents or carers regarding the novel coronavirus, COVID-19. ",,,,,,,,,,x,,,,,,,,,https://www.gov.uk/government/publications/guidance-to-educational-settings-about-covid-19,
United Kingdom,2/18/2020,Media,,"A Holiday Inn at Heathrow airport has been block-booked to be used as a quarantine facility in anticipation of more potential coronavirus cases arriving in the UK. The hotel will be used for those considered at risk but with nowhere else to go, the Department of Health confirmed. This includes space for people to self-isolate if they have been advised to, and to be tested for the virus and await results.
The Foreign Office is in contact with the 74 British nationals on the Diamond Princess ship in Yokohama about the possibility of repatriation flights.",,,x,,,x,,,,,,,,,,,,,https://www.theguardian.com/world/2020/feb/17/heathrow-hotel-block-booked-as-coronavirus-quarantine-facility,
United Kingdom,2/19/2020,Media,,"Scotland’s public health minister has visited one of the country’s two testing laboratories, and said there was no current evidence to suggest it is necessary for people in Scotland to wear masks to protect against the COVID-19 virus.
Screening laboratories in Glasgow and Edinburgh have tested 202 possible cases since testing began in Scotland on 10 February, with all proving negative. The Minister ensures the public scotland is is well prepared to deal with the situation if a a case of novel coronavirus presents in the country. ",x,,,,,x,,,,,,,,,,,,,https://www.theguardian.com/world/live/2020/feb/19/coronavirus-outbreak-updates-coronavirus-live-updates-hubei-deaths-china-wuhan-outbreak-japan-diamond-princess-china-business-death-toll-latest-news,
United Kingdom,2/19/2020,Media,,"The British Department of Health has said Britons returning home from the Diamond Princess cruise ship that has had more than 600 cases of novel coronavirus will be quarantined at the same NHS facility that housed people flown back to the UK from Wuhan. They will be kept in this location for the 14-day quarantine period, with around-the-clock support from medical staff at all times.",,,,,,x,,,,,,,,,,,,,https://www.theguardian.com/world/live/2020/feb/19/coronavirus-outbreak-updates-coronavirus-live-updates-hubei-deaths-china-wuhan-outbreak-japan-diamond-princess-china-business-death-toll-latest-news,
United Kingdom,2/21/2020,Media,1006359543,"Imperial College London on 21 February published a new report,  titled ""Relative sensitivity of international surveillance"", analysing COVID-19 cases exported from mainland China to different regions and countries, comparing the country-specific rates of detected and confirmed cases per flight volume to estimate the relative sensitivity of surveillance in different countries.  
The researchers estimate that about two thirds of COVID-19 cases exported from mainland China have remained undetected worldwide, potentially resulting in multiple chains of as yet undetected human-to-human transmission outside mainland China.",,,x,x,,,,,,,,,,,,,,x,https://www.imperial.ac.uk/mrc-global-infectious-disease-analysis/news--wuhan-coronavirus/,
