COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,TESTING & CASE DETECTION  ,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN / CANCELLATION,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,RESTRICTING OR LIMITING GATHERINGS,CLOSING PUBLIC PLACES,LOCKDOWN OR CURFEW,EASIND RESTRICTIONS,VACCINE/MCM DEPLOYED,PPE,RESEARCH ADVANCEMENT,COMMENTS,
United States,29/01/2020,Media,1006201736,"Facebook became the first major U.S. company to announce a travel suspension after the U.S. government’s warning, saying it had asked employees to halt non-essential travel to mainland China and to work from home if they had travelled there. U.S. rival Goldman Sachs Group imposed similar measures",,,,,,,,,,,,,,,,,,x,,
United States,29/01/2020,Media,1006204322,New Mexico State University says its study abroad office will not be sending students to China and the school will follow the U.S. State Department’s travel warning of “reconsider travel” to China until further notice.,x,,x,x,,,x,x,,,,,,,,,,,https://www.citynews1130.com/2020/01/29/new-mexico-state-to-halt-student-trips-to-china-amid-virus/,
United States,29/01/2020,media,1006204251,"Florida State University has announced a suspension of travel to all parts of China. The statement, released by the FSU Controller's Office, says the move comes as the CDC recommends travelers avoid ""all nonessential travel,"" to the country while outbreaks of the respiratory coronavirus are ongoing.",x,,x,x,,,x,x,,,,,,,,,,,https://www.wctv.tv/content/news/FSU-suspending-all-travel-to-China-due-to-coronavirus-outbreak-567399501.html,
United States,30/01/2020,Official,,"CDC on 29 January issued a media statement to notify that the flight carrying approximately 210 U.S. citizens from Wuhan had arrived at March Air Reserve Base in California. 
• The plane was met by a team of CDC medical officers deployed there to assess the health of the passengers. The passengers have been screened, monitored and evaluated by medical personnel every step of the way, including before takeoff, during the flight, during a refueling in Anchorage, Alaska, and now post-arrival. CDC staff have conducted risk assessments to ensure the health of each traveler, including temperature checks and observing for respiratory symptoms.
• CDC will work with the California Department of Public Health and Riverside County Public Health to transport any passenger exhibiting symptoms to a hospital for further evaluation. Passengers not exhibiting symptoms of exposure, will be asked to stay on the base in housing to allow CDC medical officers to perform more thorough screening and to better understand each individual’s exposure.
• At this time, CDC continue to believe the risk of coronavirus exposure to the general public is low.

",,,,,,x,,,,,,,,,,,,x,https://www.cdc.gov/media/releases/2020/s0129-repatriated-US-citizens.html,
United States,30/01/2020,Media,,"Google is temporarily shutting down all of its China offices due to the coronavirus outbreak, the company confirmed to media on 29 January. The shutdown includes all offices in mainland China, as well as Google’s offices in Hong Kong and Taiwan. it’s also placed temporary business travel restrictions on flying to mainland China and Hong Kong. The company is also advising employees currently in China, and employees who have immediate family members returning from the country, return home as soon as possible and to work from home for at least 14 days from their departure date.",,,,,,x,x,x,,,,,,,,,,,https://www.theverge.com/2020/1/29/21113817/coronavirus-google-china-offices-temporary-closing-virus-outbreak-risk,
United States,30/01/2020,Media,"1006209850

","Johnson & Johnson on 29 January said that it is launching a ""multi-pronged"" response to the novel coronavirus.  Efforts include developing a vaccine candidate against 2019-nCoV and ""broadly"" collaborating with others to screen a library of compounds with potential to fight the infection. Johnson & Johnson will also review known pathways in coronavirus pathophysiology to determine whether previously tested drugs can be used to boost survival rates of patients who have contracted 2019-nCoV and reduce severity of disease in non-lethal cases. Further, the company said it has donated its HIV drug Prezcobix (darunavir/cobicistat) at the request of Chinese health authorities who are evaluating its potential in fighting the virus. 
Meanwhile, Moderna and Inovio Pharma have confirmed they will also start work on developing potential vaccines against the new coronavirus.
 AbbVie has said that it has donated about $2 million worth of the HIV drug Kaletra ((lopinavir/ritonavir) as an ""experimental option"" in response to a request by Chinese health authorities, but it noted that China, not the drugmaker, is leading testing of the therapy for treating coronavirus. ",,,,,,,,,,,,,,,,x,,,http://www.firstwordpharma.com/node/1696913?tsid=28®ion_id=2,
United States,30/01/2020,Media,1006209818,"With many Americans in Wuhan expressing frustration over being stuck there, the United States is now coordinating further flights out for U.S. citizens remaining in Wuhan, who will have to reimburse the government for the cost.",,,,,,,,,,,,,,,,,,,https://www.washingtonpost.com/world/asia_pacific/china-coronavirus-live-updates/2020/01/30/1da6ea52-4302-11ea-b5fc-eefa848cde99_story.html,
United States,30/01/2020,Media,,"The Defense Secretary said the Pentagon would circulate a new directive on 30 January, advising U.S. military forces worldwide “about precautions they should take” and “how to recognize the signs and symptoms” of the coronavirus. The Hawaii-based Indo-Pacific Command will also be taking unspecified measures.",,,,,,x,,,,,,,,,,,,,https://www.washingtonpost.com/world/asia_pacific/china-coronavirus-live-updates/2020/01/30/1da6ea52-4302-11ea-b5fc-eefa848cde99_story.html,
United States,30/01/2020,Media,1006209412,"A Philadelphia-based pharmaceutical company is helping to fast-track a vaccine to help quell the deadly coronavirus outbreak. Backed by a fresh $9 million grant from the Coalition for Epidemic Preparedness Innovations (CEPI), which receives money from public and private funding, Inovio Pharmaceuticals will begin developing the vaccine along with University of Pennsylvania-based research facility, the Wistar Institute, to ensure that it is available within the next few months.",,,,,,,,,,,,,,,,x,,,,
United States,1/31/2020,Official,,"CDC on 30 January held a meida conference to brief the first confirmation of Person-to-Person Spread of 2019-nCoV in the United States. CDC Director's indicated that CDC experts have expected some person-to-person spread in the US based on what they've seem in China and other countries, however, CDC still believe the immediate risk to the American public is low. ",,,,,,,,,,,,,,,,,,,https://www.cdc.gov/media/releases/2020/p0130-coronavirus-spread.html,
United States,1/31/2020,Media,,"The Trump administration launched a task force with a brief to protect the United States from the fast-spreading coronavirus, as the country prepared to evacuate more of its citizens from Wuhan, China. In a statement on 30 January, the U.S. State Department said Washington would arrange extra evacuation flights from Wuhan with capacity for private U.S. citizens, on or about 3 February.",,,,,,,,,,,,,,,,,,,"https://www.reuters.com/article/us-china-health-usa-wuhan-idUSKBN1ZT103
",
United States,1/31/2020,Media,,"Media repeort quoted US Health and Human Services Secretary on 28 January saying that China refused two direct offers from the US to send infectious disease experts to help fight the virus's spread, and a third made via the World Health Organization. The Official urged China to be more 'transparent and cooperative' . The WHO announced earlier that China had agreed to let its international experts into the country to learn more about the coronavirus ",,,,,,,,,,,,,,,,,,,https://www.dailymail.co.uk/health/article-7940139/China-turned-offer-send-scientists-fight-coronavirus.html,
United States,1/31/2020,,,"The White House is considering a ban on flights between the United States and China as the new coronavirus outbreak continues to spread, Trump administration officials said late Tuesday (28 January).",,,,,,,,x,,,,,,,,,,,https://www.usatoday.com/story/travel/news/2020/01/28/white-house-considers-ban-china-flights-amid-coronavirus-outbreak/4602839002/,
