NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY_TERRITORY_AREA,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,COMMENTS,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE_ENTRY,Sys_BatchID
16893,GPHIN04466,GPHIN,4466,AMRO,Brazil,BRA,76,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"Cumbica Airport begins to measure passenger temperature from international flights
The action was structured after an agreement between Anac, guarulhos city hall and GRU Airport and began at 0h on Friday (27) to identify suspected coronavirus.
The Airport of Cumbica, in Guarulhos, in Greater São Paulo, is measuring the temperature of passengers arriving in the capital of São Paulo coming from international flights, in the early hours of Friday (27), to identify suspicious cases of the new coronavirus. The service is performed between immigration and baggage collection by health professionals.
Patients with suspected coronavirus will be referred to guarulhos hospital. However, later, these cases will be sent to a Provisional Screening Center that will be inaugurated soon, according to GRU Airport, the concessionaire that manages the airport.
The action was structured after an agreement between the National Civil Aviation Agency (Anac), guarulhos city hall and GRU Airport.",,,,Media,,,2020-03-27,,2020-03-27,9261
20009,GPHIN06160,GPHIN,6160,AMRO,Brazil,BRA,76,national,,,,VACCINE/MCM DEPLOYED,7,Biological measures,,,,,,"The National Research Ethics Commission (Conep), an agency of the Ministry of Health, issued a favorable opinion for the development of a research with nitazoxanide 600 mg, a vermifuge known by the trade name Annita, for the treatment of patients with covid-19.  The study foresees a clinical trial with 50 participants, with ""duration of approximately 21 days per participant, 07 days of treatment/follow-up and 14 days of clinical follow-up"". One of the participants, all patients with non-critical covid-19, will receive nitazoxanide 600 mg, and the other part placebo. The study is expected to be completed in September of this year.",,,,Media,https://noticias.uol.com.br/colunas/diogo-schelp/2020/04/16/saude-aprovou-pesquisa-com-annita-segredo-de-pontes-contra-covid-19.htm,,2020-04-16,,2020-04-16,9261
1300,ACAPS_1300,ACAPS,5464,AMRO,Brazil,BRA,76,national,,Movement restrictions,,Domestic travel restrictions,4.5.1,Social and physical distancing measures,Domestic travel,Suspending or restricting movement,No,,,extended reduced public transportation until 3 May.,Not available,Introduction / extension of measures,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,,2020-04-08,,2020-04-15,9261
10969,GPHIN00020,GPHIN,20,AMRO,Brazil,BRA,76,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"Companies such as Mining Vale, Facebook and Nissan have halted indefinite trips by Brazilian employees to China to prevent the spread of coronavirus. Educational institutions, such as Universidade Estadual Paulista (Unesp), had already place restrictions on the arrival of exchange students. Vale's Brazilian employees who are already in China are teleworking. As a precaution, Nissan suspended any corporate travel of employees in Brazil to the Asian country. Airlines are also canceling flights and are adjusting schedules not only for Hubei province, but also for the remaining China. Abroad, the American United Airlines has reduced flights to China.",,,,Media,,,2020-01-29,,2020-01-29,9261
27768,CSHVienna_180,CSHVienna,180,AMRO,Brazil,BRA,76,national,,Healthcare and public health capacity,Enhance emergency response mechanisms,Public Health Emergency of International Concern,8.1,Other measures,,Legal and policy regulations,,,,.,,,,,https://coronavirus.saude.gov.br/linha-do-tempo,,2020-02-03,,2020-02-03,9261
27781,CSHVienna_193,CSHVienna,193,AMRO,Brazil,BRA,76,national,,"Case identification, contact tracing and related measures",Enhance detection system,Research and test of suspected cases,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,,,.,,,,,https://www.saude.gov.br/noticias/agencia-saude/46435-brasil-confirma-primeiro-caso-de-novo-coronavirus,,2020-03-06,,2020-03-06,9261
16884,GPHIN04458,GPHIN,4458,AMRO,Brazil,BRA,76,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"Ministry of Health launches channel to serve population on WhatsApp. To keep the population and health professionals informed about coronavirus, the Ministry of Health launches, on Thursday (26), an exclusive and free channel on WhatsApp, messaging application belonging to Facebook. The tool has guidance on the disease, on treatment and even care protocol for professionals in health clinics.
A bot (auto attendant robot) will receive questions and provide guidance on the coronavirus. The robot's programming includes recommendations on how to act against suspected cases, forms of contamination, prevention, Ministry actions and demystification of rumors about the virus.
The bot created by WhatsApp is being offered by Facebook to countries as a way to help fight the pandemic. In Brazil, the closed partnership with the Ministry of Health reinforces the Federal Government's communication strategy since the beginning of the crisis: transparency, clarity and systematization in the messages sent to the population.",,,,Media,,,2020-03-27,,2020-03-27,9261
27765,CSHVienna_177,CSHVienna,177,AMRO,Brazil,BRA,76,national,,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare emergency state,8.1,Other measures,,Legal and policy regulations,,,,level 2 (of 3). Change of COE to level 2 (imminent danger) with change in case definition,,,,,https://coronavirus.saude.gov.br/linha-do-tempo/#fev2020,,2020-01-28,,2020-01-28,9261
1286,ACAPS_1286,ACAPS,2218,AMRO,Brazil,BRA,76,national,,Movement restrictions,,Border closure,5.5,International travel measures,,Entry screening and isolation or quarantine,Yes,,,"As of 19 March, all land borders with neighbouring countries of Brazil are closed. These countries include: Argentina, Bolivia, Colombia, Guyana, French Guyana, Paraguay, Peru, Suriname and Venezuela for at least 15 days. On 22 March, the land border with Uruguay was announced closed for at least 30 days. *Brazilian nationals and residents are exempt from entry restrictions, as well as humanitarian aid and cargo trucks.",Not applicable,Introduction / extension of measures,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,,2020-03-19,,2020-03-25,9261
27766,CSHVienna_178,CSHVienna,178,AMRO,Brazil,BRA,76,national,,Healthcare and public health capacity,Enhance emergency response mechanisms,contingency plan,8.2,Other measures,,Scaling up,,,,.,,,,,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-96222020000100100&lng=en&nrm=iso&tlng=en,,2020-01-27,,2020-01-27,9261
22813,OxCGRT775,OxCGRT,OXCGRT002648,AMRO,Brazil,BRA,76,national,,,,C2 - workplace closing - 3,4.2.2,Social and physical distancing measures,"Offices, businesses, institutions and operations",Closing,0,,,The governor of Sao Paulo extends the closure of all but essential business in all 645 municipalities of the state until May 10 Link: https://web.archive.org/web/20200426081633/https://www.saopaulo.sp.gov.br/noticias-coronavirus/governo-de-sao-paulo-prorroga-quarentena-ate-dia-10-de-maio/,Required,,,,,,2020-04-17,,,9261
22786,OxCGRT748,OxCGRT,OXCGRT002627,AMRO,Brazil,BRA,76,national,,,,C8 - restrictions on international travel - 4,5.3,International travel measures,,Restricting entry,,,,Brazil prohibits foreigners from all nationalities from entering the country  Link: https://web.archive.org/web/20200428081413/https://www1.folha.uol.com.br/cotidiano/2020/03/governo-brasileiro-fecha-fronteiras-aereas-a-estrangeiros-de-todas-as-nacionalidades.shtml,,,,,,,2020-03-27,,,9261
