NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY_TERRITORY_AREA,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,COMMENTS,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE_ENTRY,Sys_BatchID
18449,GPHIN05350,GPHIN,5350,AMRO,Canada,CAN,124,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"To reduce the spread of COVID-19 in hundreds of Canadian health-care professionals who work in the United States, some Ontarian border city hospitals in Windsor and Sault Ste. Marie, adopted new policies that bar employees from working on both sides of the border.",,,,Media,https://www.theglobeandmail.com/canada/article-ontario-cities-ban-health-care-workers-from-crossing-borders-to-work/,,2020-04-07,,2020-04-07,9261
14935,GPHIN02924,GPHIN,2924,AMRO,Canada,CAN,124,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"The Canadian Finance Minister's upcoming budget will include measures to deal with the immediate threat COVID-19 presents to the Canadian economy. In a speech on 6 March, the Minister promised support would be coming next week for Canadians who have to be quarantined to prevent the spread of the novel coronavirus and COVID-19. He would include a larger-than-normal risk adjustment in his budget — essentially a contingency plan — to make sure Canada has the fiscal firepower to respond to the virus-related slump hitting the global economy.",,,,Media,https://www.cbc.ca/news/politics/bill-morneau-budget-coronavirus-climate-change-1.5488821,,2020-03-06,,2020-03-06,9261
21125,GPHIN06862,GPHIN,6862,AMRO,Canada,CAN,124,national,,,,RESEARCH ADVANCEMENT,10,Not of interest,Not of interest,Not of interest,,,,"One in 10 Canadians believes a conspiracy theory about the novel coronavirus, according to preliminary research from the University of Sherbrooke in Quebec.  The researchers sent surveys to 600 people, half in Quebec and half in the rest of Canada, to ask about the psychological impacts of the pandemic. 
Respondents were presented with six conspiracy theories and asked if they believe any of them, including 1) My government is hiding important information about coronavirus. 2) Coronavirus was intentionally made in a lab. 3) Coronavirus was manufactured in a lab by mistake. 4) The pharmaceutical industry is involved in the spread of the coronavirus. 5) Coronavirus medication already exists. 6) There's a link between 5G technology and the coronavirus.  The survey shows at least one in 10 respondents believed at least one of the six theories. One of the most popular conspiracy theories of the pandemic is that the coronavirus that causes COVID-19 was genetically engineered in a laboratory, possibly as a biological weapon. 
The study is expected to expand to include six countries eventually.",,,,Media,https://www.cbc.ca/news/technology/coronavirus-conspiracy-theories-popular-canada-1.5542890,,2020-04-24,,2020-04-24,9261
27808,CSHVienna_220,CSHVienna,220,AMRO,Canada,CAN,124,other,Toronto,"Case identification, contact tracing and related measures",Enhance detection system,Research and test of suspected cases,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,,,". First case discovered (25/01) and 19 in Ontario being investigated for coronavirus after 1 case confirmed, 1 presumed",,,,,https://www.cbc.ca/news/canada/toronto/coronavirus-wuhan-ontario-second-case-1.5441401,,2020-01-25,,2020-01-25,9261
16802,GPHIN04389,GPHIN,4389,AMRO,Canada,CAN,124,national,,,,RESEARCH ADVANCEMENT,10,Not of interest,Not of interest,Not of interest,,,,"HIV testing machines are coming in handy in the fight against COVID-19. A hospital in Vancouver has recently announced that it has high volume COVID-19 testing capabilities thanks to repurposing machines that were already at the hospital. According to an announcement from St. Paul's Hospital, the method can test over 2,000 COVID-19 samples a day.
On March 21, the St. Paul's Hospital in Vancouver announced that they were the first hospital in Canada to start using a new, ""high throughput and fully automated"" COVID-19 testing method. 
This method uses a pair of machines that are typically used for HIV and hepatitis B testing.",,,,Media,https://www.narcity.com/news/ca/bc/vancouver/covid-19-testing-in-vancouver-over-2000-samples-processed-daily-thanks-to-new-method,,2020-03-26,,2020-03-26,9261
1549,ACAPS_1549,ACAPS,425,AMRO,Canada,CAN,124,national,,Social distancing,,Schools closure,4.1.2,Social and physical distancing measures,School measures,Closing,Yes,,,Some provinces have closed schools for a few weeks.,Not applicable,Introduction / extension of measures,The Globe and Mail,Media,https://www.theglobeandmail.com/canada/article-could-coronavirus-mean-schools-are-out-for-the-year/,,2020-03-16,,2020-03-16,9261
17618,GPHIN04984,GPHIN,4984,AMRO,Canada,CAN,124,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"Health-care workers make up roughly one in every 10 of the known COVID-19 cases in Ontario, totalling 229 lab-confirmed cases to date, according to data released by the Ministry of Health on 1 April. The finding is ringing alarms as hospitals across Canada are bracing for an expected surge in patients with the potentially deadly respiratory illness — which comes amid ongoing concerns over potential shortages of personal protective equipment for front-line health-care workers.",,,,Media,https://www.cbc.ca/news/canada/coronavirus-covid19-april2-canada-world-1.5517714,,2020-04-02,,2020-04-02,9261
16328,GPHIN04003,GPHIN,4003,AMRO,Canada,CAN,124,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"The Ontario government announced on Sunday 22 March that it will be opening select child care centres across the province to help frontline workers in the wake of the coronavirus pandemic.
The plan is to exempt certain centres from the order the provincial government gave to close all licensed child care centres under the state of emergency that Premier Doug Ford announced earlier in the week.",,,,Media,https://globalnews.ca/news/6715039/coronavirus-ontario-child-care-centres-frontline-workers/,,2020-03-22,,2020-03-22,9261
22975,OxCGRT937,OxCGRT,OXCGRT003156,AMRO,Canada,CAN,124,national,,,,C7 - restrictions on internal movement - 2,4.5.1,Social and physical distancing measures,Domestic travel,Suspending or restricting movement,1,,,"similar to stay at home requirements, most people are limited from travelling far from home for anything other than essentials, and some provinces have inter-provincial regulations set at this time.   https://archive.vn/wip/wILzf  https://archive.vn/SiBT4",Required,,,,,,2020-04-17,,,9261
13220,GPHIN01613,GPHIN,1613,AMRO,Canada,CAN,124,national,,,,REPATRIATION,10,Not of interest,Not of interest,Not of interest,,,,"On 21 February 2020, the Chief Public Health Officer confirmed that the 180 Canadians from the first Government of Canada-chartered flight from Wuhan, as well as the 39 Canadians who returned to Canada on a separate flight chartered by the United States, have been released from quarantine. All of the quarantined individuals released to date, remained asymptomatic for the novel coronavirus throughout the 14-day quarantine period, pose no risk to others, and can return to their usual activities. Chief Public Health Officer is urging everyone to treat these repatriated Canadians with respect and compassion.",,,,Official,https://www.canada.ca/en/public-health/news/2020/02/statement-from-the-chief-public-health-officer-on-the-release-of-repatriated-canadians-from-quarantine-following-14-day-stay-at-cfb-trenton.html,,2020-02-24,,2020-02-24,9261
