NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY_TERRITORY_AREA,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,COMMENTS,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE_ENTRY,Sys_BatchID
23073,OxCGRT1035,OxCGRT,OXCGRT003472,WPRO,China,CHN,156,national,,,,C1 - school closing - 3,4.1.2,Social and physical distancing measures,School measures,Closing,General,,,http://www.moe.gov.cn/jyb_xwfb/s5147/202002/t20200213_420659.html,Required,,,,,,2020-02-12,,,9261
1764,ACAPS_1764,ACAPS,5538,WPRO,China,CHN,156,national,,Public health measures,,Isolation and quarantine policies,3.1.3,Surveillance and response measures,Detecting and isolating cases,Isolation,Yes,,,"Urging elderly care providers in low-risk areas to restore their services, the guideline noted that a 14-day quarantine will not be required among elderly people or staff within the area before their entrance",Not applicable,Phase-out measure,NHC of the PRC,Government,http://en.nhc.gov.cn/2020-04/08/c_78919.htm,,2020-04-08,,2020-04-16,9261
30768,CSHVienna_3129,CSHVienna,3130,WPRO,China,CHN,156,other,Taiwan,"Case identification, contact tracing and related measures",Isolation of cases,,3.1,Surveillance and response measures,Detecting and isolating cases,,,,,. NHIA database with patients- past 14-day travel history was created,,,,,https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,,2020-01-27,,2020-01-27,9261
14852,GPHIN02851,GPHIN,2851,WPRO,China,CHN,156,national,,,,LAND SCREENING,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"On 6 March, Chinese health authorities said that China must not relax its vigilance or lower the level of work in epidemic prevention and control as the number of imported cases of novel coronavirus disease (COVID-19) increases. The mainland had seen a total of 36 imported COVID-19 cases by 5 March, according to the commission.",,,,Official,http://www.china.org.cn/china/2020-03/06/content_75782671.htm,,2020-03-06,,2020-03-06,9261
30809,CSHVienna_3170,CSHVienna,3171,WPRO,China,CHN,156,other,Taiwan,Risk communication,Travel alert,"Italy Level 3 Travel Warning, Avoid all nonessential travels, 14 days Quarantine upon arrival in Taiwan",5.1,International travel measures,,Providing travel advice or warning,,,,.,,,,,https://www.cdc.gov.tw/En/Bulletin/List/7tUXjTBf6paRvrhEl-mrPg?page=2,,2020-02-28,,2020-02-28,9261
16138,GPHIN03851,GPHIN,3851,WPRO,China,CHN,156,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"Southwest China's Chongqing Municipality has joined several other regions across the country to tighten quarantine rules for travelers from abroad to contain the novel coronavirus outbreak.
All people coming to Chongqing from overseas are subject to temperature screening and nucleic acid testing starting Tuesday, according to the city's leading group for epidemic prevention and control. Those with abnormal results will be sent directly to designated hospitals.
People who have normal results but are from countries with severe epidemic situations will be quarantined at designated places for 14 days at their own expense while the rest are subject to a 14-day home quarantine.",,,,Media,http://www.china.org.cn/china/2020-03/19/content_75832203.htm,,2020-03-19,,2020-03-19,9261
28633,CSHVienna_1044,CSHVienna,1044,WPRO,China,CHN,156,other,Hong Kong,Social distancing,Measures for special populations,Measures to limit contact to the elderly,4.4.2,Social and physical distancing measures,Special populations,Protecting populations in closed settings,,,,Recommend the elderly to stay at home. Close most center entirely and sent elderly back to home,,,,,https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/02/20200202/20200202_115631_694.html?type=category&name=covid19&tl=t,,2020-02-02,,2020-02-02,9261
14377,GPHIN02458,GPHIN,2458,WPRO,China,CHN,156,other,Hong Kong,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,Hong Kong has chartered four planes to bring back 533 Hong Kongers from Wuhan. The flights will be on 4-5  March and the passengers will be quarantined for 14 days upon arrival.,,,,Media,https://www.aljazeera.com/news/2020/03/coronavirus-deaths-china-cases-slow-live-updates-200303003539680.html,,2020-03-03,,2020-03-03,9261
20359,GPHIN06385,GPHIN,6385,WPRO,China,CHN,156,national,,,,AIRPORT SCREENING: ENTRY,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"China has scaled up border control measures to contain the spread of COVID-19 while taking steps to facilitate smooth cross-border transportation. Chinese border agencies nationwide have seen more than 20,000 daily border entries made by crew members of sea, land and air transport, the National Immigration Administration said on 20 April. The number of transport staff entries accounted for over 70 percent of the country's total daily border entries.  Chinese seafarers who have sailed for more than 14 days at sea and are in good health are allowed to go ashore, but those whose voyage time is less than 14 days need to be quarantined for further observation",,,,Media,http://www.china.org.cn/china/2020-04/20/content_75955098.htm,,2020-04-20,,2020-04-20,9261
9799,CDC_ITF_713,CDC_ITF,CDC-ITF-HK-00023,WPRO,China,CHN,156,other,"Hong Kong, SAR",,Mass gathering restrictions,>4,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",,,,Ban on gatherings of >4 people in public places. Speaking at a press conference this evening Mrs Lam said there will be exemptions for the four-person limit regulation such as in the workplace and at weddings.,,Impose,,,https://www.news.gov.hk/eng/2020/03/20200327/20200327_202339_445.html?type=category&name=health,,2020-03-29,,2020-03-27,9261
