NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY_TERRITORY_AREA,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,COMMENTS,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE_ENTRY,Sys_BatchID
23631,OxCGRT1593,OxCGRT,OXCGRT005558,EMRO,Egypt,EGY,818,national,,,,C5 - close public transport - 2,4.5.1,Social and physical distancing measures,Domestic travel,Suspending or restricting movement,1,,,The Egyptian government has announced the suspension of public transport across the country for two weeks starting from the 25th of March 2020.       Source: Al Jazeera Arabic,Required,,,,,,2020-04-06,,,9261
23634,OxCGRT1596,OxCGRT,OXCGRT005561,EMRO,Egypt,EGY,818,national,,,,C3 - cancel public events - 2,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",1,,,"The Egyptian government has decided to extend the isolation procedures to confront the Corona virus for an additional two weeks with the start of the curfew from 20:00 in the evening until 6:00 in the morning of isolation. This includes banning religious gatherings public gatherings, and any sort of crowding.  LINK (Arabic): https://web.archive.org/save/https://www.alarabiya.net/ar/arab-and-world/egypt/2020/04/08/???-????-?????-??????-???????-????????-???????-??????",Required,,,,,,2020-04-09,,,9261
2567,ACAPS_2567,ACAPS,5070,EMRO,Egypt,EGY,818,national,,Public health measures,,Isolation and quarantine policies,3.1.3,Surveillance and response measures,Detecting and isolating cases,Isolation,No,,,"several villages across a variety of governorates have been placed under quarantine as of Saturday, March 28, in Upper Egypt due to the amount of local transmissions.",Not available,Introduction / extension of measures,GardaWorld,Media,https://www.garda.com/crisis24/news-alerts/330081/egypt-government-to-ban-ramadan-gatherings-due-to-covid-19-april-7-update-14,,2020-03-29,,2020-04-14,9261
9160,CDC_ITF_74,CDC_ITF,CDC-ITF-EG-00015,EMRO,Egypt,EGY,818,national,,,Movement restrictions,Complete restriction,4.5.3,Social and physical distancing measures,Domestic travel,Restricting entry,,,,all public religious gatherings will be banned during the Muslim fasting month of Ramadan. Ramadan is set to begin around 23 April. The government will ban all gatherings public iftars fast-breaking meals and collective social activities. Egypt will keep its mosques closed.,,Impose,,,https://www.garda.com/crisis24/news-alerts/330081/egypt-government-to-ban-ramadan-gatherings-due-to-covid-19-april-7-update-14,,2020-04-07,,2020-04-14,9261
20715,GPHIN06598,GPHIN,6598,EMRO,Egypt,EGY,818,national,,,,RESEARCH ADVANCEMENT,10,Not of interest,Not of interest,Not of interest,,,,"The Egyptian scientific committee that was formed by the Ministry of Health and Population and the Ministry of Higher Education will meet in the coming few days to consider convalescent plasma therapy as a treatment for the new coronavirus (COVID-19) patients, said a source at the Ministry of Health told Youm7 on 20 April. The ministry already took plasma samples from recovered patients, the source added, noting that Egypt is using various protocols of treatment for CAOVID-19 cases.",,,,Media,https://www.egypttoday.com/Article/1/84931/Egypt-considers-convalescent-plasma-therapy-for-COVID-19-patients,,2020-04-21,,2020-04-21,9261
23635,OxCGRT1597,OxCGRT,OXCGRT005561,EMRO,Egypt,EGY,818,national,,,,C5 - close public transport - 2,4.5.1,Social and physical distancing measures,Domestic travel,Suspending or restricting movement,1,,,The Egyptian government has announced the suspension of citizens movement and public transportation with a curfew from 20:00 until 6:00 the following day.   LINK (Arabic): https://web.archive.org/save/https://www.alarabiya.net/ar/arab-and-world/egypt/2020/04/08/???-????-?????-??????-???????-????????-???????-??????,Required,,,,,,2020-04-09,,,9261
2571,ACAPS_2571,ACAPS,9044,EMRO,Egypt,EGY,818,national,,Social distancing,,Limit public gatherings,4.3,Social and physical distancing measures,"Gatherings, businesses and services",,No,,,extended until 17 May: All public gatherings will be banned,,Introduction / extension of measures,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,,2020-04-28,,2020-05-05,9261
16285,GPHIN03972,GPHIN,3972,EMRO,Egypt,EGY,818,national,,,,VACCINE/MCM DEPLOYED,7,Biological measures,,,,,,"Egypt's Cabinet Media Center denied on Friday various reports on social media about a shortage in vital medicines and infant formula in pharmacies and markets across the country, as the country works to contain the coronavirus (COVID-19) outbreak. The Ministry stressed that its strategic stock of medicines covered no less than three months, and that all the outlets selling medicines were subject to tight regulations. The Ministry stressed that its pharmaceutical inspection department monitors shortages in pharmaceutical products on the local market, adding thatrelevant authorities would work to control distribution and take legal action against violators if a shortage in any medicine was detected.
Meanwhile, Egypt'sSupply Minister said  that the country has a stock of basic commodities that will last four months and supplies of poultry and beef will last one year, amid rising fears over the coronavirus pandemic and reports of panic-buying in the country after rumors surfaced that the government was imposing a curfew. He is asking citizens to use the hotline 19588 to report violations related to shop owners hiking up prices of essential goods and medical supplies and/or reports of hoarding or hiding basic necessities.
Egypt has moved to close food carts, restaurants, bars, cafes, casinos, and nightclubs from 7 pm to 6 am each evening through March 31 in an effort to slow down the spread of the outbreak. Delivery services, grocery stores, pharmacies, and other establishments selling essential foodstuffs and medicines will stay open.",,,,Media,,,2020-03-20,,2020-03-20,9261
23622,OxCGRT1584,OxCGRT,OXCGRT005545,EMRO,Egypt,EGY,818,national,,,,C4 - restrictions on gathering size - 1,4.3.3,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, closing, restricting or adapting public gatherings outside the home",1000,,,El-Sissi's government has banned large gatherings  http://web.archive.org/web/20200506204845/https://www.aljazeera.com/news/2020/03/egypt-imposes-week-nightly-curfew-slow-coronavirus-spread-200324174007399.html,,,,,,,2020-03-24,,,9261
9156,CDC_ITF_70,CDC_ITF,CDC-ITF-EG-00011,EMRO,Egypt,EGY,818,national,,,Mass gathering restrictions,Restriction but no threshold,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",,,,Egypt on Saturday ordered its mosques and churches to shut their doors to worshippers,,Impose,,,https://www.middleeastmonitor.com/20200321-egypt-shuts-mosques-and-churches-over-coronavirus-fears/,,2020-03-21,,2020-04-14,9261
9155,CDC_ITF_69,CDC_ITF,CDC-ITF-EG-00010,EMRO,Egypt,EGY,818,national,,,Office/business closures,Mandatory business closures/telework,4.2.2,Social and physical distancing measures,"Offices, businesses, institutions and operations",Closing,,,,All restaurants cafes cafeterias casinos night clubs bars shopping centers (malls) and other local shops will shut down from 7:00 pm (Cairo time) to 6:00 pm across the nation as of Thursday until March 31.. All restaurants cafes cafeterias casinos night clubs bars shopping centers (malls) and other local shops will shut down from 7:00 pm (Cairo time) to 6:00 pm across the nation as of Thursday until March 31.,,Impose,,,https://www.egypttoday.com/Article/1/82798/Egypt-studies-to-provide-disinfectants-face-masks-on-rations,,2020-03-19,,2020-04-14,9261
11081,GPHIN00106,GPHIN,106,EMRO,Egypt,EGY,818,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,Egypt has said it will send a special flight to return its citizens. A quarantine period of 14 days would then be enforced.,,,,Media,https://www.bbc.com/news/world-asia-china-51312378,,2020-01-30,,2020-01-30,9261
2547,ACAPS_2547,ACAPS,723,EMRO,Egypt,EGY,818,national,,Movement restrictions,,International flights suspension,5.7,International travel measures,,Suspending or restricting international flights,Yes,,,Several travel suspension. Not clear if related to COVID,,Introduction / extension of measures,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,,,,2020-03-16,9261
2563,ACAPS_2563,ACAPS,5057,EMRO,Egypt,EGY,818,national,,Governance and socio-economic measures,,Emergency administrative structures activated or established,8.3,Other measures,,Financial packages,No,,,EGYPTIAN CIVIL AVIATION AUTHORITY. CREATED: 13 Apr 2020,Not applicable,Introduction / extension of measures,IACO,UN,https://www.icao.int/safety/Pages/COVID-19-Airport-Status.aspx,,2020-04-13,,2020-04-14,9261
2559,ACAPS_2559,ACAPS,3860,EMRO,Egypt,EGY,818,national,,Governance and socio-economic measures,,Economic measures,8.3,Other measures,,Financial packages,Yes,,,"government has introduced several economic measures to reduce impact to key sectors, delayed taxes and banks have cut interest rates, etc.",Not applicable,Introduction / extension of measures,al-monitor,Media,https://www.al-monitor.com/pulse/originals/2020/03/egypt-economic-measures-industry-coronavirus-outbreak.html,,2020-03-17,,2020-04-05,9261
16198,GPHIN03910,GPHIN,3910,EMRO,Egypt,EGY,818,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"The Egyptian government is taking gradual steps in dealing with the coronavirus spread, starting from banning the study at schools and universities and suspending the international flights to the end of March. Recently, All restaurants, cafes, cafeterias, casinos, night clubs, bars, shopping centers (malls), and other local shops will shut down from 7:00 pm (Cairo time) to 6:00 pm across the nation as of Thursday until 31 March.",,,,Media,https://www.egypttoday.com/Article/1/82798/Egypt-studies-to-provide-disinfectants-face-masks-on-rations,,2020-03-19,,2020-03-19,9261
23625,OxCGRT1587,OxCGRT,OXCGRT005545,EMRO,Egypt,EGY,818,national,,,,H1 - public information campaign -2,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,1,,,The Egyptian government has launched an information campaign 'Stay at Home' to raise awareness about COVID-19 urging citizens to follow the social distancing advice. The Ministry of Health has also established a dedicated COVID-19 hotline to answer any queries from the public.      Source (in Arabic): https://news.un.org/ar/story/2020/03/1051932,,,,,,,2020-03-24,,,9261
11141,GPHIN00153,GPHIN,153,EMRO,Egypt,EGY,818,national,,,,AIRPORT SCREENING: ENTRY,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"Egypt's Minister of Transport instructed officials at Railways and Metro authorities to take precautionary measures against novel Coronavirus. The railway system is also inundated with travelers on a daily basis, which makes hygiene procedures a priority amid threats of the outbreak of the coronavirus. 
The Ministry of Health announced a plan that includes measures like: Issuing medical cards to all travelers coming from China or a country that was affected by the virus, where the cards include details about the travelers to be monitored for 14 days from their arrival. Any suspected cases will be immediately isolated. 
The ministry’s plan also includes allocating isolation departments at fever hospitals, and activating procedures to monitor acute respiratory diseases, raise awareness, and follow up the global epidemiological situation around the clock.
The Minister of Health confirmed that Egypt is free from the new virus, and declared a state of emergency in quarantines at all the state’s air, maritime and ground outlets as a protection against the outbreak of the new coronavirus.
The Association of Egyptian Travel Agencies banned tourism flights from and to China until further notice.
The Chinese Ambassador to Cairo stated that no coronavirus has been detected among the Chinese community in Egypt, and that the Chinese tourists will be leaving Egypt in five days.",,,,Media,https://www.egypttoday.com/Article/1/81114/Precautionary-measures-taken-at-trains-metro-against-coronavirus,,2020-01-31,,2020-01-31,9261
13503,GPHIN01792,GPHIN,1792,EMRO,Egypt,EGY,818,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,Egyptian Consul in Milan on 24 February confirmed that no novel coronavirus cases have been reported among Egyptians in Italy. The Egyptian Consulate has launched awareness campaigns for Egyptians in Italy since the outbreak broke out.,,,,Media,https://www.egypttoday.com/Article/1/81974/No-coronavirus-among-Egyptians-in-Italy-Egypt’s-consulate,,2020-02-25,,2020-02-25,9261
20786,GPHIN06653,GPHIN,6653,EMRO,Egypt,EGY,818,national,,,,RESTRICTING OR LIMITING GATHERINGS,4.3.3,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, closing, restricting or adapting public gatherings outside the home",,,,"Egypt extended a curfew until 23 April, closed places of worship, schools and tourist sites and banned public religious gatherings during Ramadan, starting late April.",,,,Media,https://cyprus-mail.com/2020/04/21/countries-pondering-an-easing-of-coronavirus-curbs/,,2020-04-22,,2020-04-22,9261
23636,OxCGRT1598,OxCGRT,OXCGRT005561,EMRO,Egypt,EGY,818,national,,,,E3 - fiscal measures,8.3,Other measures,,Financial packages,,1267737220,,"Egypt has taken steps to curtail the impact of coronavirus on the economy, including a 3% interest rate cut and an injection of 20 billion Egyptian pounds to support the stock market.  LINK: https://web.archive.org/save/https://en.qantara.de/content/egypt-declares-two-week-curfew-to-counter-coronavirus",,,,,,,2020-04-09,,,9261
16321,GPHIN03999,GPHIN,3999,EMRO,Egypt,EGY,818,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"Egypt on Saturday 21 March ordered its mosques and churches to shut their doors to worshippers in an effort to curb the spread of the coronavirus, after calls for the government to follow other neighbouring Muslim countries.",,,,Media,https://www.middleeastmonitor.com/20200321-egypt-shuts-mosques-and-churches-over-coronavirus-fears/,,2020-03-22,,2020-03-22,9261
14528,GPHIN02595,GPHIN,2595,EMRO,Egypt,EGY,818,national,,,,TRAVEL BAN,5.7,International travel measures,,Suspending or restricting international flights,,,,"Qatari won't be allowed to enter Egypt starting 6 March amid fears over the coronavirus, according to a decision taken by the Egyptian government. The ban includes those with a valid residency.",,,,Media,https://www.aljazeera.com/news/2020/03/italy-death-toll-jumps-global-outbreak-deepens-live-updates-200303233420584.html,,2020-03-04,,2020-03-04,9261
23637,OxCGRT1599,OxCGRT,OXCGRT005561,EMRO,Egypt,EGY,818,national,,,,H1 - public information campaign -2,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,1,,,The Egyptian government has launched an information campaign 'Stay at Home' to raise awareness about COVID-19 urging citizens to follow the social distancing advice. The Egyptian Ministry of Health has also established a dedicated COVID-19 hotline to answer any queries from the public.   LINK (Arabic): https://web.archive.org/save/https://news.un.org/ar/story/2020/03/1051932,,,,,,,2020-04-09,,,9261
