NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY_TERRITORY_AREA,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,COMMENTS,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE_ENTRY,Sys_BatchID
28457,CSHVienna_871,CSHVienna,871,EURO,Germany,DEU,276,other,North Rhine-Westphalia,Social distancing,Public transport,Reduce service,4.5.1,Social and physical distancing measures,Domestic travel,Suspending or restricting movement,,,,. Reduced rail service,,,,,https://www.mags.nrw/erlasse-des-nrw-gesundheitsministeriums-zur-bekaempfung-der-corona-pandemie,,2020-03-21,,2020-03-21,9261
18606,GPHIN05420,GPHIN,5420,EURO,Germany,DEU,276,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"German Development Minister has called on the European Union to act quickly to protect refugees from the spread of coronavirus. That action includes separating the refugee camp on the Greek island Lesbos into smaller units and bringing the camp up to the official standards of the UN refugee agency, he said, adding that he had visited Lesbos himself and had seen how 20,000 people were living in an area meant to host 3,000 people.",,,,Media,https://www.dw.com/en/coronavirus-latest-lufthansa-shutters-germanwings-subsidiary/a-530,,2020-04-07,,2020-04-07,9261
28330,CSHVienna_752,CSHVienna,752,EURO,Germany,DEU,276,other,Bavaria,Resource allocation,Crisis management plans,Traffic enactments,8.1,Other measures,,Legal and policy regulations,,,,Suspended driving ban on Sunday for all trucks with goods. To facilitate the transportation of goods,,,,,"https://www.br.de/nachrichten/deutschland-welt/coronavirus-in-bavaria-assistance-in-english,RtO8eS2",,2020-03-13,,2020-03-13,9261
15274,GPHIN03204,GPHIN,3204,EURO,Germany,DEU,276,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"For the next four weeks, doctors in Germany will be able to give sick leave over the phone. The measures were announced in order to keep patients who might be infected with COVID-19 (coronavirus SARS-CoV-2) out of GP surgeries and prevent further transmission.
The German state of Saxony-Anhalt confirmed its first case of the COVID-19 virus on 10 March, meaning that each of Germany's 16 states now has a confirmed case. The German Health Minister has warned the outbreak has not yet reached its peak in Germany and further restrictions to everyday life can be expected.",,,,Media,https://www.dw.com/en/coronavirus-latest-germany-pledges-1-billion-to-tackle-outbreak/a-52698747,,2020-03-10,,2020-03-10,9261
3334,ACAPS_3334,ACAPS,8460,EURO,Germany,DEU,276,national,,Social distancing,,Public services closure,4,Social and physical distancing measures,,,Yes,,,Some special cases are again consulted in-person in job centres and labour agencies,Not applicable,Phase-out measure,Federal Government,Government,https://www.bundesregierung.de/breg-de/themen/coronavirus/termine-arbeitsagentur-1749320,,2020-04-30,,2020-05-01,9261
17810,GPHIN05055,GPHIN,5055,EURO,Germany,DEU,276,national,,,,VACCINE/MCM DEPLOYED,7,Biological measures,,,,,,"On 2 April, the German health ministry said it will seek to purchase Avigan tablets as a treatment drug for the new coronavirus. Local media said the ministry will buy several million tablets to treat patients with severe symptoms.",,,,Media,https://english.kyodonews.net/news/2020/04/70ff90428628-japan-mulls-offering-anti-flu-drug-avigan-to-nations-fighting-virus.html,,2020-04-03,,2020-04-03,9261
28449,CSHVienna_863,CSHVienna,863,EURO,Germany,DEU,276,other,North Rhine-Westphalia,Healthcare and public health capacity,Increase patient capacity,Postponement of non-essential care and non-urgent operations in hospitals,8.2,Other measures,,Scaling up,,,,.,,,,,https://www.mags.nrw/erlasse-des-nrw-gesundheitsministeriums-zur-bekaempfung-der-corona-pandemie,,2020-03-13,,2020-03-13,9261
3336,ACAPS_3336,ACAPS,8462,EURO,Germany,DEU,276,national,,Governance and socio-economic measures,,Economic measures,8.3,Other measures,,Financial packages,Yes,,,"Change of regulations around infrastructure development projects, allowing digital publication of certain documents, etc.",Not applicable,Introduction / extension of measures,Federal Government,Government,https://www.bundesregierung.de/breg-de/themen/coronavirus/online-planungsverfahren-1749270,,2020-04-29,,2020-05-01,9261
28404,CSHVienna_821,CSHVienna,821,EURO,Germany,DEU,276,national,,Travel restriction,Individual movement restrictions,Non-essential movements forbidden,4.5.2,Social and physical distancing measures,Domestic travel,Stay-at-home order,,,,.,,,,,https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248,,2020-03-22,,2020-03-22,9261
28403,CSHVienna_820,CSHVienna,820,EURO,Germany,DEU,276,national,,Travel restriction,Individual movement restrictions,Non-essential movements forbidden,4.5.2,Social and physical distancing measures,Domestic travel,Stay-at-home order,,,,"people that returned within the last 14 days from high-risk areas. movement restrictrion abroad or inland: hospitals, long-term care facilities, education institutions",,,,,https://www.bundeskanzlerin.de/bkin-de/aktuelles/pressekonferenz-von-bundeskanzlerin-merkel-zu-massnahmen-der-bundesregierung-im-zusammenhang-mit-dem-coronavirus-1731022,,2020-03-16,,2020-03-16,9261
