NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY_TERRITORY_AREA,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,COMMENTS,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE_ENTRY,Sys_BatchID
3901,ACAPS_3901,ACAPS,8272,SEARO,India,IND,356,other,Kalyan Dombivli Municipality,Public health measures,,Awareness campaigns,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,No,,,"a dash board about COVID-19 situation in KDMC area is now available in public domain. The page has been linked with the website of municipal corporation, and other social media handles of city government (such as Facebook, Twitter, Instagram), and is open for viewing by public. ashboard can be accessed at https://kdmc-coronavirus-response-skdcl.hub.arcgis.com/",Not applicable,Introduction / extension of measures,"Press Information Bureau, Government of India",Government,https://pib.gov.in/PressReleseDetail.aspx?PRID=1619174,,2020-04-29,,2020-04-29,9261
18987,GPHIN05650,GPHIN,5650,SEARO,India,IND,356,national,,,,TRAVEL BAN,5.7,International travel measures,,Suspending or restricting international flights,,,,"The Chief Minister announced on April 9 that the ongoing lockdown in the Odisha state, initially scheduled to last until April 14, will be extended until April 30. The measure comes while the country awaits extension of the nationwide lockdown and of the rail and air services suspension by the central government. 
The 21-day nationwide lockdown came into effect on March 24. Only essential services remain operational. All shops, offices, markets, and places of worship are closed and interstate bus and train services are suspended. 
Authorities announced on April 8, that 15 districts of Uttar Pradesh state, which are believed to be hotspots of COVID-19 cases, will remain under a lockdown until at least April 15. The affected districts are Sitapur, Maharajganj, Basti, Bareilly, Bulandhshahr, Firozabad, Saharanpur, Shamli, Varanasi, Kanpur, Kanpur, Lucknow, Meerut, Ghaziabad, and Gautambuddh Nagar (Noida).
A ban on international commercial passenger flights is also ongoing until at least April 14.
Separately, on April 8, New Delhi, Mumbai, and the states of Uttar Pradesh, Madhya Pradesh, and Odisha made the use of face masks mandatory in public spaces.",,,,Media,https://www.garda.com/crisis24/news-alerts/330856/india-lockdown-extended-in-odisha-state-april-9-update-19,,2020-04-09,,2020-04-09,9261
13116,GPHIN01561,GPHIN,1561,SEARO,India,IND,356,national,,,,TRAVEL ADVISORY,5.1,International travel measures,,Providing travel advice or warning,,,,"On 23 February, A high-level review meeting on COVID19 chaired by India's cabinet secretary on Saturday 22 February announced to enforce universal screenings of all incoming air passengers from Indonesia, Vietnam, Malaysia and Nepal, according to the Press Information Bureau of the Government of India. The screening of passengers from these countries will come into effect from Monday 24 February, the bureau said in a statement.",,,,Media,,,2020-02-23,,2020-02-23,9261
28928,CSHVienna_1326,CSHVienna,1326,SEARO,India,IND,356,other,Telangana,Social distancing,Mass gathering cancellation,Indoor activities,4.3.1,Social and physical distancing measures,"Gatherings, businesses and services",Restricting private gatherings at home,,,,Gyms.,,,,,https://www.livemint.com/news/india/coronavirus-schools-colleges-malls-movie-theatres-to-be-closed-in-telangana-until-31-march-11584186142495.html,,2020-03-15,,2020-03-15,9261
20889,GPHIN06696,GPHIN,6696,SEARO,India,IND,356,national,,,,TESTING & CASE DETECTION,3.1,Surveillance and response measures,Detecting and isolating cases,,,,,"India plans to manufacture thousands of wristbands that will monitor the locations and temperatures of coronavirus patients, help perform contact tracing and aid health workers delivering essential services.",,,,Media,https://www.aljazeera.com/news/2020/04/warns-hunger-coronavirus-cases-top-25m-live-updates-200421233559829.html,,2020-04-22,,2020-04-22,9261
28991,CSHVienna_1389,CSHVienna,1389,SEARO,India,IND,356,national,,Risk communication,Actively communicate with healthcare professionals,Role of Frontline Workers in Prevention and Management of CORONA VIRUS,8.2,Other measures,,Scaling up,,,,.,,,,,https://www.mohfw.gov.in/,,2020-03-25,,2020-03-25,9261
16319,GPHIN03997,GPHIN,3997,SEARO,India,IND,356,national,,,,MASS GATHERING CANCELLATION,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",,,,"Acting on the Centre’s directive to lockdown districts with confirmed Covid-19 cases, Karnataka government announced near lock down of nine districts including Bengaluru starting from Monday 23 March. The districts that will go into lockdown mode are: Bengaluru urban, Bengaluru rural, Mangaluru, Mysuru, Kalaburgi, Dharwad, Chikkaballapur, Kodagu and Belagavi. The government said that buses, trains and metros will not operate in these districts. However, auto rickshaws and cabs will continue to ply. There will be a ban on commercial activities, but shops selling essentials like grocery, medicine, vegetables will remain open. The lockdown will be in force till March 31, Home Minister Basavaraj Bommai said.",,,,Media,,,2020-03-22,,2020-03-22,9261
24395,OxCGRT2357,OxCGRT,OXCGRT008081,SEARO,India,IND,356,national,,,,C4 - restrictions on gathering size - 4,4.3.3,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, closing, restricting or adapting public gatherings outside the home",<10,,,On 22nd Marc India observed Janata Curfew or People's Curvey wherein the entire country observed lockdown in all aspects of life. On 23rd and 24th only Kerala and Rajasthan observed te lockdown. From 25th March onwards te entire country was again put under lockdown. https://web.archive.org/web/20200427213716/https://www.mohfw.gov.in/pdf/ChiefSecyDOLetter.pdf,,,,,,,2020-03-22,,,9261
15979,GPHIN03763,GPHIN,3763,SEARO,India,IND,356,national,,,,RESTRICTING OR LIMITING GATHERINGS,4.3.3,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, closing, restricting or adapting public gatherings outside the home",,,,"Cabinet Secretary took a review meeting of concerned officials from various Ministries/Departments. He emphasized on the implementation of Social Distancing measures as detailed by guidelines of Ministry of Health and Family Welfare. He stated that social distancing would have a major impact in limiting the spread of the disease. He also reviewed preparedness of various states for quarantine facilities, hospital management and awareness campaigns. Travel of passengers from Afghanistan, Philippines, Malaysia to India is prohibited with immediate effect. No flight shall take off from these countries to India after 1500 hours Indian Standard Time (IST). The airline shall enforce this at the port of initial departure.
This instruction is a temporary measure and shall be in force till 31st March 2020 and will be reviewed subsequently.",,,,Media,,,2020-03-17,,2020-03-17,9261
19635,GPHIN05919,GPHIN,5919,SEARO,India,IND,356,national,,,,TRAVEL BAN,5.7,International travel measures,,Suspending or restricting international flights,,,,"Nearly 40,000 Indian crew members, stranded on cargo and cruise ships across the world due to the coronavirus pandemic, are still waiting to be brought home. They said that the Indian government had abandoned them in the sea.",,,,Media,https://www.aljazeera.com/news/2020/04/coronavirus-deaths-slow-italy-france-live-updates-200413000419105.html,,2020-04-14,,2020-04-14,9261
