NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY_TERRITORY_AREA,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,COMMENTS,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE_ENTRY,Sys_BatchID
15016,GPHIN02999,GPHIN,2999,EURO,Italy,ITA,380,national,,,,LAND SCREENING,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"On 8 March,  Italian Prime Minister Giuseppe Conte signed a decree that restricts movement in the Lombardy region and 14 other provinces in the regions of Emilia-Romagna, Veneto, Piedmont, and Marche amid coronavirus outbreak. The restrictions will last until 3 April.",,,,Media,https://sputniknews.com/europe/202003081078514139-italys-alitalia-rearranges-flights-to-and-from-milan-venice-due-to-coronavirus-spread/,,2020-03-09,,2020-03-09,9261
29123,CSHVienna_1513,CSHVienna,1513,EURO,Italy,ITA,380,national,,Healthcare and public health capacity,Reduce the burden on health system,Simplification of the health journey,8.2,Other measures,,Scaling up,,,,"Ease prescriptions. At the time of the generation of the electronic prescription by the prescribing doctor - reads the ordinance - the client can ask the doctor to issue the dematerialized reminder or the acquisition of the Electronic Recipe Number through: transmission of the memo attached to an e-mail message, communication of the Electronic Recipe Number with SMS or with a mobile phone application, telephone communication by the prescriber of the Electronic Recipe Number",,,,,http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4278,,2020-03-20,,2020-03-20,9261
15179,GPHIN03131,GPHIN,3131,EURO,Italy,ITA,380,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"1.Passengers traveling as tourists are not allowed to enter via airports in below listed areas.
2.Passengers arriving at airports in below listed areas, are allowed to enter if they are traveling on business, for health reasons, in an emergency or if they reside in one of these areas. A completed “Self-declaration"" form must be presented upon arrival.
- Areas: Alessandria, Asti, Lombardy, Modena, Novara, Padova, Parma, Pesaro and Urbino, Piacenza, Reggio Emilia, Rimini, Treviso-Venice, Verbano – Cusio - Ossola and Vercelli.",,,,Media,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,2020-03-09,,2020-03-09,9261
16172,GPHIN03888,GPHIN,3888,EURO,Italy,ITA,380,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,Italy ordered the army to move bodies from a northern town at the centre of the coronavirus outbreak where funeral services have been overwhelmed as the government prepared to prolong emergency lockdown measures across the country.,,,,Media,,,2020-03-19,,2020-03-19,9261
24656,OxCGRT2618,OxCGRT,OXCGRT008789,EURO,Italy,ITA,380,national,,,,C8 - restrictions on international travel - 1,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5385,,,,,,,2020-01-28,,,9261
4168,ACAPS_4168,ACAPS,1678,EURO,Italy,ITA,380,national,,Movement restrictions,,Domestic travel restrictions,4.5.1,Social and physical distancing measures,Domestic travel,Suspending or restricting movement,No,,,"Nationally, the movement between municipalities is banned (apart for essential reasons);  later extended to 13th April",fines,Introduction / extension of measures,Ministry of Health,Government,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5372,http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4324,2020-03-23,,2020-03-23,9261
29105,CSHVienna_1496,CSHVienna,1496,EURO,Italy,ITA,380,national,,Social distancing,Special measures for certain establishments,Place of worship,4,Social and physical distancing measures,,,,,,"Can open if distance is respected. Civil and religious ceremonies are suspended, including funerals. The opening to places of worship is granted only if it is possible to guarantee a protection distance of at least one meter.",,,,,http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4175,,2020-03-08,,2020-03-08,9261
13873,GPHIN02055,GPHIN,2055,EURO,Italy,ITA,380,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"Italian prosecutors have opened an investigation into the procedures adopted by hospitals in the Lombardy region at the centre of Europe’s coronavirus epidemic, amid reports doctors initially delayed testing an Italian “super-spreader”, allowing the disease to proliferate rapidly including beyond the country’s borders.",,,,Media,https://www.theguardian.com/world/2020/feb/26/coronavirus-inquiry-opens-into-hospitals-at-centre-of-italy-outbreak,,2020-02-27,,2020-02-27,9261
17815,GPHIN05061,GPHIN,5061,EURO,Italy,ITA,380,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"Italy's national lockdown to try to contain the spread of coronavirus will probably continue beyond the start of May, according to the head of the Civil Protection Agency.",,,,Media,https://www.aljazeera.com/news/2020/04/coronavirus-deaths-6000-cases-top-240000-live-updates-200402230546497.html,,2020-04-03,,2020-04-03,9261
21929,IHR_754,IHR,482,EURO,Italy,ITA,380,national,,International Travel,,ship_restriction,5.8,International travel measures,,Suspending or restricting international ferries or ships,,,,,,,,,,,2020-03-28,,,9261
