NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY_TERRITORY_AREA,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,COMMENTS,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE_ENTRY,Sys_BatchID
12576,GPHIN01212,GPHIN,1212,WPRO,Japan,JPN,392,national,,,,VACCINE/MCM DEPLOYED,7,Biological measures,,,,,,Japan plans to try using HIV drugs to treat people with coronavirus. The chief cabinet secretary of the Japanese government indicated that the country is currently preparing to start clinical trials using HIV medication on the novel coronavirus.,,,,Media,https://www.foxnews.com/health/japan-to-trial-hiv-medications-on-coronavirus-patients,,2020-02-18,,2020-02-18,9261
24811,OxCGRT2773,OxCGRT,OXCGRT009178,WPRO,Japan,JPN,392,national,,,,C8 - restrictions on international travel - 1,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,http://japan.kantei.go.jp/98_abe/actions/202002/_00006.html All on Diamond Princess quarantined,,,,,,,2020-02-05,,,9261
21810,IHR_635,IHR,405,WPRO,Japan,JPN,392,national,,International Travel,,quarantine_nationals,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,,,,,,,,2020-03-21,,,9261
24846,OxCGRT2808,OxCGRT,OXCGRT009240,WPRO,Japan,JPN,392,national,,,,H1 - public information campaign -2,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,1,,,"Japan declares the state of emergency over coronavirus. Special website on COVID-19 (corona.go.jp) contains the latest official documents (declaration, announcements), people flow rates, population changes, and other latest information. (https://web.archive.org/web/20200413193829/https://corona.go.jp/)",,,,,,,2020-04-07,,,9261
16515,GPHIN04133,GPHIN,4133,WPRO,Japan,JPN,392,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"Japan’s Prime Minister Shinzo Abe says he has reached an agreement with International Olympic Committee President Thomas Bach to postpone the Olympics for about one year.
Summer 2021 is the latest that these Olympics could be held, Abe said.",,,,Media,https://edition.cnn.com/world/live-news/coronavirus-outbreak-03-24-20-intl-hnk/h_fe56d8bf28e390da5803c0b77ba478ce,,2020-03-24,,2020-03-24,9261
11070,GPHIN00093,GPHIN,93,WPRO,Japan,JPN,392,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"On January 30, Passengers on a China Southern flight between Nagoya to Shanghai refused to board when they realized many of their fellow passengers were from Wuhan. The incident occurred on 28 January and was enough of a disruption to cause a five-hour delay. Staff from the Chinese consulate in Nagoya had to intervened.",,,,Media,https://simpleflying.com/china-southern-passengers-in-japan-refuse-to-fly-with-wuhan-residents/,,2020-01-30,,2020-01-30,9261
20759,GPHIN06637,GPHIN,6637,WPRO,Japan,JPN,392,national,,,,TESTING & CASE DETECTION,3.1,Surveillance and response measures,Detecting and isolating cases,,,,,"Japan has confirmed that 34 crew members onboard the Costa Atlantica cruise ship, which is docked in Nagasaki prefecture, have tested positive for novel coronavirus on 22 April.   Officials from the Nagasaki prefecture said those with symptoms will be admitted to medical centers, while asymptomatic patients will remain onboard in isolated private rooms. The cruise ship, operated by Italian cruise liner Costa Crociere, has been docked in Japan since March for repairs with 623 crew members. No passengers are currently onboard the ship.",,,,Media,https://edition.cnn.com/world/live-news/coronavirus-pandemic-04-22-20-intl/h_8e26d825f0c07c454dff2743e30d1ba3,,2020-04-22,,2020-04-22,9261
13255,GPHIN01634,GPHIN,1634,WPRO,Japan,JPN,392,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"Japan on 23 February decided to keep close checks on the health conditions of people who were allowed to leave a coronavirus-hit cruise ship after testing negative for the virus, following revelations that one such person was found infected soon after returning home. The country's health authorities will make daily phone calls to hundreds of people who have disembarked from the shop, and have asked them to avoid using public transportation and to wear masks when they come into contact with others.
The health minister previously said that he saw no need to quarantine Diamond Princess passengers who tested negative, once they disembark from the ship.
Health, Labor and Welfare Minister is drafting a policy to build a system to provide necessary medical services in an effort to prevent people infected with the pneumonia-causing virus from falling seriously ill.  The policy is expected to be announced on 25 February.",,,,Media,https://english.kyodonews.net/news/2020/02/0e449363dc86-abe-instructs-govt-to-craft-policy-to-fight-coronavirus.html,,2020-02-24,,2020-02-24,9261
13450,GPHIN01762,GPHIN,1762,WPRO,Japan,JPN,392,national,,,,MASS GATHERING CANCELLATION,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",,,,"A new government strategy for fighting the COVID-19, unveiled at a cabinet meeting on 25 February, urged companies to recommend telecommuting for workers and stagger their shifts. People with symptoms of cold or fever were advised to stay at home, and event organizers told to consider whether to proceed with plans. 
The government also pledged to take stronger steps to fight contagion in regions where there are clusters of cases. In recent days, there have been confirmed infections in the northern prefecture of Hokkaido and the western prefecture of Ishikawa as well as around the capital Tokyo.
Its top-flight soccer division announced it was postponing matches, just months before the country is due to host the Summer Olympics.",,,,Media,https://www.reuters.com/article/us-china-health-japan/japan-urges-telecommuting-staggered-shifts-to-curb-coronavirus-idUSKCN20J0EB?il=0,,2020-02-25,,2020-02-25,9261
11867,GPHIN00639,GPHIN,639,WPRO,Japan,JPN,392,national,,,,TRAVEL BAN,5.7,International travel measures,,Suspending or restricting international flights,,,,"As revealed by the International Air Transport Association (IATA), passengers who have been in China's Hubei Province in the past 14 days are not allowed to enter Japan. This does not apply to nationals of Japan. Nationals of China with a passport issued in Hubei Province are not allowed to enter Japan.",,,,Official,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,2020-02-07,,2020-02-07,9261
29172,CSHVienna_1560,CSHVienna,1560,WPRO,Japan,JPN,392,national,,Risk communication,Educate and actively communicate with the public,Promote hand hygiene,1.1,Individual measures,,Performing hand hygiene,,,,". On 14 February, Prime Minister Shinzo Abe said (English translation from Japanese government website): ""in response to the novel coronavirus, it is extremely important to strictly exercise daily prevention measures. I ask the public to stay calm and carry out the same preventive measures as for seasonal influenza, including washing hands and observing proper coughing etiquette."" JR: it seems likely that there were also earlier efforts to encourage hand hygiene.",,,,,https://translate.googleusercontent.com/translate_c?depth=1&rurl=translate.google.com&sl=ja&sp=nmt4&tl=en&u=https://www.kantei.go.jp/jp/98_abe/actions/202002/14corona.html&usg=ALkJrhg0PwXg-pUkmL4uycN8mBj2l_dyog,,2020-02-14,,2020-02-14,9261
19053,GPHIN05663,GPHIN,5663,WPRO,Japan,JPN,392,national,,,,MASS GATHERING CANCELLATION,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",,,,"The governor of Aichi prefecture, Hideaki Omura, has announced that a state of emergency (SoE) will be in effect in the prefecture as of April 10, due to the coronavirus (COVID-19) outbreak.  SoE declarations authorize governors to request that residents stay at home except for when conducting essential tasks, such as food shopping or seeking medical care. It also permits governors to close schools, public venues, and other facilities, among other emergency powers.",,,,Media,https://www.garda.com/crisis24/news-alerts/330796/japan-state-of-emergency-declared-in-aichi-prefecture-from-april-10-update-18,,2020-04-09,,2020-04-09,9261
24842,OxCGRT2804,OxCGRT,OXCGRT009240,WPRO,Japan,JPN,392,national,,,,C2 - workplace closing - 1,4.2.2,Social and physical distancing measures,"Offices, businesses, institutions and operations",Closing,1,,,"PM’s Cabinet Office  https://web.archive.org/save/http://japan.kantei.go.jp/98_abe/statement/202004/_00001.html  In the view of the experts, even in the current situation, the infection risk in Tokyo or Osaka is not high at all, assuming citizens lead their normal lives while refraining from going out for non-essential, non-urgent reasons. The situation is entirely different from the cities overseas where lockdowns were imposed. Therefore, I ask the public to refrain strictly from taking actions such as moving to local areas outside these cities.",Recommended,,,,,,2020-04-07,,,9261
19050,GPHIN05662,GPHIN,5662,WPRO,Japan,JPN,392,national,,,,PPE,8.2,Other measures,,Scaling up,,,,"Drive-through services in Japan have begun to include tests for the new coronavirus and face-mask distribution as the country battles the virus pandemic.  Japan has yet to introduce nationwide drive-through testing for the virus that causes COVID-19, but the cities of Niigata and Nagoya adopted the method in March. Doctors and medical staff in protective gear stand outside cars to check people, going through a list of diagnostic questions and taking swabs from their throats. The western prefecture of Tottori will also introduce the drive-through testing at public health centers and hospitals in late April.
South Korea has been aggressively conducting drive-through testing since February, followed by such countries as the United States, Brazil, Britain, Italy, Malaysia, Spain and the United Arab Emirates.",,,,Media,https://english.kyodonews.net/news/2020/04/7dfb0dc98a37-drive-through-services-expand-in-japan-as-coronavirus-spreads.html,,2020-04-09,,2020-04-09,9261
18575,GPHIN05403,GPHIN,5403,WPRO,Japan,JPN,392,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,Japan's Cabinet on 7 April approved a largest-ever 108 trillion yen ($990 billion) stimulus package to help struggling households and businesses survive the impact of the new coronavirus outbreak.,,,,Media,https://english.kyodonews.net/news/2020/04/8b9ff026a666-update1-japan-approves-nearly-1-tril-package-to-cushion-coronavirus-impact.html,,2020-04-07,,2020-04-07,9261
