NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY_TERRITORY_AREA,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,COMMENTS,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE_ENTRY,Sys_BatchID
11715,GPHIN00535,GPHIN,535,AFRO,Nigeria,NGA,566,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,The Nigerian CDC on 2 February established surveillance case definitions for new coronavirus disease.,,,,Official,https://ncdc.gov.ng/news/220/surveillance-case-definitions-for-new-coronavirus-disease--%28version-1%29,,2020-02-06,,2020-02-06,9261
12741,GPHIN01330,GPHIN,1330,AFRO,Nigeria,NGA,566,national,,,,AIRPORT SCREENING: ENTRY,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"Nigeria's Aviation Minister has said that Federal Airports Authority of Nigeria (FAAN) had been collaborating with Port Health Services which is the lead agency for public health in the airport since the coronavirus outbreak began in China to ensure that the virus is not imported to the country through the airports. 
The FAAN conduct screening of arriving passengers on all flights by the port health services using temperature scanners, collection of travel history information and physical observation of the passengers on all flights. 
Early recognition of cases, isolation of suspected passenger, safe transport to designated hospitals and contact tracing around these individuals and many other preventive approaches are currently being implemented at the airports",,,,Media,https://leadership.ng/2020/02/19/coronavirus-no-cause-for-alarm-fg-reassures-nigerians/,,2020-02-19,,2020-02-19,9261
10333,CDC_ITF_1248,CDC_ITF,CDC-ITF-NG-00006,AFRO,Nigeria,NGA,566,national,,,Passenger screening,Entry screening,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,Temperature checks and questionnaires on arrival. NA,,Impose,,,https://ng.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,2020-03-31,9261
6067,ACAPS_6067,ACAPS,8914,AFRO,Nigeria,NGA,566,other,FCT,Lockdown,,Partial lockdown,4.5.1,Social and physical distancing measures,Domestic travel,Suspending or restricting movement,No,,,"Nigeria has approved a phased and gradual easing of lockdown measures in FCT, Lagos and Ogun States effective from Saturday, 2nd May, 2020 at 9am.",Not applicable,Phase-out measure,Nairametrics - President speech transcript,Media,https://nairametrics.com/2020/04/27/fill-speech-of-president-buhari-on-covid-19-pandemic/,,2020-05-04,,2020-05-04,9261
18678,GPHIN05470,GPHIN,5470,AFRO,Nigeria,NGA,566,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"Motorcycle taxi drivers clashed with security forces in Bomadi (Delta state) on 7 April, as they defied coronavirus (COVID-19) quarantine measures. Security forces mounted road blocks in an attempt to prevent the taxi's from operating, leading to taxi drivers later mobilizing at the Tuomo roundabout to confront security forces. Tear gas was deployed to disperse the crowds. A heightened security presence is to be expected in Bomadi over the coming hours.",,,,Media,https://www.garda.com/crisis24/news-alerts/330341/nigeria-security-forces-and-motorcycle-taxi-drivers-clash-in-bomadi-delta-state-amid-covid-19-lockdown-april-7,,2020-04-08,,2020-04-08,9261
15244,GPHIN03178,GPHIN,3178,AFRO,Nigeria,NGA,566,national,,,,AIRPORT SCREENING: ENTRY,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"Health workers in Nigeria have been deployed at Lagos airport to screen all arriving passengers, while some stores and banks are checking customers' temperatures for fever and handing out sanitizers before they enter. 
In some places, hand sanitizers are being sold for more than 10 times the normal price. The Consumer Protection Commission announced its intent to prosecute those who are price gouging in the midst of public apprehension over the virus. 
The Nigerian President has appealed for calm and said Nigeria's experience with Ebola has prepared the country for outbreaks like coronavirus. 
Figures from WHO shows that only 42 percent of Nigerians have access to water, soap and washing facilities on their premises, while 25 percent have no access to water at all. Nigeria has around 200 million citizens, so there are significant concerns about the impact of coronavirus spreading widely.",,,,Media,https://www.cnn.com/2020/03/09/africa/nigeria-coronavirus-cases-intl/index.html,,2020-03-10,,2020-03-10,9261
25717,OxCGRT3679,OxCGRT,OXCGRT012649,AFRO,Nigeria,NGA,566,national,,,,C3 - cancel public events - 1,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",1,,,Major national sporting events have been suspended and the government has advised against public gatherings as a precaution.  Source: https://web.archive.org/web/20200426170657/https://www.garda.com/crisis24/news-alerts/324406/nigeria-new-entry-restrictions-to-come-into-effect-march-20-update-1,Recommended,,,,,,2020-03-18,,,9261
6058,ACAPS_6058,ACAPS,8389,AFRO,Nigeria,NGA,566,national,,Social distancing,,Public services closure,4,Social and physical distancing measures,,,No,,,The Nigerian government has announced the reopening of government offices and banks starting on Monday.,Not applicable,Phase-out measure,BBC,Media,https://www.bbc.com/news/live/world-africa-47639452/page/2,,2020-05-04,,2020-04-30,9261
19101,GPHIN05673,GPHIN,5673,AFRO,Nigeria,NGA,566,national,,,,LAND SCREENING,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"Restrictive measures remain in place in Kaduna state, including social distancing orders and a 24-hour curfew, and were initially imposed on March 28. Local media sources on Wednesday, April 8, multiple individuals found to be violating the coronavirus (COVID-19) lockdown measures in place statewide have been arrested in Kaduna state in the last week.  A heightened security presence is to be expected in Kaduna state amid the lockdown restrictions. Further clashes between protesters and security forces are possible.",,,,Media,https://www.garda.com/crisis24/news-alerts/330956/nigeria-multiple-arrests-in-kaduna-state-amid-covid-19-lockdown-measures-april-8,,2020-04-09,,2020-04-09,9261
19102,GPHIN05673,GPHIN,5673,AFRO,Nigeria,NGA,566,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"Restrictive measures remain in place in Kaduna state, including social distancing orders and a 24-hour curfew, and were initially imposed on March 28. Local media sources on Wednesday, April 8, multiple individuals found to be violating the coronavirus (COVID-19) lockdown measures in place statewide have been arrested in Kaduna state in the last week.  A heightened security presence is to be expected in Kaduna state amid the lockdown restrictions. Further clashes between protesters and security forces are possible.",,,,Media,https://www.garda.com/crisis24/news-alerts/330956/nigeria-multiple-arrests-in-kaduna-state-amid-covid-19-lockdown-measures-april-8,,2020-04-09,,2020-04-09,9261
