NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY_TERRITORY_AREA,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,COMMENTS,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE_ENTRY,Sys_BatchID
17096,GPHIN04649,GPHIN,4649,AFRO,South Africa,ZAF,710,national,,,,TRAVEL BAN,5.7,International travel measures,,Suspending or restricting international flights,,,,"South Africa begain a 21-day lockdown on 27 March. All but essential workers must stay home, with only trips to buy groceries or seek medical attention allowed. All restaurants, fast-food outlets, pubs, bars and taverns will be shut and transportation of alcohol has been banned. Ports, land border crossings and airports are effectively shut to passenger traffic. South African police and soldiers have used rubber bullets to enforce lockdown.",,,,Media,https://www.theguardian.com/world/2020/mar/28/south-africa-police-rubber-bullets-shoppers-covid-19-lockdown,,2020-03-31,,2020-03-31,9261
7560,ACAPS_7560,ACAPS,1850,AFRO,South Africa,ZAF,710,national,,Governance and socio-economic measures,,Emergency administrative structures activated or established,8.3,Other measures,,Financial packages,Yes,,,Temporary shelters that meet the necessary hygiene standards will be identified for homeless people. Sites are also being identified for quarantine and self-isolation for people who cannot self-isolate at home.,Not applicable,Introduction / extension of measures,President press conference,Government,https://www.youtube.com/watch?v=H94eg5gEDeE,https://www.cnbcafrica.com/news/2020/03/23/breaking-nationwide-lockdown-announced-in-south-africa/,2020-03-27,,2020-03-23,9261
20614,GPHIN06527,GPHIN,6527,AFRO,South Africa,ZAF,710,national,,,,LOCKDOWN OR CURFEW,4.5.2,Social and physical distancing measures,Domestic travel,Stay-at-home order,,,,"KwaZulu-Natal authorities announced additional lockdown measures as of 20 April. As such, screening, testing, as well as stricter law enforcement operations will increase in the province.
A previously imposed nationwide lockdown remains in effect until  30 April. The lockdown, prohibits people from leaving their homes unless they are buying food, seeking medical help, or collecting social grants. Emergency responders, health workers, and security services staff are exempted from the measures. All businesses have been ordered to close except for supermarkets, pharmacies, laboratories, banks, petrol stations, health-care providers, and the Johannesburg Stock Exchange. In addition, nearly 20,000 police and soldiers have been deployed to maintain order and ensure that people are respecting lockdown measures.",,,,Media,https://www.garda.com/crisis24/news-alerts/334696/south-africa-authorities-announce-additional-lockdown-measures-in-kwazulu-natal-from-april-20-update-9,,2020-04-21,,2020-04-21,9261
10653,CDC_ITF_1568,CDC_ITF,CDC-ITF-ZA-00010,AFRO,South Africa,ZAF,710,national,,,Movement restrictions,Mandatory lockdown,4.5.2,Social and physical distancing measures,Domestic travel,Stay-at-home order,,,,all south africans to stay at home except for foodmedical care,,Impose,,,https://www.aljazeera.com/news/2020/03/south-africans-brace-21-day-lockdown-virus-cases-rise-200324073801136.html,,2020-03-26,,2020-03-25,9261
20611,GPHIN06527,GPHIN,6527,AFRO,South Africa,ZAF,710,national,,,,MASS GATHERING CANCELLATION,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",,,,"KwaZulu-Natal authorities announced additional lockdown measures as of 20 April. As such, screening, testing, as well as stricter law enforcement operations will increase in the province.
A previously imposed nationwide lockdown remains in effect until  30 April. The lockdown, prohibits people from leaving their homes unless they are buying food, seeking medical help, or collecting social grants. Emergency responders, health workers, and security services staff are exempted from the measures. All businesses have been ordered to close except for supermarkets, pharmacies, laboratories, banks, petrol stations, health-care providers, and the Johannesburg Stock Exchange. In addition, nearly 20,000 police and soldiers have been deployed to maintain order and ensure that people are respecting lockdown measures.",,,,Media,https://www.garda.com/crisis24/news-alerts/334696/south-africa-authorities-announce-additional-lockdown-measures-in-kwazulu-natal-from-april-20-update-9,,2020-04-21,,2020-04-21,9261
16435,GPHIN04085,GPHIN,4085,AFRO,South Africa,ZAF,710,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"South Africa will impose a nationwide lockdown for 21 days from midnight on Thursday 26 March to try to contain the coronavirus outbreak, President Cyril Ramaphosa said on Monday, as the number of confirmed cases jumped by 128 to 402.",,,,Media,https://nationalpost.com/pmn/health-pmn/south-africa-to-impose-21-day-lockdown-as-coronavirus-cases-jump-2,,2020-03-23,,2020-03-23,9261
7565,ACAPS_7565,ACAPS,3139,AFRO,South Africa,ZAF,710,national,,Public health measures,,Mass population testing,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,No,,,"South Africa has launched a mass screening programme with 10,000 fied workers to visit homes of citizens/residents. DOI: 31/03/2020",,Introduction / extension of measures,BBC,Media,https://www.bbc.com/news/live/world-africa-47639452,,2020-03-30,,2020-03-31,9261
27475,OxCGRT5437,OxCGRT,OXCGRT018626,AFRO,South Africa,ZAF,710,national,,,,C2 - workplace closing - 3,4.2.2,Social and physical distancing measures,"Offices, businesses, institutions and operations",Closing,1,,,"South Africa's lockdown to prevent the spread of Coronavirus became effective from 26 March 2020 and was announced by President Cyril Ramaphosa in an address to the nation on 30 March 2020. All shops and businesses are to close, with the exemption of pharmacies, laboratories, banks, the Johannesburg Stock Exchange, supermarkets, petrol stations and healthcare providers. Until 1st May when national coronavirus alert level will be lowered from level 5 to level 4 with effect from Friday the 1st of May.   /web/20200430104131/https://www.aljazeera.com/news/2020/03/south-africans-brace-21-day-lockdown-virus-cases-rise-200324073801136.html  /web/20200430104023/https://www.youtube.com/watch?v=hpmWE1hQ7jE  /web/20200430104803/https://www.gov.za/speeches/president-cyril-ramaphosa-south-africas-response-coronavirus-covid-19-pandemic-23-apr-2020",Required,,,,,,2020-03-26,,,9261
20934,GPHIN06726,GPHIN,6726,AFRO,South Africa,ZAF,710,national,,,,LOCKDOWN OR CURFEW,4.5.2,Social and physical distancing measures,Domestic travel,Stay-at-home order,,,,"South African President plans to deploy more than 73,000 extra troops to help implement a nationwide coronavirus lockdown.  The country is four weeks into a strict police and military-enforced shutdown. Security forces have struggled to keep people indoors -- particularly in overcrowded townships -- and the police have been grappling with illegal alcohol sales, sometimes involving its own men.",,,,Media,https://www.urdupoint.com/en/world/safrica-to-deploy-73000-more-troops-for-loc-900832.html,,2020-04-22,,2020-04-22,9261
7586,ACAPS_7586,ACAPS,8386,AFRO,South Africa,ZAF,710,national,,Social distancing,,Public services closure,4,Social and physical distancing measures,,,Yes,,,"From next month, restaurants will be able to sell hot cooked food for home delivery. Sit down or pick-up are still not permitted.",Not applicable,Phase-out measure,South African Government,Social media,https://twitter.com/GovernmentZA/status/1255065114690158592?s=20,,2020-05-01,,2020-04-30,9261
