NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY_TERRITORY_AREA,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,COMMENTS,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE_ENTRY,Sys_BatchID
12963,GPHIN01477,GPHIN,1477,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"The latest update from the Government of UK on 21 Feburuary has advised travellers returning from China, Thailand, Japan, Republic of Korea, Hong Kong, Taiwan, Singapore, Malaysia, Macau in the last 14 days and develop flu-like symptoms to self-isolate and call NHS 111 to inform of travel history, 
As of 21 February, a total of 5,885 people have been tested in the UK, of which 5,876 were confirmed negative and 9 positive.",,,,Official,https://www.gov.uk/guidance/wuhan-novel-coronavirus-information-for-the-public,,2020-02-21,,2020-02-21,9261
16589,GPHIN04197,GPHIN,4197,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"The Public Health England has released a guidance for first responders as defined by the Civil Contingencies Act, and others who may have close contact with symptomatic people with potential COVID-19. This includes professionals and members of voluntary organisations who, as part of their normal roles, provide immediate assistance to a symptomatic person until further medical assistance arrives. Emergency service professionals who have received specific advice from their employer, such as NHS ambulance trust employees, should follow that guidance.
Additional advice for Police officers, Border Force officers and Immigration Enforcement officers is provided at the end of this guidance.",,,,Official,https://www.gov.uk/government/publications/novel-coronavirus-2019-ncov-interim-guidance-for-first-responders/interim-guidance-for-first-responders-and-others-in-close-contact-with-symptomatic-people-with-potential-2019-ncov,,2020-03-24,,2020-03-24,9261
20745,GPHIN06628,GPHIN,6628,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,,,VACCINE/MCM DEPLOYED,7,Biological measures,,,,,,"Coronavirus vaccine researchers in London are asking for volunteers to take part in human trials in June. A team at Imperial College London has been carrying out tests on animals since February and has secured government funding to fast-track its work. The college said early findings show that in animals, the vaccine does have a positive effect and scientifically there’s a very high chance of success of getting a vaccine.",,,,Media,https://edition.cnn.com/world/live-news/coronavirus-pandemic-04-22-20-intl/h_8e26d825f0c07c454dff2743e30d1ba3,,2020-04-22,,2020-04-22,9261
17167,GPHIN04703,GPHIN,4703,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,,,RESEARCH ADVANCEMENT,10,Not of interest,Not of interest,Not of interest,,,,"A recent study has found that there is no evidence for or against the use of non-steroidal anti-inflammatory drugs such as ibuprofen for patients with COVID-19. The study, led by researchers at King's College London, also found other types of drugs, such as TNF blockers and JAK inhibitors safe to use. Some 89 existing studies on other coronavirus strains such as MERS and SARS, as well as the limited literature on COVID-19, were analysed to find out if certain pain medications, steroids, and other drugs used in people already suffering from diseases should be avoided if they catch COVID-19.",,,,Media,https://www.sciencedaily.com/releases/2020/03/200330152143.htm,,2020-03-31,,2020-03-31,9261
13058,GPHIN01536,GPHIN,1536,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,The NHS has started testing people for novel coronavirus in their own homes in London. The new approach will be expanded to other areas outside the capital in the coming weeks. The new approach is adopted to limit spread of infection across capital.,,,,Media,https://www.theguardian.com/world/2020/feb/21/nhs-to-test-londoners-for-coronavirus-at-home,,2020-02-21,,2020-02-21,9261
12004,GPHIN00734,GPHIN,734,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,,,RESEARCH ADVANCEMENT,10,Not of interest,Not of interest,Not of interest,,,,"The novel coronavirus diagnostic test developed by Public Health England (PHE) is being rolled out to laboratories across the UK starting on Monday 10 February. The increase in diagnostic capacity from one laboratory in London to 12 labs over the coming weeks, will accelerate the country’s testing capabilities.",,,,Official,https://www.gov.uk/government/news/phe-novel-coronavirus-diagnostic-test-rolled-out-across-uk,,2020-02-10,,2020-02-10,9261
18210,GPHIN05224,GPHIN,5224,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,,,MASS GATHERING CANCELLATION,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",,,,"On 3 April, officials announced that London's Heathrow Airport (LHR) will operate on a single runway starting 6 April, due to a decrease in air passenger traffic amid the ongoing coronavirus (COVID-19) pandemic.  Airport authorities also announced that Terminal 3 and 4's operations will be temporarily moved into Terminal 2 and 5 in the coming days and weeks.  
British Airways on 31 March announced the temporary suspension of all flights to and from London Gatwick Airport (LGW).  London City Airport (LCY) also suspended all commercial and private flight operations through the end of April. 
Hull Trains, a First group train operator, has suspended all train services since 30 March.",,,,Media,https://www.garda.com/crisis24/news-alerts/329516/uk-londons-heathrow-airport-lhr-to-close-two-terminals-april-3-update-13,,2020-04-06,,2020-04-06,9261
15938,GPHIN03730,GPHIN,3730,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"UK scientists are working on a coronavirus vaccine aimed at preventing outbreaks similar to the Covid-19 pandemic. Researchers from the University of Plymouth have made progress in developing vaccines designed to prevent infections jumping from animals to humans. Researchers at The Vaccine Group (TVG), a university spinout company, are now looking to create a vaccine to prevent future human coronaviruses that have spread from animals.",,,,Media,,,2020-03-17,,2020-03-17,9261
8641,ACAPS_8641,ACAPS,1878,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,Social distancing,,Limit public gatherings,4.3,Social and physical distancing measures,"Gatherings, businesses and services",,No,,,"Restaurants, cafes and bars are no longer permitted to sell food or drinks for consumption on the premises.",Fines,Introduction / extension of measures,UK Government website,Government,https://www.gov.uk/government/news/new-regulations-created-by-secretary-of-state-for-business-closure-covid-19,,2020-03-21,,2020-03-24,9261
12583,GPHIN01220,GPHIN,1220,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"A Holiday Inn at Heathrow airport has been block-booked to be used as a quarantine facility in anticipation of more potential coronavirus cases arriving in the UK. The hotel will be used for those considered at risk but with nowhere else to go, the Department of Health confirmed. This includes space for people to self-isolate if they have been advised to, and to be tested for the virus and await results.
The Foreign Office is in contact with the 74 British nationals on the Diamond Princess ship in Yokohama about the possibility of repatriation flights.",,,,Media,https://www.theguardian.com/world/2020/feb/17/heathrow-hotel-block-booked-as-coronavirus-quarantine-facility,,2020-02-18,,2020-02-18,9261
11642,GPHIN00480,GPHIN,480,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,,,VACCINE/MCM DEPLOYED,7,Biological measures,,,,,,"The Head of Mucosal Infection and Immunity at Imperial College London, on 5 February said they are now at the stage to start testing the vaccine on animals as early as next week with human studies in the summer if enough funding is secured. The team is hoping to move from early animal testing into the first human studies in a few month if the funding is adequate.",,,,Media,https://news.sky.com/story/coronavirus-significant-breakthrough-in-race-for-vaccine-made-by-uk-scientists-11926469,,2020-02-05,,2020-02-05,9261
