NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY_TERRITORY_AREA,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,COMMENTS,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE_ENTRY,Sys_BatchID
15848,GPHIN03657,GPHIN,3657,AMRO,United States Of America,USA,840,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"The Centers for Disease Control and Prevention (CDC) recommends all persons defer any travel on cruise ships, including river cruises, worldwide because of the increased risk of SARS-CoV-2 transmission onboard ships. Deferring travel is especially important for older adults and all people with serious chronic medical conditions (such as heart disease, diabetes or lung disease), because of their increased risk for severe disease. This health update provides information to clinicians and state and local health departments about the current coronavirus disease 2019 (COVID-19) situation and the risks associated with travel on cruise ships, including river cruises.",,,,Media,https://emergency.cdc.gov/han/2020/han00430.asp,,2020-03-16,,2020-03-16,9261
14196,GPHIN02318,GPHIN,2318,AMRO,United States Of America,USA,840,national,,,,MASS GATHERING CANCELLATION,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",,,,"As the number of novel coronavirus infections continue to rise in Washington, the Mukilteo School District on 2 March announced the closing and cleaning of two more schools after the District learned Sunday evening (1 March) that a parent of a Mariner student had tested positive for COVID-19. The closing of these two schools bring the total number of school closures in the state to six.",,,,Media,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-03-02-20-intl-hnk/index.html,,2020-03-02,,2020-03-02,9261
20753,GPHIN06632,GPHIN,6632,AMRO,United States Of America,USA,840,national,,,,RESEARCH ADVANCEMENT,10,Not of interest,Not of interest,Not of interest,,,,"A new study launched by the University of California, San Francisco is under way in Bolinas, California, with the aim of gaining a more complete understanding of how the virus invisibly spread during the initial shortfall of comprehensive nationwide testing. The community-wide free testing is is voluntary. Testing began in Bolinas -- a town of fewer than 2,000 people -- on 20 April, and residents have four days to visit a pop-up center to receive nasal swabs and a finger prick test.
On 25 April, the second community, the vastly different and densely populated Mission District of San Francisco, will begin testing, with some 6,000 residents having four days to get their swabs and jabs.",,,,Media,https://edition.cnn.com/world/live-news/coronavirus-pandemic-04-22-20-intl/h_8e26d825f0c07c454dff2743e30d1ba3,,2020-04-22,,2020-04-22,9261
20636,GPHIN06541,GPHIN,6541,AMRO,United States Of America,USA,840,national,,,,RESEARCH ADVANCEMENT,10,Not of interest,Not of interest,Not of interest,,,,"University of Michigan (UM) has invented a microfluidic device, or ""lab on a chip,"" to enable portable, fast, cheap and highly precise COVID-19 antibody testing. The device, which was developed by UM startup Optofluidic Bioassay, shrinks multiple lab functions onto a single chip just millimeters or centimeters in size.  The microfluidic ELISA can test multiple simultaneous samples of little more than a drop of blood from a fingertip in less than 20 minutes. The estimated cost of testing is a few dollars per test of two to three different antibodies",,,,Media,http://www.china.org.cn/world/Off_the_Wire/2020-04/22/content_75960325.htm,,2020-04-21,,2020-04-21,9261
11240,GPHIN00229,GPHIN,229,AMRO,United States Of America,USA,840,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"CDC on 1 February released a CDC Health Alert Network (HAN) update that provides a situational update and interim guidance to state and local health departments that supersedes guidance in CDC’s HAN 426 distributed on  17 January 2020.  It adds guidance for clinicians caring for patients with 2019-nCoV, and for public health officials on the evaluation and testing of patients under investigation (PUIs) for 2019-nCoV, and updated infection prevention and control guidance specific to 2019-nCoV.",,,,Official,"https://emergency.cdc.gov/han/han00427.asp
https://www.cdc.gov/coronavirus/2019-ncov/hcp/clinical-guidance-management-patients.html
https://www.cdc.gov/coronavirus/2019-nCoV/hcp/clinical-criteria.html
https://www.cdc.gov/coronavirus/2019-nCoV/hcp/infection-control.html",,2020-02-03,,2020-02-03,9261
14625,GPHIN02676,GPHIN,2676,AMRO,United States Of America,USA,840,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"On 4 March, the House passed a sweeping bill allocating more than $8.3 billion in emergency funds to combat the spread of the deadly coronavirus. The emergency funding package, which provides more than $3 billion in vaccine research and $2.2 billion in prevention and preparedness efforts.",,,,Media,https://www.cnbc.com/2020/03/04/house-passes-8point3-billion-emergency-coronavirus-spending-plan.html,,2020-03-05,,2020-03-05,9261
15867,GPHIN03676,GPHIN,3676,AMRO,United States Of America,USA,840,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"The US Food and Drug Administration (FDA) has identified approximately 20 drugs at risk of shortage due to the ongoing coronavirus outbreak. These drugs either source all main ingredients from China or are finished in the country. They have been in contact with the producting firms to understand if they face any drug shortage risks due to the outbreak. FDA asked the manufacturers to assess their entire supply chain.  According to the White House, more than $1bn of the funds would go towards developing a vaccine, with the remaining allocated for therapeutics and stockpiling of protective equipment such as masks.",,,,Media,,,2020-03-16,,2020-03-16,9261
14198,GPHIN02320,GPHIN,2320,AMRO,United States Of America,USA,840,national,,,,MASS GATHERING CANCELLATION,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",,,,"The World Petrochemical Conference (WPC) 2020, scheduled to take place in New Orleans, on March 24 through 27, has been cancelled due to concerns stemming from novel coronavirus.",,,,Media,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-03-02-20-intl-hnk/index.html,,2020-03-02,,2020-03-02,9261
20756,GPHIN06635,GPHIN,6635,AMRO,United States Of America,USA,840,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"The American Heart Association, the American College of Emergency Physicians and six other medical groupson 22 April warn that people suffering heart attacks, strokes or other life-threatening emergencies are staying away from hospitals because they fear contracting Covid-19, urging people to still call 911 and go to the hospital when it’s a real emergency.",,,,Media,,,2020-04-22,,2020-04-22,9261
14355,GPHIN02437,GPHIN,2437,AMRO,United States Of America,USA,840,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"US officials are pressing airlines to collect and share more data on international travelers while federal health officials combat the coronavirus. The data request includes contact information that would help health officials follow up with potential carriers of the coronavirus, or fellow travelers who may have come into contact with an infected person, within 24 hours of a CDC request.",,,,Media,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-03-02-20-intl-hnk/index.html,,2020-03-03,,2020-03-03,9261
