,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
LAND SCREENING,1.3237464,1.6147022,1.326887,1.2043318,1.2913165,1.3141499,1.5367961,1.000024,1.2455714,1.2967356
BORDER CLOSING,-1.2972237,-1.6363492,-1.6648419,-1.4553732,-1.349873,-1.2380366,-1.235824,-1.285167,-1.4924122,-1.5446681
AIRPORT SCREENING: ENTRY,-1.4453448,-1.6848578,-1.4242076,-1.467079,-1.1951271,-1.10635,-1.1692203,-1.0910796,-1.2073337,-1.1985159
AIRPORT SCREENING: EXIT,-1.6339835,-1.6227992,-1.3639649,-0.9460975,-1.4108496,-1.5506364,-1.3697537,-1.2645209,-1.4593915,-1.5222433
TESTING & CASE DETECTION  ,-1.1375774,-1.7250909,-1.4230369,-1.4946282,-1.2832414,-1.4728041,-1.3706005,-1.3520886,-1.7024248,-1.5415933
QUARANTINE / MONITORING,-1.164045,-1.5398715,-1.3400803,-1.1490921,-1.2264886,-1.4032328,-1.304987,-1.2373179,-1.4793802,-1.057008
TRAVEL ADVISORY,-1.4745028,-1.5909239,-1.3435079,-0.9536463,-1.3042864,-1.2113556,-1.222854,-1.1981732,-1.6229981,-1.2339888
TRAVEL BAN / CANCELLATION,-1.2391211,-1.6550078,-1.2158779,-1.4907894,-1.3550158,-1.3494625,-1.5717069,-0.9559232,-1.641983,-1.3960197
TRADE BANS,-1.6310189,-1.6054231,-1.5540621,-1.2973577,-1.3600235,-1.1379783,-1.1127924,-1.1932095,-1.556078,-1.5824041
EDUCATION CAMPAIGN,-1.2479396,-1.3305974,-1.369827,-1.0572743,-1.1494349,-1.3765182,-1.6421249,-1.290457,-1.5342932,-1.3662307
MASS GATHERING CANCELLATION,-1.3251947,-1.5513183,-1.7276591,-1.4152122,-1.2909881,-1.2896907,-1.4333335,-1.4245205,-1.7382888,-1.3424695
RESTRICTING OR LIMITING GATHERINGS,-1.3339572,-1.5905812,-1.2701254,-1.1646601,-1.1667247,-1.3809268,-1.3952634,-1.3188509,-1.6701523,-1.2913026
CLOSING PUBLIC PLACES,-1.2459743,-1.6398474,-1.5845737,-1.2919699,-1.5298138,-1.5376953,-1.6367632,-1.2286526,-1.5833504,-1.374678
LOCKDOWN OR CURFEW,-1.2440013,-1.2673014,-1.7032852,-1.1372504,-1.33348,-1.1422936,-1.5829208,-1.4002234,-1.3437707,-1.4358405
EASIND RESTRICTIONS,-1.1988568,-1.1913022,-1.231574,-1.1129397,-1.2121308,-1.2981825,-1.469801,-1.4146057,-1.5059865,-1.5802337
VACCINE/MCM DEPLOYED,-1.3818024,-1.3153173,-1.4604661,-1.0031066,-1.1623034,-1.5501444,-1.1633512,-1.2901686,-1.5895683,-1.2057979
PPE,-1.6096352,-1.2954155,-1.1485426,-1.3734515,-1.6389085,-1.2631824,-1.3783926,-1.2650623,-1.2392825,-1.0703983
