source,time,topic,topic_value
who,0,0,0.11868452280759811
who,0,1,0.13359153270721436
who,0,2,0.16912302374839783
who,0,3,0.03955052047967911
who,0,4,0.09289685636758804
who,0,5,0.06698989868164062
who,0,6,0.08064597845077515
who,0,7,0.07401537150144577
who,0,8,0.1492021083831787
who,0,9,0.07530014961957932
who,1,0,0.1184161826968193
who,1,1,0.13358241319656372
who,1,2,0.17017394304275513
who,1,3,0.03913136571645737
who,1,4,0.09280125796794891
who,1,5,0.06672258675098419
who,1,6,0.08011718839406967
who,1,7,0.07403638958930969
who,1,8,0.1499207615852356
who,1,9,0.0750981941819191
who,2,0,0.11836624145507812
who,2,1,0.13323433697223663
who,2,2,0.1707548201084137
who,2,3,0.038794197142124176
who,2,4,0.09261120110750198
who,2,5,0.06670279800891876
who,2,6,0.07993718981742859
who,2,7,0.0740693062543869
who,2,8,0.15049025416374207
who,2,9,0.0750398114323616
who,3,0,0.11834854632616043
who,3,1,0.13302510976791382
who,3,2,0.17089615762233734
who,3,3,0.03869463875889778
who,3,4,0.09251991659402847
who,3,5,0.06677640974521637
who,3,6,0.07991451025009155
who,3,7,0.07407516986131668
who,3,8,0.15066024661064148
who,3,9,0.07508935034275055
who,4,0,0.11833257973194122
who,4,1,0.13287067413330078
who,4,2,0.17105594277381897
who,4,3,0.03859546408057213
who,4,4,0.09241971373558044
who,4,5,0.06683118641376495
who,4,6,0.07988894730806351
who,4,7,0.0740426778793335
who,4,8,0.15083742141723633
who,4,9,0.07512535899877548
who,5,0,0.11830826103687286
who,5,1,0.13273949921131134
who,5,2,0.17120473086833954
who,5,3,0.038503553718328476
who,5,4,0.09232519567012787
who,5,5,0.06687885522842407
who,5,6,0.07986316829919815
who,5,7,0.07400602102279663
who,5,8,0.15101513266563416
who,5,9,0.0751555860042572
who,6,0,0.1182783916592598
who,6,1,0.1326160728931427
who,6,2,0.17134545743465424
who,6,3,0.03841547295451164
who,6,4,0.0922350063920021
who,6,5,0.06692466884851456
who,6,6,0.07983719557523727
who,6,7,0.07397175580263138
who,6,8,0.15119269490242004
who,6,9,0.0751831904053688
who,7,0,0.11824487894773483
who,7,1,0.1324954479932785
who,7,2,0.17147976160049438
who,7,3,0.038330405950546265
who,7,4,0.09214810281991959
who,7,5,0.06697048246860504
who,7,6,0.079811692237854
who,7,7,0.07394079864025116
who,7,8,0.15136869251728058
who,7,9,0.075209841132164
who,8,0,0.11820892989635468
who,8,1,0.13237576186656952
who,8,2,0.17160966992378235
who,8,3,0.038247399032115936
who,8,4,0.092063307762146
who,8,5,0.06701667606830597
who,8,6,0.07978653907775879
who,8,7,0.07391247153282166
who,8,8,0.15154311060905457
who,8,9,0.07523608207702637
who,9,0,0.11817143112421036
who,9,1,0.13225644826889038
who,9,2,0.17173659801483154
who,9,3,0.03816590830683708
who,9,4,0.09198003262281418
who,9,5,0.06706330180168152
who,9,6,0.07976174354553223
who,9,7,0.07388608157634735
who,9,8,0.15171624720096588
who,9,9,0.07526220381259918
who,10,0,0.1181328073143959
who,10,1,0.13213728368282318
who,10,2,0.17186136543750763
who,10,3,0.038085535168647766
who,10,4,0.09189780801534653
who,10,5,0.06711029261350632
who,10,6,0.07973721623420715
who,10,7,0.07386109232902527
who,10,8,0.15188835561275482
who,10,9,0.07528826594352722
who,11,0,0.11809340864419937
who,11,1,0.13201825320720673
who,11,2,0.1719845086336136
who,11,3,0.03800606355071068
who,11,4,0.09181638807058334
who,11,5,0.06715760380029678
who,11,6,0.07971292734146118
who,11,7,0.07383710891008377
who,11,8,0.1520596146583557
who,11,9,0.07531431317329407
who,12,0,0.11805334687232971
who,12,1,0.13189932703971863
who,12,2,0.17210622131824493
who,12,3,0.037927333265542984
who,12,4,0.09173557907342911
who,12,5,0.06720516085624695
who,12,6,0.07968872785568237
who,12,7,0.07381384074687958
who,12,8,0.15223008394241333
who,12,9,0.07534036040306091
who,13,0,0.11801286041736603
who,13,1,0.13178056478500366
who,13,2,0.17222681641578674
who,13,3,0.037849243730306625
who,13,4,0.09165532141923904
who,13,5,0.06725288927555084
who,13,6,0.0796646997332573
who,13,7,0.07379110902547836
who,13,8,0.15239989757537842
who,13,9,0.07536643743515015
who,14,0,0.1179720014333725
who,14,1,0.13166199624538422
who,14,2,0.17234642803668976
who,14,3,0.03777175024151802
who,14,4,0.09157553315162659
who,14,5,0.06730083376169205
who,14,6,0.07964076846837997
who,14,7,0.07376881688833237
who,14,8,0.15256920456886292
who,14,9,0.07539257407188416
who,15,0,0.1179308369755745
who,15,1,0.13154363632202148
who,15,2,0.17246510088443756
who,15,3,0.0376947820186615
who,15,4,0.09149616956710815
who,15,5,0.06734894216060638
who,15,6,0.07961692661046982
who,15,7,0.07374687492847443
who,15,8,0.15273797512054443
who,15,9,0.07541872560977936
who,16,0,0.11788945645093918
who,16,1,0.13142549991607666
who,16,2,0.17258287966251373
who,16,3,0.03761831298470497
who,16,4,0.09141718596220016
who,16,5,0.06739716231822968
who,16,6,0.07959316670894623
who,16,7,0.0737251415848732
who,16,8,0.15290620923042297
who,16,9,0.07544492930173874
who,17,0,0.11784784495830536
who,17,1,0.13130757212638855
who,17,2,0.17269985377788544
who,17,3,0.037542328238487244
who,17,4,0.09133855998516083
who,17,5,0.06744549423456192
who,17,6,0.0795694887638092
who,17,7,0.07370364665985107
who,17,8,0.15307395160198212
who,17,9,0.0754711851477623
who,18,0,0.11780603975057602
who,18,1,0.13118991255760193
who,18,2,0.17281602323055267
who,18,3,0.03746682032942772
who,18,4,0.09126029908657074
who,18,5,0.06749396026134491
who,18,6,0.07954585552215576
who,18,7,0.07368235290050507
who,18,8,0.15324129164218903
who,18,9,0.07549750804901123
cape verde,0,0,0.10001777857542038
cape verde,0,1,0.09996288269758224
cape verde,0,2,0.09998764842748642
cape verde,0,3,0.09999912977218628
cape verde,0,4,0.09997005760669708
cape verde,0,5,0.0999874547123909
cape verde,0,6,0.1001875251531601
cape verde,0,7,0.0999523475766182
cape verde,0,8,0.09999648481607437
cape verde,0,9,0.09993859380483627
cape verde,1,0,0.09995104372501373
cape verde,1,1,0.09990157186985016
cape verde,1,2,0.09991157799959183
cape verde,1,3,0.10004107654094696
cape verde,1,4,0.09996628761291504
cape verde,1,5,0.10008697956800461
cape verde,1,6,0.100192129611969
