,M0,M1,M2,M3,M4
LAND SCREENING,-0.29322952,0.2251354,-0.39490888,0.44436365,0.012546489
BORDER CLOSING,-1.2301309,-0.29285303,-0.8872602,-0.6333318,0.40448633
AIRPORT SCREENING: ENTRY,-0.706862,0.7653787,-0.20635529,0.01589961,-0.07123461
AIRPORT SCREENING: EXIT,-0.90905046,-0.69927955,-0.62495303,-0.83279574,-0.63271344
TESTING & CASE DETECTION  ,0.9121006,-0.718521,0.7748041,0.38612375,-1.118481
QUARANTINE / MONITORING,0.19640166,0.7893147,0.48192993,1.3984146,-0.11081964
TRAVEL ADVISORY,-0.74464816,1.2064981,-0.37522763,-0.5946213,-1.15912
TRAVEL BAN / CANCELLATION,-0.58046436,0.7811402,-0.4600931,-0.288222,0.4557773
TRADE BANS,-0.81162775,-0.59518045,-0.39710936,-0.6286554,-0.7800245
EDUCATION CAMPAIGN,0.5551665,-1.0073997,1.36078,0.4649487,-0.9026129
MASS GATHERING CANCELLATION,-0.117944114,-0.30444664,0.29248732,1.0904102,0.6176105
RESTRICTING OR LIMITING GATHERINGS,-0.9452423,-0.95844,-0.1998384,-0.55244786,0.46989232
CLOSING PUBLIC PLACES,-0.44236463,-1.426671,-0.83002687,-0.98470503,0.4797147
LOCKDOWN OR CURFEW,-0.79051226,-1.2809118,-0.4316466,-0.87821704,0.62589514
EASIND RESTRICTIONS,-0.60789037,-0.91208667,-0.2568155,-0.4132491,0.7283116
VACCINE/MCM DEPLOYED,1.19566,-1.2654804,0.12418147,-0.8377453,-1.0450875
PPE,-0.07345781,-1.1531293,1.6008378,-0.5764384,-0.24933879
