M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
medical,coronavirus,april,schools,health,health,china,coronavirus,health,covid
masks,countries,announced,school,covid,covid,passengers,government,coronavirus,patients
equipment,outbreak,measures,home,public,canada,travel,people,cases,research
supplies,world,restrictions,students,testing,pandemic,flights,march,february,study
protective,pandemic,authorities,staff,cdc,services,days,minister,confirmed,vaccine
face,international,lockdown,coronavirus,guidance,food,italy,spread,china,virus
million,march,public,measures,care,canadian,iran,state,ministry,clinical
health,global,closed,employees,risk,care,korea,country,wuhan,drug
workers,due,remain,work,disease,public,february,april,tested,researchers
personal,response,march,province,response,ontario,quarantine,emergency,virus,sars
ministry,committee,government,education,transmission,federal,south,outbreak,people,disease
production,support,covid,ministry,cases,canadians,nationals,week,hospital,published
supply,european,place,public,states,support,hong,officials,symptoms,cov
government,covid,country,facilities,tests,people,foreign,prime,quarantine,university
coronavirus,million,time,term,information,government,japan,cases,authorities,treatment
hospitals,billion,extended,children,measures,workers,citizens,number,positive,trial
kits,united,essential,spread,community,agency,kong,virus,epidemic,found
companies,africa,curfew,long,test,safety,countries,city,control,scientists
ppe,nations,local,government,control,cent,enter,president,city,trials
fight,efforts,nationwide,care,prevention,access,allowed,weeks,chinese,data
