source,time,topic,topic_value
who,0,0,1.4645217657089233
who,0,1,-1.615408182144165
who,0,2,1.450474739074707
who,0,3,-0.06216546893119812
who,0,4,-1.0828551054000854
who,1,0,1.4851570129394531
who,1,1,-1.6632540225982666
who,1,2,1.5140947103500366
who,1,3,-0.09722721576690674
who,1,4,-1.093601107597351
who,2,0,1.4817984104156494
who,2,1,-1.6659727096557617
who,2,2,1.558601975440979
who,2,3,-0.14398616552352905
who,2,4,-1.0954058170318604
who,3,0,1.4502700567245483
who,3,1,-1.6670690774917603
who,3,2,1.5974901914596558
who,3,3,-0.19001919031143188
who,3,4,-1.0602167844772339
who,4,0,1.4316879510879517
who,4,1,-1.699313759803772
who,4,2,1.6489533185958862
who,4,3,-0.24456006288528442
who,4,4,-1.0077357292175293
who,5,0,1.4289164543151855
who,5,1,-1.756432294845581
who,5,2,1.7097253799438477
who,5,3,-0.30704694986343384
who,5,4,-0.9473250508308411
who,6,0,1.437920331954956
who,6,1,-1.827242136001587
who,6,2,1.7745805978775024
who,6,3,-0.37509268522262573
who,6,4,-0.8850712180137634
who,7,0,1.4531654119491577
who,7,1,-1.903623104095459
who,7,2,1.8384127616882324
who,7,3,-0.4437946677207947
who,7,4,-0.8245712518692017
who,8,0,1.4712274074554443
who,8,1,-1.9795714616775513
who,8,2,1.898464322090149
who,8,3,-0.5101693272590637
who,8,4,-0.7687548398971558
who,9,0,1.4904321432113647
who,9,1,-2.0513672828674316
who,9,2,1.9534077644348145
who,9,3,-0.5728135704994202
who,9,4,-0.7191807627677917
who,10,0,1.5090328454971313
who,10,1,-2.1173765659332275
who,10,2,2.0022687911987305
who,10,3,-0.6295915842056274
who,10,4,-0.6765244603157043
who,11,0,1.5277262926101685
who,11,1,-2.1759843826293945
who,11,2,2.046266794204712
who,11,3,-0.6824377179145813
who,11,4,-0.6412177681922913
who,12,0,1.544899344444275
who,12,1,-2.2283577919006348
who,12,2,2.084364652633667
who,12,3,-0.7287419438362122
who,12,4,-0.6119102835655212
who,13,0,1.5600862503051758
who,13,1,-2.274688959121704
who,13,2,2.116887331008911
who,13,3,-0.7680110931396484
who,13,4,-0.5883346796035767
who,14,0,1.573962926864624
who,14,1,-2.3148961067199707
who,14,2,2.1447486877441406
who,14,3,-0.801616907119751
who,14,4,-0.5700559020042419
who,15,0,1.5864704847335815
who,15,1,-2.3500916957855225
who,15,2,2.1671018600463867
who,15,3,-0.8289303183555603
who,15,4,-0.555395781993866
who,16,0,1.5988353490829468
who,16,1,-2.3794846534729004
who,16,2,2.1872010231018066
who,16,3,-0.8537923097610474
who,16,4,-0.5452450513839722
who,17,0,1.6108208894729614
who,17,1,-2.4049129486083984
who,17,2,2.2042934894561768
who,17,3,-0.8756274580955505
who,17,4,-0.5373997688293457
who,18,0,1.6231200695037842
who,18,1,-2.426621913909912
who,18,2,2.2199063301086426
who,18,3,-0.8966662883758545
who,18,4,-0.531552791595459
cape verde,0,0,-1.2499148845672607
cape verde,0,1,0.7811286449432373
cape verde,0,2,-0.2830493748188019
cape verde,0,3,0.16251975297927856
cape verde,0,4,0.6027445197105408
cape verde,1,0,-1.2599989175796509
cape verde,1,1,0.7860697507858276
cape verde,1,2,-0.2927529513835907
cape verde,1,3,0.16045084595680237
cape verde,1,4,0.6193535923957825
cape verde,2,0,-1.253309965133667
cape verde,2,1,0.7472118139266968
cape verde,2,2,-0.28508418798446655
cape verde,2,3,0.16103008389472961
cape verde,2,4,0.6403366923332214
cape verde,3,0,-1.2494134902954102
cape verde,3,1,0.7099522948265076
cape verde,3,2,-0.27778929471969604
cape verde,3,3,0.16225624084472656
cape verde,3,4,0.6603191494941711
cape verde,4,0,-1.2455437183380127
cape verde,4,1,0.6771601438522339
cape verde,4,2,-0.2722474932670593
cape verde,4,3,0.1612834632396698
cape verde,4,4,0.6793694496154785
cape verde,5,0,-1.2411097288131714
cape verde,5,1,0.6486144661903381
cape verde,5,2,-0.2678748369216919
cape verde,5,3,0.15835759043693542
cape verde,5,4,0.696753740310669
cape verde,6,0,-1.2363497018814087
cape verde,6,1,0.6238681674003601
cape verde,6,2,-0.26407772302627563
cape verde,6,3,0.15413162112236023
cape verde,6,4,0.7121712565422058
cape verde,7,0,-1.2315776348114014
cape verde,7,1,0.6024624109268188
cape verde,7,2,-0.2605128288269043
cape verde,7,3,0.14915871620178223
cape verde,7,4,0.7256449460983276
cape verde,8,0,-1.2270170450210571
cape verde,8,1,0.5839589238166809
cape verde,8,2,-0.2570268213748932
cape verde,8,3,0.1438521444797516
cape verde,8,4,0.7373271584510803
cape verde,9,0,-1.2227925062179565
cape verde,9,1,0.567959189414978
cape verde,9,2,-0.2535744309425354
cape verde,9,3,0.13850918412208557
cape verde,9,4,0.747398853302002
cape verde,10,0,-1.2186182737350464
cape verde,10,1,0.5553150773048401
cape verde,10,2,-0.25149092078208923
cape verde,10,3,0.1322995126247406
cape verde,10,4,0.7574947476387024
cape verde,11,0,-1.2155377864837646
cape verde,11,1,0.5438350439071655
cape verde,11,2,-0.248677060008049
cape verde,11,3,0.12701106071472168
cape verde,11,4,0.7656171917915344
cape verde,12,0,-1.2129660844802856
cape verde,12,1,0.5338966250419617
cape verde,12,2,-0.24574358761310577
cape verde,12,3,0.12234634160995483
cape verde,12,4,0.7722331285476685
cape verde,13,0,-1.2105728387832642
cape verde,13,1,0.5258664488792419
cape verde,13,2,-0.24369129538536072
cape verde,13,3,0.11731407791376114
cape verde,13,4,0.7791298031806946
cape verde,14,0,-1.2088772058486938
cape verde,14,1,0.518378734588623
cape verde,14,2,-0.24115972220897675
cape verde,14,3,0.11338098347187042
cape verde,14,4,0.7844293713569641
cape verde,15,0,-1.2074450254440308
cape verde,15,1,0.5118706822395325
cape verde,15,2,-0.23857106268405914
cape verde,15,3,0.11016268283128738
cape verde,15,4,0.7884246110916138
cape verde,16,0,-1.2061280012130737
cape verde,16,1,0.5062267184257507
cape verde,16,2,-0.23605291545391083
cape verde,16,3,0.10755385458469391
cape verde,16,4,0.7913834452629089
cape verde,17,0,-1.2048673629760742
cape verde,17,1,0.5013011693954468
cape verde,17,2,-0.23365361988544464
cape verde,17,3,0.10548219829797745
cape verde,17,4,0.793505072593689
cape verde,18,0,-1.2036319971084595
cape verde,18,1,0.49696648120880127
cape verde,18,2,-0.23139038681983948
cape verde,18,3,0.10388815402984619
cape verde,18,4,0.7949367165565491
taiwan,0,0,-0.8550940155982971
taiwan,0,1,0.35403135418891907
taiwan,0,2,-0.1357971429824829
taiwan,0,3,0.45511311292648315
taiwan,0,4,0.17977389693260193
taiwan,1,0,-0.8647195100784302
taiwan,1,1,0.3537534177303314
taiwan,1,2,-0.1340460330247879
taiwan,1,3,0.4559214115142822
taiwan,1,4,0.19707342982292175
taiwan,2,0,-0.8646496534347534
taiwan,2,1,0.3474006950855255
taiwan,2,2,-0.13307538628578186
taiwan,2,3,0.44282886385917664
taiwan,2,4,0.22231978178024292
taiwan,3,0,-0.8690747022628784
taiwan,3,1,0.3457789123058319
taiwan,3,2,-0.1357017159461975
taiwan,3,3,0.4285145401954651
taiwan,3,4,0.2486128807067871
taiwan,4,0,-0.8742950558662415
taiwan,4,1,0.3442189693450928
taiwan,4,2,-0.13965776562690735
taiwan,4,3,0.4132688343524933
taiwan,4,4,0.27520325779914856
taiwan,5,0,-0.8788561224937439
taiwan,5,1,0.3413987159729004
taiwan,5,2,-0.14413529634475708
taiwan,5,3,0.39813604950904846
taiwan,5,4,0.30089738965034485
taiwan,6,0,-0.8831925392150879
taiwan,6,1,0.33672311902046204
taiwan,6,2,-0.14771175384521484
taiwan,6,3,0.3834579586982727
taiwan,6,4,0.32529416680336
taiwan,7,0,-0.8869225382804871
taiwan,7,1,0.33077654242515564
taiwan,7,2,-0.1506492793560028
taiwan,7,3,0.36974263191223145
taiwan,7,4,0.34808674454689026
taiwan,8,0,-0.8902807831764221
taiwan,8,1,0.324188232421875
taiwan,8,2,-0.1527755707502365
taiwan,8,3,0.35701102018356323
taiwan,8,4,0.36898449063301086
taiwan,9,0,-0.8937615156173706
taiwan,9,1,0.3168083727359772
taiwan,9,2,-0.15357619524002075
taiwan,9,3,0.3450205326080322
taiwan,9,4,0.3885866105556488
taiwan,10,0,-0.8966602683067322
taiwan,10,1,0.3095325529575348
taiwan,10,2,-0.1540764570236206
taiwan,10,3,0.33419933915138245
taiwan,10,4,0.406389057636261
taiwan,11,0,-0.9009472131729126
taiwan,11,1,0.30015578866004944
taiwan,11,2,-0.15121781826019287
taiwan,11,3,0.3240125775337219
taiwan,11,4,0.42317140102386475
taiwan,12,0,-0.9037986397743225
taiwan,12,1,0.29138997197151184
taiwan,12,2,-0.14938239753246307
taiwan,12,3,0.31426963210105896
taiwan,12,4,0.4400932192802429
taiwan,13,0,-0.9060020446777344
taiwan,13,1,0.28350967168807983
taiwan,13,2,-0.14792563021183014
taiwan,13,3,0.3052714765071869
taiwan,13,4,0.4553697407245636
taiwan,14,0,-0.9080369472503662
taiwan,14,1,0.27648118138313293
taiwan,14,2,-0.14630800485610962
taiwan,14,3,0.2972077429294586
taiwan,14,4,0.46839165687561035
taiwan,15,0,-0.9093871116638184
taiwan,15,1,0.27106550335884094
taiwan,15,2,-0.14538493752479553
taiwan,15,3,0.2903008460998535
taiwan,15,4,0.478776216506958
taiwan,16,0,-0.9111527800559998
taiwan,16,1,0.26632148027420044
taiwan,16,2,-0.1438145637512207
taiwan,16,3,0.28403240442276
taiwan,16,4,0.48745113611221313
taiwan,17,0,-0.9132441878318787
taiwan,17,1,0.26158446073532104
taiwan,17,2,-0.1416788101196289
taiwan,17,3,0.2781237065792084
taiwan,17,4,0.49585139751434326
taiwan,18,0,-0.9173369407653809
taiwan,18,1,0.2539180815219879
taiwan,18,2,-0.13552024960517883
taiwan,18,3,0.27265170216560364
