,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
LAND SCREENING,-0.37221295,-0.44227922,-1.036665,0.17341663,0.12881787,-0.42138928,0.095357805,0.55170447,0.6225531,-0.9487735
BORDER CLOSING,-1.0340843,-0.9889868,-0.627251,0.7051768,-0.96663225,-0.8378523,-0.7774278,-0.73426706,-0.7744774,-0.9259154
AIRPORT SCREENING: ENTRY,-0.8289386,-1.1510373,-0.7044158,-0.24148677,-0.46220636,-0.41725388,0.57937914,-0.42056093,0.31294933,-1.1019267
AIRPORT SCREENING: EXIT,-0.76405513,-0.90173566,-0.6997761,-0.5218321,-0.52509284,-0.7127667,-0.7871014,-0.5729235,-0.51158804,-1.0966767
TESTING & CASE DETECTION  ,0.65143675,0.11120136,-0.8599059,-1.1007918,1.5545666,0.5631737,-1.555676,0.27104664,-0.5159938,0.71538335
QUARANTINE / MONITORING,0.8940251,0.28944677,0.3052421,0.022605026,0.7149569,0.753108,1.0068272,1.5498977,0.6764383,0.009387351
TRAVEL ADVISORY,-0.81242454,-0.56286365,-0.33974907,-1.2436311,-0.45720834,-0.19837558,1.443922,-0.18265472,-0.2405839,-1.1067567
TRAVEL BAN / CANCELLATION,-0.38335732,-0.30703527,0.9843114,0.64224386,-0.80679893,-0.55781394,1.2870934,-0.3519796,-0.2296749,-1.0502124
TRADE BANS,-0.87013024,-0.71882415,-1.1000192,-1.0536429,-0.9252848,-1.153244,-1.1457151,-0.7438101,-0.6059422,-0.8870128
EDUCATION CAMPAIGN,0.45939174,0.6694989,-0.60527277,-1.5647995,0.54117453,1.6887248,-1.3267732,0.25530386,0.8651519,0.1303761
MASS GATHERING CANCELLATION,-0.31442055,-0.4190028,1.8252044,0.42421728,-0.42214775,-0.75009584,-1.3024483,0.29677963,-0.13431919,-0.87673604
RESTRICTING OR LIMITING GATHERINGS,-0.5697441,-0.75013214,-0.6254651,0.5106279,-0.52627224,-0.8429131,-1.4330909,-0.79970896,-0.5557332,-1.1507168
CLOSING PUBLIC PLACES,-0.64907837,-0.84355664,-0.35361555,0.63402253,-0.6874385,-0.8125632,-1.3507388,-0.6622076,-0.41195536,-0.92091376
LOCKDOWN OR CURFEW,-0.5368562,-0.6842231,-0.99060315,0.96366686,-0.80386627,-1.219513,-1.3799142,-0.37876874,-0.9864917,-1.2548304
EASIND RESTRICTIONS,-0.34613356,-0.5846856,0.36362982,0.94780904,-0.21013904,-0.25787225,-1.4299499,-0.93119735,-0.57617766,-1.0029006
VACCINE/MCM DEPLOYED,-0.31245574,0.6125193,-1.038782,-1.691301,-0.14056799,-0.07487775,-1.3336293,-0.8201605,-1.1214676,1.6687893
PPE,0.37910464,1.597665,-1.0167892,-0.742186,-3.9132636e-05,-0.20519228,-0.92720425,-0.8157151,0.3611058,0.18679588
