M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
health,million,march,april,people,health,passengers,coronavirus,health,covid
care,pandemic,coronavirus,announced,covid,covid,china,cases,ministry,patients
canada,covid,flights,measures,coronavirus,public,travel,china,public,vaccine
covid,medical,due,government,virus,cdc,days,february,measures,research
workers,coronavirus,outbreak,restrictions,cases,guidance,quarantine,city,coronavirus,clinical
hospital,support,announced,lockdown,testing,response,iran,chinese,masks,drug
staff,equipment,schools,authorities,tests,disease,korea,wuhan,country,study
government,countries,international,closed,tested,information,italy,confirmed,face,researchers
canadian,supplies,week,public,positive,transmission,south,epidemic,minister,virus
hospitals,masks,airlines,remain,symptoms,risk,nationals,authorities,quarantine,sars
ontario,protective,school,march,health,control,countries,outbreak,government,treatment
province,response,spread,covid,test,prevention,february,province,isolation,cov
pandemic,government,february,country,infected,countries,foreign,virus,spread,published
long,food,april,state,risk,coronavirus,hong,people,prevent,trial
term,outbreak,minister,place,disease,measures,citizens,medical,home,fda
medical,world,students,spread,number,care,kong,control,people,trials
facilities,global,suspended,time,confirmed,community,japan,reported,contact,scientists
homes,supply,air,essential,reported,published,enter,hubei,medical,university
work,united,scheduled,local,data,report,allowed,quarantine,cases,disease
coronavirus,health,cancelled,emergency,contact,cases,apply,central,ensure,test
