time,topic,topic_value,source
0,0,0.03469810634851456,who
0,1,0.12158354371786118,who
0,2,0.06067106872797012,who
0,3,0.027690190821886063,who
0,4,0.07018541544675827,who
0,5,0.3212098479270935,who
0,6,0.04394135624170303,who
0,7,0.1671716272830963,who
0,8,0.034376196563243866,who
0,9,0.11847282946109772,who
1,0,0.03068421594798565,who
1,1,0.126091867685318,who
1,2,0.050514835864305496,who
1,3,0.02548862434923649,who
1,4,0.06484628468751907,who
1,5,0.3815133273601532,who
1,6,0.038518667221069336,who
1,7,0.14706510305404663,who
1,8,0.030106071382761,who
1,9,0.10517112165689468,who
2,0,0.02911345660686493,who
2,1,0.13055649399757385,who
2,2,0.042859602719545364,who
2,3,0.02408948540687561,who
2,4,0.06102317199110985,who
2,5,0.4314425587654114,who
2,6,0.03306935727596283,who
2,7,0.1250123679637909,who
2,8,0.027162810787558556,who
2,9,0.0956704244017601,who
3,0,0.02766958624124527,who
3,1,0.13596795499324799,who
3,2,0.03713371232151985,who
3,3,0.023200249299407005,who
3,4,0.05781308561563492,who
3,5,0.4720953404903412,who
3,6,0.028307821601629257,who
3,7,0.10476899147033691,who
3,8,0.024823984131217003,who
3,9,0.08821920305490494,who
4,0,0.026157282292842865,who
4,1,0.14177590608596802,who
4,2,0.0323636420071125,who
4,3,0.022380514070391655,who
4,4,0.05506254360079765,who
4,5,0.5065133571624756,who
4,6,0.024059506133198738,who
4,7,0.08702784776687622,who
4,8,0.022707080468535423,who
4,9,0.08195222169160843,who
5,0,0.024749422445893288,who
5,1,0.14788930118083954,who
5,2,0.028459656983613968,who
5,3,0.02161221206188202,who
5,4,0.0528252050280571,who
5,5,0.5341286063194275,who
5,6,0.020468486472964287,who
5,7,0.07214156538248062,who
5,8,0.02081429213285446,who
5,9,0.07691118121147156,who
6,0,0.023563584312796593,who
6,1,0.15414614975452423,who
6,2,0.025273893028497696,who
6,3,0.020946649834513664,who
6,4,0.05103687569499016,who
6,5,0.5554401874542236,who
6,6,0.017566896975040436,who
6,7,0.060006722807884216,who
6,8,0.01914742775261402,who
6,9,0.07287158817052841,who
7,0,0.02280316688120365,who
7,1,0.16072748601436615,who
7,2,0.022980714216828346,who
7,3,0.020643966272473335,who
7,4,0.049954622983932495,who
7,5,0.5682713389396667,who
7,6,0.01552744209766388,who
7,7,0.050915107131004333,who
7,8,0.017828430980443954,who
7,9,0.07034768164157867,who
8,0,0.022438297048211098,who
8,1,0.16765809059143066,who
8,2,0.021460821852087975,who
8,3,0.02084081433713436,who
8,4,0.049654632806777954,who
8,5,0.5730340480804443,who
8,6,0.014282474294304848,who
8,7,0.04443839192390442,who
8,8,0.01685122214257717,who
8,9,0.06934112310409546,who
9,0,0.02227611467242241,who
9,1,0.17476201057434082,who
9,2,0.020076286047697067,who
9,3,0.021070318296551704,who
9,4,0.0495418906211853,who
9,5,0.5756648778915405,who
9,6,0.013213904574513435,who
9,7,0.03880705684423447,who
9,8,0.01593051664531231,who
9,9,0.06865714490413666,who
10,0,0.02218007668852806,who
10,1,0.18200989067554474,who
10,2,0.019152430817484856,who
10,3,0.021713245660066605,who
10,4,0.04996233060956001,who
10,5,0.5733388066291809,who
10,6,0.012637139298021793,who
10,7,0.03482203558087349,who
10,8,0.015244310721755028,who
10,9,0.06893979758024216,who
11,0,0.022143185138702393,who
11,1,0.18928375840187073,who
11,2,0.018240606412291527,who
11,3,0.022296413779258728,who
11,4,0.05037659779191017,who
11,5,0.570627748966217,who
11,6,0.012099221348762512,who
11,7,0.031189432367682457,who
11,8,0.014567796140909195,who
11,9,0.06917525827884674,who
12,0,0.0221438929438591,who
12,1,0.19650045037269592,who
12,2,0.01734938472509384,who
12,3,0.02281106635928154,who
12,4,0.05078143998980522,who
12,5,0.5675765872001648,who
12,6,0.011571364477276802,who
12,7,0.027922069653868675,who
12,8,0.013907729648053646,who
12,9,0.06943584978580475,who
13,0,0.022120168432593346,who
13,1,0.2036322057247162,who
13,2,0.016647785902023315,who
13,3,0.023485645651817322,who
13,4,0.05136335268616676,who
13,5,0.5627636313438416,who
13,6,0.011240610852837563,who
13,7,0.02534683793783188,who
13,8,0.01336447149515152,who
13,9,0.07003545761108398,who
14,0,0.022102445363998413,who
14,1,0.2106683999300003,who
14,2,0.01600704900920391,who
14,3,0.02415643073618412,who
14,4,0.051923591643571854,who
14,5,0.557606041431427,who
14,6,0.010982070118188858,who
14,7,0.023090051487088203,who
14,8,0.012868584133684635,who
14,9,0.07059520483016968,who
15,0,0.02213558368384838,who
15,1,0.2176077514886856,who
15,2,0.015276794321835041,who
15,3,0.02458932437002659,who
15,4,0.052309103310108185,who
15,5,0.5534220933914185,who
15,6,0.010597746819257736,who
15,7,0.020838091149926186,who
15,8,0.01232912391424179,who
15,9,0.07089445739984512,who
16,0,0.02214597351849079,who
16,1,0.2243804931640625,who
16,2,0.014779591001570225,who
16,3,0.025296760722994804,who
16,4,0.05284489691257477,who
16,5,0.5474889874458313,who
16,6,0.010476796887814999,who
16,7,0.019169799983501434,who
16,8,0.011941109783947468,who
16,9,0.07147577404975891,who
17,0,0.022129632532596588,who
17,1,0.23110558092594147,who
17,2,0.01432863436639309,who
17,3,0.026001613587141037,who
17,4,0.05333990231156349,who
17,5,0.541422426700592,who
17,6,0.010409938171505928,who
17,7,0.017698979005217552,who
17,8,0.011589614674448967,who
17,9,0.07197361439466476,who
18,0,0.022163309156894684,who
18,1,0.23768547177314758,who
18,2,0.013835136778652668,who
18,3,0.026535457000136375,who
18,4,0.053662966936826706,who
18,5,0.5361568927764893,who
18,6,0.010277140885591507,who
18,7,0.016254093497991562,who
18,8,0.011222278699278831,who
18,9,0.07220710813999176,who
0,0,0.04444514214992523,cape verde
0,1,0.08393151313066483,cape verde
0,2,0.10976333171129227,cape verde
0,3,0.21983154118061066,cape verde
0,4,0.056130193173885345,cape verde
0,5,0.04687723517417908,cape verde
0,6,0.2037992626428604,cape verde
0,7,0.08870412409305573,cape verde
0,8,0.11343444883823395,cape verde
0,9,0.03308314085006714,cape verde
1,0,0.04421670734882355,cape verde
1,1,0.08355304598808289,cape verde
1,2,0.11040546745061874,cape verde
1,3,0.2194303274154663,cape verde
1,4,0.056066419929265976,cape verde
1,5,0.04622804373502731,cape verde
1,6,0.20498736202716827,cape verde
1,7,0.08877182751893997,cape verde
1,8,0.1132965013384819,cape verde
1,9,0.033044181764125824,cape verde
