M0,M1,M2,M3,M4
covid,china,health,coronavirus,april
patients,passengers,covid,health,announced
coronavirus,travel,pandemic,cases,measures
virus,days,care,people,government
disease,flights,medical,ministry,public
testing,quarantine,response,outbreak,march
health,february,million,confirmed,restrictions
test,italy,support,february,covid
published,korea,coronavirus,virus,authorities
clinical,south,countries,march,lockdown
study,iran,government,city,closed
research,countries,public,country,remain
vaccine,nationals,masks,spread,coronavirus
tests,foreign,canada,hospital,place
cdc,coronavirus,workers,authorities,state
drug,march,outbreak,covid,spread
researchers,citizens,equipment,tested,country
data,japan,emergency,contact,time
people,hong,supplies,case,essential
treatment,kong,protective,epidemic,people
