source,time,topic,topic_value
who,0,0,0.4296354353427887
who,0,1,0.019747108221054077
who,0,2,0.4236425459384918
who,0,3,0.09334009885787964
who,0,4,0.03363475948572159
who,1,0,0.4248749613761902
who,1,1,0.018235744908452034
who,1,2,0.43734946846961975
who,1,3,0.08730527013540268
who,1,4,0.03223447874188423
who,2,0,0.41744571924209595
who,2,1,0.01792835257947445
who,2,2,0.45077040791511536
who,2,3,0.08213546872138977
who,2,4,0.03172009438276291
who,3,0,0.4035452902317047
who,3,1,0.017866898328065872
who,3,2,0.46755120158195496
who,3,3,0.07825709879398346
who,3,4,0.032779451459646225
who,4,0,0.3905283212661743
who,4,1,0.017055941745638847
who,4,2,0.48529931902885437
who,4,3,0.07305791974067688
who,4,4,0.034058403223752975
who,5,0,0.3795507550239563
who,5,1,0.01569966785609722
who,5,2,0.5026013255119324
who,5,3,0.06688836216926575
who,5,4,0.0352599211037159
who,6,0,0.370425820350647
who,6,1,0.014146832749247551
who,6,2,0.5186936855316162
who,6,3,0.060439333319664
who,6,4,0.03629433363676071
who,7,0,0.3626651167869568
who,7,1,0.012637784704566002
who,7,2,0.5331096649169922
who,7,3,0.05440846458077431
who,7,4,0.03717896342277527
who,8,0,0.3559893071651459
who,8,1,0.011292081326246262
who,8,2,0.5457372665405273
who,8,3,0.049082573503255844
who,8,4,0.03789876773953438
who,9,0,0.35031911730766296
who,9,1,0.010145651176571846
who,9,2,0.5565851330757141
who,9,3,0.04450488090515137
who,9,4,0.038445111364126205
who,10,0,0.3454887270927429
who,10,1,0.009193995036184788
who,10,2,0.56577467918396
who,10,3,0.04070436954498291
who,10,4,0.03883814066648483
who,11,0,0.3415081799030304
who,11,1,0.008412014693021774
who,11,2,0.5735884308815002
who,11,3,0.037457529455423355
who,11,4,0.039033789187669754
who,12,0,0.33821526169776917
who,12,1,0.007771206554025412
who,12,2,0.5800694823265076
who,12,3,0.034814756363630295
who,12,4,0.0391293540596962
who,13,0,0.33547624945640564
who,13,1,0.007248367182910442
who,13,2,0.585433304309845
who,13,3,0.032702576369047165
who,13,4,0.03913942724466324
who,14,0,0.3333033621311188
who,14,1,0.006822282448410988
who,14,2,0.5898326635360718
who,14,3,0.030984072014689445
who,14,4,0.039057470858097076
who,15,0,0.3318457007408142
who,15,1,0.006476033478975296
who,15,2,0.5930635333061218
who,15,3,0.029644282534718513
who,15,4,0.0389704555273056
who,16,0,0.3307969868183136
who,16,1,0.006191546563059092
who,16,2,0.5957794785499573
who,16,3,0.028470752760767937
who,16,4,0.03876137733459473
who,17,0,0.3302302658557892
who,17,1,0.005953957326710224
who,17,2,0.5978038907051086
who,17,3,0.02747679315507412
who,17,4,0.03853509947657585
who,18,0,0.3300202190876007
who,18,1,0.00575121957808733
who,18,2,0.5994065999984741
who,18,3,0.026558971032500267
who,18,4,0.03826291114091873
cape verde,0,0,0.04600997641682625
cape verde,0,1,0.35068967938423157
cape verde,0,2,0.12099190056324005
cape verde,0,3,0.18891417980194092
cape verde,0,4,0.2933943271636963
cape verde,1,0,0.045338407158851624
cape verde,1,1,0.35080239176750183
cape verde,1,2,0.11927125602960587
cape verde,1,3,0.18765480816364288
cape verde,1,4,0.296933114528656
cape verde,2,0,0.04590630158782005
cape verde,2,1,0.33938130736351013
cape verde,2,2,0.12088362872600555
cape verde,2,3,0.18884800374507904
cape verde,2,4,0.3049808740615845
cape verde,3,0,0.04631529375910759
cape verde,3,1,0.3285989761352539
cape verde,3,2,0.12237577140331268
cape verde,3,3,0.19002240896224976
