,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
LAND SCREENING,1.7933458,1.6869466,1.6891038,1.4408464,1.2659113,1.5683268,1.7802697,1.6015044,1.6784813,1.6127796
BORDER CLOSING,-1.6764612,-1.7176874,-1.8293592,-1.4417099,-1.096444,-1.5788572,-1.6746798,-1.2025648,-1.9268665,-1.7762212
AIRPORT SCREENING: ENTRY,-1.7545092,-1.2725911,-1.6255891,-1.6766665,-1.2731426,-1.5739926,-1.7393936,-1.4723443,-1.410232,-1.4775925
AIRPORT SCREENING: EXIT,-1.4452038,-1.7308698,-1.3290243,-1.2895623,-1.0963893,-1.4958271,-1.5076674,-1.1626736,-1.9398777,-1.4934841
TESTING & CASE DETECTION  ,-1.404252,-1.607785,-1.6316338,-1.3015295,-1.447672,-1.6200081,-1.2673526,-1.6054571,-1.6722307,-1.3350313
QUARANTINE / MONITORING,-1.378142,-1.5910609,-1.5141485,-1.7097361,-0.9776251,-1.6784842,-1.6311237,-1.458833,-1.9549656,-1.3273503
TRAVEL ADVISORY,-1.1937358,-1.3469021,-1.3789937,-1.328669,-1.0612665,-1.8429576,-1.4990287,-1.4273149,-1.7667745,-1.6954285
TRAVEL BAN / CANCELLATION,-1.6584667,-1.6889888,-1.4079957,-1.5306646,-1.1519399,-1.7354425,-1.3934492,-1.5366553,-1.9848542,-1.5761387
TRADE BANS,-1.7663581,-1.6985445,-1.2855185,-1.8840109,-1.3855947,-1.6360104,-1.4724958,-1.2941935,-1.7596368,-1.8183779
EDUCATION CAMPAIGN,-1.3248862,-1.5988306,-1.8202207,-1.8261957,-1.47687,-1.6606344,-1.3047142,-1.2204996,-1.9787868,-1.5386745
MASS GATHERING CANCELLATION,-1.2527537,-1.7038066,-1.4229808,-1.7142358,-1.0355829,-1.6716913,-1.2434157,-1.2559886,-1.8821479,-1.5512064
RESTRICTING OR LIMITING GATHERINGS,-1.3637036,-1.4929012,-1.7703861,-1.6725755,-1.4361607,-1.6974928,-1.6144595,-1.1633437,-1.9727036,-1.8532438
CLOSING PUBLIC PLACES,-1.5670938,-1.5250942,-1.6210221,-1.6474006,-1.4429152,-1.6170626,-1.296359,-1.3326042,-1.6193416,-1.7493794
LOCKDOWN OR CURFEW,-1.2372334,-1.5109782,-1.3633072,-1.4381735,-1.5229778,-1.9444423,-1.5346146,-1.445582,-1.7336907,-1.5090669
EASIND RESTRICTIONS,-1.4001464,-1.7064399,-1.2931951,-1.3800265,-1.0564119,-1.6201744,-1.6444371,-1.5637563,-1.9574496,-1.6706798
VACCINE/MCM DEPLOYED,-1.1959518,-1.6216979,-1.6712557,-1.6637132,-1.4346585,-2.0239456,-1.7672627,-1.4988639,-1.4608855,-1.609054
PPE,-1.5599756,-1.616676,-1.631962,-1.35303,-1.0891862,-1.9652352,-1.4999489,-1.0586008,-1.7933252,-1.7408137
