M0(t=0),M0(t=1),M0(t=2),M0(t=3),M0(t=4),M0(t=5),M0(t=6),M0(t=7),M0(t=8),M0(t=9),M0(t=10),M0(t=11),M0(t=12),M0(t=13),M0(t=14),M0(t=15),M0(t=16),M0(t=17),M0(t=18),M1(t=0),M1(t=1),M1(t=2),M1(t=3),M1(t=4),M1(t=5),M1(t=6),M1(t=7),M1(t=8),M1(t=9),M1(t=10),M1(t=11),M1(t=12),M1(t=13),M1(t=14),M1(t=15),M1(t=16),M1(t=17),M1(t=18),M2(t=0),M2(t=1),M2(t=2),M2(t=3),M2(t=4),M2(t=5),M2(t=6),M2(t=7),M2(t=8),M2(t=9),M2(t=10),M2(t=11),M2(t=12),M2(t=13),M2(t=14),M2(t=15),M2(t=16),M2(t=17),M2(t=18),M3(t=0),M3(t=1),M3(t=2),M3(t=3),M3(t=4),M3(t=5),M3(t=6),M3(t=7),M3(t=8),M3(t=9),M3(t=10),M3(t=11),M3(t=12),M3(t=13),M3(t=14),M3(t=15),M3(t=16),M3(t=17),M3(t=18),M4(t=0),M4(t=1),M4(t=2),M4(t=3),M4(t=4),M4(t=5),M4(t=6),M4(t=7),M4(t=8),M4(t=9),M4(t=10),M4(t=11),M4(t=12),M4(t=13),M4(t=14),M4(t=15),M4(t=16),M4(t=17),M4(t=18),M5(t=0),M5(t=1),M5(t=2),M5(t=3),M5(t=4),M5(t=5),M5(t=6),M5(t=7),M5(t=8),M5(t=9),M5(t=10),M5(t=11),M5(t=12),M5(t=13),M5(t=14),M5(t=15),M5(t=16),M5(t=17),M5(t=18),M6(t=0),M6(t=1),M6(t=2),M6(t=3),M6(t=4),M6(t=5),M6(t=6),M6(t=7),M6(t=8),M6(t=9),M6(t=10),M6(t=11),M6(t=12),M6(t=13),M6(t=14),M6(t=15),M6(t=16),M6(t=17),M6(t=18),M7(t=0),M7(t=1),M7(t=2),M7(t=3),M7(t=4),M7(t=5),M7(t=6),M7(t=7),M7(t=8),M7(t=9),M7(t=10),M7(t=11),M7(t=12),M7(t=13),M7(t=14),M7(t=15),M7(t=16),M7(t=17),M7(t=18),M8(t=0),M8(t=1),M8(t=2),M8(t=3),M8(t=4),M8(t=5),M8(t=6),M8(t=7),M8(t=8),M8(t=9),M8(t=10),M8(t=11),M8(t=12),M8(t=13),M8(t=14),M8(t=15),M8(t=16),M8(t=17),M8(t=18),M9(t=0),M9(t=1),M9(t=2),M9(t=3),M9(t=4),M9(t=5),M9(t=6),M9(t=7),M9(t=8),M9(t=9),M9(t=10),M9(t=11),M9(t=12),M9(t=13),M9(t=14),M9(t=15),M9(t=16),M9(t=17),M9(t=18)
medical,medical,medical,medical,medical,medical,covid,covid,covid,covid,resolution,resolution,adverse,complaints,september,september,government,employees,prevent,due,due,school,school,march,surrounding,surrounding,surrounding,spokesperson,united,united,usa,usa,usa,usa,usa,argentina,argentina,argentina,china,china,china,passengers,travel,travel,clearance,clearance,bosnia,fleet,poses,strike,strike,strike,junior,junior,teleconference,teleconference,teleconference,health,health,health,health,health,countries,countries,matches,postponed,cambridge,music,transfusion,transfusion,sponsored,sponsored,chance,chance,chance,prioritizing,covid,spread,spread,government,piedmont,piedmont,card,cambodia,airport,airport,bahraini,bahraini,bahraini,bahraini,refund,hairdressers,hairdressers,job,companies,coronavirus,coronavirus,coronavirus,coronavirus,people,law,law,seat,foods,foods,ioc,bridge,bridge,brunei,brunei,due,due,april,april,covid,pandemic,pandemic,pandemic,economy,duties,duties,complaints,complaints,box,box,box,numerous,efforts,efforts,combat,teachers,teachers,ottawa,measures,epidemic,epidemic,epidemic,customs,figure,china,china,china,china,eastern,eastern,difficult,difficult,beijing,milan,milan,amsterdam,amsterdam,april,april,april,april,coronavirus,respirator,origins,origins,tennis,enrolled,ii,commonly,commonly,settlements,gas,roadblocks,roadblocks,kabul,kabul,covid,covid,study,researchers,mg,mg,czechia,santiago,texas,unicef,influx,disposable,improving,describes,describes,describes,describes,disinfect,clean
masks,masks,masks,government,government,government,medical,minister,wave,security,covid,objectives,objectives,adverse,calgary,carnival,announced,announced,employees,march,schools,students,march,world,shift,programme,hubs,thai,china,border,serbia,serbia,australia,countries,honduras,urges,organizers,burden,passengers,passengers,passengers,travel,passengers,myanmar,myanmar,myanmar,clearance,bosnia,ambulances,poses,accused,junior,slated,slated,junior,macedonia,macedonia,covid,covid,covid,covid,ministry,health,asian,facebook,matches,music,transfusion,swiftly,swiftly,compound,compound,collaborate,commonly,prioritizing,chance,spread,covid,government,spread,distancing,compliance,honduras,taipei,travellers,travellers,carrier,charter,depending,depending,departing,refund,job,enforcing,canada,cases,cases,cases,cases,authorities,initiated,inmates,vietnamese,cultural,muslims,muslims,ioc,box,box,box,march,march,march,person,pandemic,covid,countries,economic,fallout,fallout,fishing,duties,nutrition,nutrition,unemployment,nutrition,box,numerous,combat,customs,farms,ottawa,teachers,epidemic,measures,prevention,prevention,check,customs,taiwanese,italy,italy,isolate,china,chinese,threat,threat,fuel,macao,departure,departure,departure,announced,announced,announced,coronavirus,driving,origins,maker,biology,oxford,ii,google,originating,unhcr,jakarta,protesters,protesters,protesters,roadblocks,protesters,patients,patients,patients,study,researchers,resulted,resulted,victims,victims,influx,unicef,improving,easily,improving,civilian,civilian,civilian,expatriates,disinfect
government,canada,government,coronavirus,coronavirus,covid,government,government,security,reports,accurate,accurate,bakeries,calgary,refund,due,employment,prevent,wear,schools,march,march,students,annual,world,collaborating,conference,confined,confined,qantas,united,united,arriving,boarding,countries,organizers,urges,surgeries,travel,travel,travel,china,nationals,flights,liechtenstein,bosnia,fleet,poses,cleaned,ambulances,faced,ford,strike,giving,macedonia,played,played,public,public,public,ministry,countries,ministry,united,postponed,cambridge,summit,cambridge,investigational,compound,transfusion,mutation,sponsored,prioritizing,commonly,commonly,outbreak,government,president,distancing,parliament,card,thailand,airport,travelers,airlines,airport,cabin,charter,mandated,bahraini,neighborhoods,enforcing,request,job,people,people,people,people,quarantine,deemed,enforce,hairdressers,delta,slated,theatres,muslims,brunei,bridge,cameroon,week,april,measures,february,countries,countries,covid,ministers,pandemic,matters,tasked,dispatched,revenue,unemployment,nutrition,unemployment,proposed,nato,customs,farms,ottawa,associations,associations,control,control,measures,temperature,thermometers,difficulty,figure,taiwanese,travelers,italy,isolate,china,messages,dealing,china,departure,macao,milan,reside,measures,restrictions,restrictions,restrictions,due,gear,unemployment,tennis,undergone,oxford,originating,unhcr,originating,commonly,gyms,bakeries,kabul,protesters,roadblocks,coronavirus,coronavirus,drug,drug,device,comprising,overwhelmed,faso,crises,mitigate,caregivers,caregivers,asks,asks,shelter,shelter,expatriates,clean,id
million,government,canada,health,health,including,minister,workers,workers,participate,developed,diabetes,easier,refund,websites,employment,due,wear,safe,students,school,schools,due,education,home,conference,spokesperson,media,media,gather,schengen,arriving,japan,salvador,salvador,usa,surgeries,urges,days,days,italy,nationals,enter,crew,resident,liechtenstein,myanmar,herzegovina,fleet,directives,unemployment,slated,mining,ford,played,wfp,wfp,ministry,ministry,ministry,cdc,covid,february,facebook,asian,organizers,refund,strains,convalescent,investigational,donors,cured,innovations,innovations,org,org,government,president,covid,president,orange,thailand,cambodia,card,passengers,passengers,cabin,carrier,malaysian,malaysian,depending,restaurant,operates,companies,request,health,confirmed,city,quarantine,capital,stations,stations,terminals,vietnamese,ioc,slated,slated,transparent,transparent,postponing,brunei,week,lawmakers,lawmakers,response,response,world,fund,hosting,roads,cpc,revenue,box,boxes,suppliers,suppliers,nutrition,proposed,nato,efforts,customs,matches,matches,prevention,prevention,control,military,relevant,check,italy,iran,iran,travelers,lebanon,difficult,refugees,transparent,dealing,beijing,reside,reside,milan,march,lockdown,lockdown,announced,truck,unemployment,yesterday,maker,campus,predict,enrolled,candidates,johns,unhcr,settlements,gyms,protests,fridays,fridays,virus,study,researchers,vaccine,drug,host,slated,czechia,avert,texas,improving,shields,describes,easily,psychological,rica,disinfect,terminal,terminal
canada,million,equipment,masks,covid,minister,outbreak,medical,president,including,internal,questions,complaints,fort,alternative,alternative,employees,government,early,school,students,due,education,event,rolled,yemen,programme,china,city,schengen,qantas,japan,countries,passengers,boarding,responsibility,burden,jurisdictions,february,february,days,japan,flights,foreign,philippine,consular,herzegovina,messaging,zone,accused,rose,pulled,giving,music,slated,cafés,november,care,guidance,guidance,guidance,february,members,international,dominican,football,postponed,downtown,music,saharan,experienced,collaborate,favipiravir,org,migration,migration,minister,minister,minister,social,restart,enter,enter,honduras,stranded,bahraini,terminal,depending,vietnamese,charter,mandated,departing,portuguese,canada,governments,virus,health,quarantine,authorities,coronavirus,universal,seat,cultural,hairdressers,theatres,marathon,sit,cameroon,sterilization,unveiled,employees,measures,person,march,world,world,global,programme,economic,worried,fallout,fallout,wfp,wfp,boxes,import,import,tens,offering,teachers,associations,latest,latest,committee,temperature,temperature,control,infrared,thermometers,february,ministry,permanent,arrive,arrive,messages,transparent,worried,cutting,fuel,amsterdam,macao,samoa,restrictions,closed,closed,closed,respirator,approvals,biology,molecular,predict,campus,petersburg,ii,candidates,casinos,roadblocks,protests,bakeries,theatres,outdoor,study,vaccine,clinical,clinical,study,responded,faso,palestinian,maintaining,committed,disposable,payment,trinidad,civilian,bazar,cpc,sanitizers,describes,expatriates
equipment,equipment,million,covid,including,coronavirus,coronavirus,including,reports,internal,shortened,adverse,gathered,associations,tickets,calgary,required,required,investigations,scheduled,cancelled,cancelled,cancelled,training,work,meeting,players,surrounding,thai,controls,sudan,australia,united,uk,argentina,stockpile,nutrition,relations,flights,italy,february,italy,foreign,passengers,cecc,charter,tips,zone,safeguard,messaging,sending,unemployment,ford,museum,giving,marks,ago,risk,cdc,cdc,contact,contact,issued,dominican,students,refund,cancelling,convalescent,strains,experienced,swiftly,favipiravir,actors,migration,pandemics,pandemics,states,states,states,minister,tourism,defer,taipei,travellers,taiwan,carrier,enter,enter,cambodia,departing,papua,consumer,factories,governments,employees,confirmed,city,confirmed,city,cases,towns,bio,stations,employment,cultural,organisers,theatres,sterilization,cameroon,due,unions,lawmakers,people,people,global,global,response,support,sector,economy,slowly,barbuda,boxes,revenue,wfp,numerous,suppliers,offering,epidemic,revenue,combat,meeting,toronto,temperature,committee,committee,customs,party,onboard,difficulty,crew,arrive,iran,italy,threat,stockpile,disruptions,visited,inbound,enter,samoa,travel,government,remain,government,lockdown,energy,agricultural,meat,oxford,biology,genomic,oxford,google,canadians,gas,bakeries,beaches,fridays,overnight,theatres,vaccine,clinical,vaccine,research,host,origins,nairobi,overwhelmed,dominican,vulnerable,devices,influx,packages,objective,engaged,mosque,rica,bolivia,draft
covid,protective,health,canada,minister,outbreak,including,pandemic,including,related,elements,developed,faster,bakeries,associations,plants,september,safe,announced,cancelled,scheduled,education,schools,online,planned,feb,statement,fitness,international,police,suspend,taiwan,passengers,past,algeria,semester,syria,syria,italy,quarantine,quarantine,flights,arrival,australia,charter,philippine,packages,packages,messaging,faced,enacted,giving,music,played,presidential,ago,cafés,cases,cases,cases,cases,issued,monitored,members,organizers,students,organizers,sections,johnson,sponsored,platform,innovations,commonly,component,pasteur,systematic,president,outbreak,social,slow,compliance,reuters,jamaica,jamaica,jamaica,enter,airlines,vietnamese,transited,papua,consumer,factories,shops,closure,trump,february,virus,health,tested,polish,people,checkpoints,inmates,spots,responses,capitals,concerts,ford,unveiled,unions,postponing,weeks,february,hospitals,support,support,support,displaced,ministers,promoting,roads,wfp,unemployment,bulk,bulk,manufacture,manufacture,combat,release,release,testing,toronto,meeting,service,service,military,committee,military,examined,mainland,permanent,isolate,ships,chinese,american,disruptions,refugees,enterprises,china,samoa,travel,macao,public,measures,coronavirus,government,approvals,assay,molecular,tour,enrolled,features,commonly,oxford,sustainable,leisure,extension,extension,gyms,protests,overnight,clinical,drug,coronavirus,trials,research,device,mg,slated,transparency,disruptions,mitigate,luxembourg,disposable,shelter,cpc,coordinating,bolivia,gates,delta
protective,supplies,protective,workers,workers,health,workers,outbreak,pandemic,wave,related,elements,diabetes,september,jordan,sales,covid,plants,april,outbreak,education,scheduled,event,school,half,planned,international,pulled,gather,china,flights,rep,past,taiwan,united,algeria,coordinate,nutrition,quarantine,flights,flights,enter,japan,iceland,iceland,resident,ministry,discussion,romania,romania,handed,sending,pulled,motor,music,presidential,marks,cdc,care,transmission,prevention,cdc,risks,matches,cancellation,summit,museum,investigational,dose,convalescent,investigational,chance,prioritizing,pasteur,innovations,pasteur,week,week,week,prime,decision,crossing,defer,stranded,bahraini,travelers,passengers,mauritius,mandated,macao,direct,operates,restaurant,employees,hand,city,february,tested,positive,city,prevents,holidays,policies,pilgrimage,loosen,concerts,loosen,concerts,ford,sterilization,measures,history,spread,testing,international,africa,fund,agreed,lockdowns,sector,barbuda,unproven,relating,complaints,scaling,exams,barriers,head,tens,epidemic,conference,tests,resulting,national,commission,service,disinfection,admission,ruling,crew,travelers,enter,aircraft,hong,news,eastern,enterprises,departure,visited,flights,flights,flights,lockdown,government,remain,curfew,masks,maker,tour,yesterday,origins,avigan,candidates,petersburg,decrease,bridge,jakarta,kabul,theatres,outdoor,exception,research,researchers,covid,sars,trial,rare,amsterdam,austrian,palestinian,maintaining,payment,consular,shields,feel,transparent,raises,gates,sanitizers,gates
workers,food,coronavirus,equipment,outbreak,workers,pandemic,president,related,projects,questions,efficacy,org,karaoke,plant,plant,plants,employment,required,events,events,postponed,scheduled,students,including,world,fears,hubs,border,flights,japan,past,china,issued,certificates,distribute,relations,organizers,south,south,south,hong,crew,nationals,consular,cutting,messaging,man,stressing,cleaned,mozambique,formally,rescheduled,rescheduled,wfp,geneva,curfews,guidance,risk,prevention,case,case,covid,ministry,san,cancelling,matches,refund,developers,donors,saharan,transfusion,transparent,sequences,sequencing,sequencing,people,plans,plans,decision,reuters,saudi,saudi,bahraini,cambodia,terminal,qantas,princess,frankfurt,refund,suitable,job,cafes,hand,reserved,hospital,hospital,wuhan,confirmed,state,authorities,policies,railways,trains,marathon,bridge,capitals,demanding,postponing,book,cameroon,spread,mass,measures,united,organization,nations,covid,social,connect,strike,relating,bulk,ford,import,coping,prices,revenue,head,offering,shift,unit,children,spread,disinfection,disinfection,beijing,injuries,taiwanese,iran,passengers,nationals,ministry,ships,fear,fear,beijing,macao,enter,travel,consulate,enter,authorities,march,march,businesses,april,supplied,assay,meat,ceremony,lungs,predict,hopkins,biotech,salons,beaches,nighttime,nighttime,exception,gathered,drug,research,research,trial,trials,finished,inhabitants,texas,eur,caregivers,strong,strong,transparent,prioritizing,objective,gates,cpc,id,store
health,health,care,including,response,response,health,prevent,ensure,qualified,develop,leisure,recognized,gathered,airasia,websites,masks,april,regularly,education,outbreak,event,concerns,due,international,statement,pulled,fears,flights,usa,border,passengers,taiwan,united,past,acute,jurisdictions,trillion,korea,korea,nationals,crew,australia,philippine,defer,line,focusing,romania,herzegovina,exhibition,accepting,attended,organisers,organisers,ford,november,liberia,disease,transmission,care,transmission,persons,screening,monitored,greek,greek,rescheduled,swiftly,component,strains,lungs,strains,component,collaborate,calendar,efficient,plans,work,outbreak,house,officer,dock,piedmont,travelers,enter,stranded,princess,frankfurt,transiting,vietnamese,request,suitable,cinemas,reserved,company,country,tested,authorities,wuhan,disease,kenyan,kenyan,foods,bookings,swimming,swimming,marathon,unveiled,competitions,transparent,unveiled,home,due,mass,africa,nations,economic,sector,promoting,relaxing,dispatched,answers,dispatched,scaling,ford,barriers,insufficient,affirms,press,tens,unit,disease,tests,commission,national,commission,party,onboard,injuries,examined,february,ministry,returning,aircraft,lebanon,american,cutting,threat,reside,venice,enter,laos,remain,public,curfew,march,agricultural,aged,plants,conflict,avigan,undergone,features,therapeutics,org,costa,retailers,retailers,beaches,halls,protests,test,virus,sars,scientists,sciences,org,loosen,eur,violence,transparency,availability,box,feel,psychological,acquired,fiji,mosque,store,screenings
