source,time,topic,topic_value
official,0,0,0.09735997766256332
official,0,1,0.05181656777858734
official,0,2,0.14856410026550293
official,0,3,0.11881348490715027
official,0,4,0.04279431700706482
official,0,5,0.16026239097118378
official,0,6,0.0644998624920845
official,0,7,0.05140345171093941
official,0,8,0.1758931428194046
official,0,9,0.08859259635210037
official,1,0,0.09727288037538528
official,1,1,0.05170806869864464
official,1,2,0.14859941601753235
official,1,3,0.11875414103269577
official,1,4,0.042615871876478195
official,1,5,0.16059128940105438
official,1,6,0.06431825459003448
official,1,7,0.051395583897829056
official,1,8,0.17614860832691193
official,1,9,0.08859580755233765
official,2,0,0.09739459306001663
official,2,1,0.05170658603310585
official,2,2,0.14852309226989746
official,2,3,0.11850934475660324
official,2,4,0.04259631782770157
official,2,5,0.16062994301319122
official,2,6,0.06424596905708313
official,2,7,0.0515604242682457
official,2,8,0.17614351212978363
official,2,9,0.08869022876024246
official,3,0,0.09732935577630997
official,3,1,0.05166488140821457
official,3,2,0.14826343953609467
official,3,3,0.11848115175962448
official,3,4,0.04263743758201599
official,3,5,0.1606535017490387
official,3,6,0.0642915591597557
official,3,7,0.05162008851766586
official,3,8,0.17632688581943512
official,3,9,0.08873160183429718
official,4,0,0.09727613627910614
official,4,1,0.05162446200847626
official,4,2,0.14825958013534546
official,4,3,0.11849381029605865
official,4,4,0.04261532053351402
official,4,5,0.16072385013103485
official,4,6,0.06427884101867676
official,4,7,0.051599886268377304
official,4,8,0.17643974721431732
official,4,9,0.08868815004825592
official,5,0,0.09725602716207504
official,5,1,0.05159894749522209
official,5,2,0.1483565717935562
official,5,3,0.11849947273731232
official,5,4,0.04257551208138466
official,5,5,0.16078181564807892
official,5,6,0.0642465129494667
official,5,7,0.05156908929347992
official,5,8,0.17647524178028107
official,5,9,0.08864058554172516
official,6,0,0.09725496917963028
official,6,1,0.05158489570021629
official,6,2,0.14845600724220276
official,6,3,0.11849737167358398
official,6,4,0.04254159331321716
official,6,5,0.16081668436527252
official,6,6,0.06421718001365662
official,6,7,0.051547110080718994
official,6,8,0.17647488415241241
