source,time,topic,topic_value
official,0,0,0.15604253113269806
official,0,1,0.2747708857059479
official,0,2,0.020750602707266808
official,0,3,0.2391565591096878
official,0,4,0.30927935242652893
official,1,0,0.1550925374031067
official,1,1,0.2702377140522003
official,1,2,0.02043311297893524
official,1,3,0.24848665297031403
official,1,4,0.30574992299079895
official,2,0,0.16578225791454315
official,2,1,0.27184557914733887
official,2,2,0.021384641528129578
official,2,3,0.21586935222148895
official,2,4,0.3251183032989502
official,3,0,0.17581060528755188
official,3,1,0.24587483704090118
official,3,2,0.023081760853528976
official,3,3,0.19754664599895477
official,3,4,0.35768622159957886
official,4,0,0.17875991761684418
official,4,1,0.21627788245677948
official,4,2,0.025386670604348183
official,4,3,0.17600832879543304
official,4,4,0.4035671353340149
official,5,0,0.17641977965831757
official,5,1,0.18368560075759888
official,5,2,0.02810089662671089
official,5,3,0.14869767427444458
official,5,4,0.4630960524082184
official,6,0,0.1706562340259552
official,6,1,0.15010322630405426
official,6,2,0.03107478655874729
official,6,3,0.12298775464296341
official,6,4,0.5251780152320862
official,7,0,0.16625146567821503
official,7,1,0.11886093765497208
official,7,2,0.033860743045806885
official,7,3,0.09969305247068405
official,7,4,0.5813338160514832
official,8,0,0.16539914906024933
official,8,1,0.09202263504266739
official,8,2,0.03666986525058746
official,8,3,0.07928089797496796
official,8,4,0.6266275644302368
official,9,0,0.17085054516792297
official,9,1,0.06907729059457779
official,9,2,0.03765678033232689
official,9,3,0.0587543323636055
official,9,4,0.6636611223220825
official,10,0,0.1779068410396576
official,10,1,0.05190200358629227
official,10,2,0.03675618767738342
official,10,3,0.04393674433231354
official,10,4,0.6894983053207397
official,11,0,0.18534016609191895
official,11,1,0.04057278484106064
official,11,2,0.034774936735630035
official,11,3,0.03422125056385994
official,11,4,0.7050908803939819
official,12,0,0.1923172026872635
official,12,1,0.03365194797515869
official,12,2,0.033157218247652054
official,12,3,0.02837037295103073
official,12,4,0.71250319480896
official,13,0,0.19826413691043854
official,13,1,0.029704496264457703
official,13,2,0.0325268879532814
official,13,3,0.025118103250861168
official,13,4,0.7143863439559937
official,14,0,0.20454619824886322
official,14,1,0.027179965749382973
official,14,2,0.03147142380475998
official,14,3,0.022570975124835968
official,14,4,0.7142313718795776
official,15,0,0.2072485387325287
official,15,1,0.026184923946857452
official,15,2,0.03209932520985603
official,15,3,0.02208208292722702
official,15,4,0.7123851180076599
official,16,0,0.21200355887413025
official,16,1,0.025411467999219894
official,16,2,0.031856559216976166
official,16,3,0.020957401022315025
official,16,4,0.7097710967063904
official,17,0,0.21578344702720642
official,17,1,0.024707043543457985
official,17,2,0.03134948015213013
official,17,3,0.02004586160182953
official,17,4,0.7081143260002136
official,18,0,0.21769213676452637
official,18,1,0.024400359019637108
official,18,2,0.03129462152719498
official,18,3,0.01974898763000965
official,18,4,0.7068638801574707
media,0,0,0.0698932558298111
media,0,1,0.346863329410553
media,0,2,0.03284492716193199
media,0,3,0.4622669816017151
media,0,4,0.08813143521547318
media,1,0,0.07508088648319244
media,1,1,0.3797508478164673
media,1,2,0.03261367976665497
media,1,3,0.42265409231185913
media,1,4,0.08990044891834259
media,2,0,0.08353519439697266
media,2,1,0.423368901014328
media,2,2,0.03434596583247185
media,2,3,0.3502413332462311
media,2,4,0.1085086539387703
media,3,0,0.08724243193864822
media,3,1,0.45267754793167114
media,3,2,0.03834289312362671
media,3,3,0.32030171155929565
media,3,4,0.10143551975488663
media,4,0,0.07045523822307587
media,4,1,0.4559824466705322
media,4,2,0.044760867953300476
media,4,3,0.34058892726898193
media,4,4,0.08821240812540054
media,5,0,0.0615164153277874
media,5,1,0.4513847529888153
media,5,2,0.06354951858520508
media,5,3,0.32665571570396423
media,5,4,0.09689360857009888
media,6,0,0.06430217623710632
media,6,1,0.4183550179004669
media,6,2,0.10938071459531784
media,6,3,0.27940794825553894
media,6,4,0.12855422496795654
media,7,0,0.08569587022066116
media,7,1,0.36466237902641296
media,7,2,0.16907881200313568
media,7,3,0.20309171080589294
media,7,4,0.17747120559215546
media,8,0,0.10501955449581146
media,8,1,0.3020225465297699
media,8,2,0.22312356531620026
media,8,3,0.15726728737354279
media,8,4,0.2125670313835144
media,9,0,0.10802170634269714
media,9,1,0.23943260312080383
media,9,2,0.3011925518512726
media,9,3,0.12978428602218628
media,9,4,0.22156895697116852
media,10,0,0.1007431298494339
media,10,1,0.1816241592168808
media,10,2,0.40399274230003357
media,10,3,0.10338807851076126
media,10,4,0.21025189757347107
media,11,0,0.11376257240772247
media,11,1,0.15151771903038025
media,11,2,0.4564109146595001
media,11,3,0.07596103847026825
media,11,4,0.20234763622283936
media,12,0,0.1426602154970169
media,12,1,0.1374116688966751
media,12,2,0.455961674451828
media,12,3,0.05971648544073105
media,12,4,0.20424993336200714
media,13,0,0.1769205778837204
media,13,1,0.1316671073436737
media,13,2,0.4265672266483307
media,13,3,0.050776511430740356
media,13,4,0.21406853199005127
media,14,0,0.1851973682641983
media,14,1,0.12651100754737854
media,14,2,0.4191931188106537
media,14,3,0.04982682690024376
media,14,4,0.2192716747522354
media,15,0,0.19503816962242126
media,15,1,0.125078022480011
media,15,2,0.40739282965660095
media,15,3,0.04814936965703964
media,15,4,0.22434157133102417
media,16,0,0.20388579368591309
media,16,1,0.1235269159078598
media,16,2,0.39566943049430847
media,16,3,0.04707345739006996
media,16,4,0.229844331741333
media,17,0,0.20451001822948456
media,17,1,0.12161865085363388
media,17,2,0.392316609621048
media,17,3,0.047395117580890656
media,17,4,0.23415952920913696
media,18,0,0.20875240862369537
media,18,1,0.12009453028440475
media,18,2,0.38424938917160034
media,18,3,0.04683806747198105
media,18,4,0.24006563425064087
