,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
LAND SCREENING,-0.8862607,0.34416038,-1.6343861,0.5423009,-0.28324613,0.22059767,-0.6985226,0.4217488,-1.3069117,1.0777509
BORDER CLOSING,-0.5063838,-0.66576713,-1.3300782,1.1268591,-1.5487906,-0.63079375,-1.4550743,-1.2485474,-1.7555279,-0.6716751
AIRPORT SCREENING: ENTRY,-1.0288591,1.1736683,-1.566521,0.3422811,-0.6254098,-0.2592422,-1.5234723,0.29294872,-1.5531738,1.342224
AIRPORT SCREENING: EXIT,-0.6713929,-0.47094697,-1.0826303,0.11159006,-0.90898407,-1.4479829,-1.2755742,-0.8203359,-1.0969182,0.006751316
TESTING & CASE DETECTION  ,0.71431005,-1.8468701,-0.035849385,-1.5644524,0.95358783,-1.8808043,2.3201644,0.011528306,1.2575111,-1.2331918
QUARANTINE / MONITORING,-0.422283,1.2534359,-0.83040583,-0.19379386,0.39525542,1.3025438,0.93359613,0.9756331,-0.68381065,1.0522659
TRAVEL ADVISORY,-0.91158336,1.651879,-1.8902663,-1.2236748,-0.2259041,0.48609355,-1.672811,-1.3542997,-1.6961869,-0.29848608
TRAVEL BAN / CANCELLATION,-0.47137168,2.1991806,-1.054555,1.0641978,-1.102217,0.057257127,-1.3272389,-0.96490324,-1.7317306,-0.33323786
TRADE BANS,-0.6570707,-0.9796338,-1.2683972,-1.1662068,-0.92890644,-1.3386843,-1.0896404,-1.2453916,-1.1281732,-0.042670563
EDUCATION CAMPAIGN,1.31667,-1.5690793,-1.1293931,-2.0026784,2.300892,0.40835723,-0.67921597,0.65430766,-0.5971655,1.7351717
MASS GATHERING CANCELLATION,-0.43813795,-1.3743169,-0.051030606,0.5505143,-1.2353678,2.1426928,-0.56316763,-0.29795837,-1.7120141,-0.14700846
RESTRICTING OR LIMITING GATHERINGS,-0.4097596,-2.0619476,1.1846435,0.93753815,-0.8749137,-1.6538538,0.18223894,-1.14522,-1.1329806,-1.3440868
CLOSING PUBLIC PLACES,-0.4135699,-2.0013154,1.0454506,1.0675962,-0.7723447,-1.5956888,0.072859176,-1.1175479,-0.9976859,-1.3564193
LOCKDOWN OR CURFEW,-0.25685674,-2.1840196,0.57488275,1.4165497,-1.2273183,-1.64181,0.31191808,-1.2486236,-1.35983,-1.3332725
EASIND RESTRICTIONS,-0.40287945,-1.9487308,2.3419065,-0.46316785,-1.3342289,-2.2261174,0.38043693,-1.4530115,-1.3312442,-1.8770784
VACCINE/MCM DEPLOYED,0.9029513,-2.2957451,-1.6155531,-2.0051978,-0.7724786,-2.201291,-0.87871295,-1.017919,2.2562017,-0.5442538
PPE,1.5513887,-1.8868552,0.061421357,-0.8328881,0.9005552,-2.1388905,0.58068484,1.973671,-0.70209515,-0.7434999
