M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
covid,passengers,restrictions,april,health,coronavirus,covid,medical,covid,china
pandemic,china,distancing,announced,covid,march,health,masks,patients,february
countries,travel,measures,march,public,people,people,health,coronavirus,coronavirus
support,days,april,lockdown,guidance,health,cases,ministry,virus,epidemic
health,quarantine,reopen,authorities,cdc,spread,testing,hospital,study,wuhan
response,flights,social,government,disease,outbreak,coronavirus,equipment,vaccine,chinese
million,korea,schools,measures,care,virus,care,hospitals,clinical,cases
coronavirus,countries,government,remain,risk,country,workers,protective,research,health
world,nationals,public,closed,transmission,minister,april,coronavirus,drug,control
global,february,allowed,state,cases,government,canada,patients,researchers,outbreak
canada,south,june,public,issued,ministry,government,face,disease,province
government,italy,announced,country,information,cases,number,supplies,sars,prevention
international,hong,businesses,emergency,response,due,tests,care,test,january
food,iran,resume,essential,prevention,confirmed,pandemic,military,published,national
outbreak,kong,people,covid,community,february,reported,million,cov,hubei
united,japan,open,spread,including,authorities,tested,workers,treatment,authorities
efforts,allowed,place,flights,fda,city,week,personal,university,beijing
billion,enter,reopening,place,control,announced,cent,staff,trials,central
provide,citizens,minister,extended,testing,home,positive,kits,trial,measures
africa,apply,phase,curfew,healthcare,italy,canadian,beds,found,confirmed
