,M0,M1,M2,M3,M4
LAND SCREENING,-0.4256216,0.27906165,0.2922017,0.6945303,-0.41604877
BORDER CLOSING,-1.0363553,-0.65600955,0.76577014,-0.3328738,-0.9976858
AIRPORT SCREENING: ENTRY,-0.9967439,-0.7174007,-0.5692046,0.750415,-0.744348
AIRPORT SCREENING: EXIT,-1.1588571,-0.91277564,-0.17421715,-0.2685482,-1.0965579
TESTING & CASE DETECTION  ,1.1613388,-0.6742351,-1.453808,-1.6078821,0.22166348
QUARANTINE / MONITORING,0.34543747,1.2450433,-0.008250773,1.226626,0.42640033
TRAVEL ADVISORY,-1.0152634,-0.7396027,-1.1768807,1.5597328,-0.7578263
TRAVEL BAN / CANCELLATION,-1.1453546,-0.76371574,0.55183166,1.3323051,-0.87580746
TRADE BANS,-0.51483786,-1.0999959,-1.401663,-0.99176896,-1.1186146
EDUCATION CAMPAIGN,0.20307845,0.5896557,-1.5091765,-1.0539914,1.2289165
MASS GATHERING CANCELLATION,-0.9023712,1.3865587,0.67117995,-1.1448015,-0.80602133
RESTRICTING OR LIMITING GATHERINGS,-0.5846996,-1.0058439,0.5014127,-1.2606068,-0.98641163
CLOSING PUBLIC PLACES,-0.9551699,-1.2195932,0.5206487,-0.97833496,-0.9264775
LOCKDOWN OR CURFEW,-1.0984117,-1.468219,1.3544073,-1.8214561,-0.89170235
EASIND RESTRICTIONS,-0.7320632,-1.5049294,1.0040504,-1.6796433,-0.58661026
VACCINE/MCM DEPLOYED,1.1336408,-0.9919703,-1.0079999,-0.89008856,-0.51541245
PPE,-0.34257138,-0.5982738,-0.32599026,-1.1285584,1.6764416
