,M0(t=0),M0(t=1),M0(t=2),M0(t=3),M0(t=4),M0(t=5),M0(t=6),M0(t=7),M0(t=8),M0(t=9),M0(t=10),M0(t=11),M0(t=12),M0(t=13),M0(t=14),M0(t=15),M0(t=16),M0(t=17),M0(t=18),M0(t=19),M1(t=0),M1(t=1),M1(t=2),M1(t=3),M1(t=4),M1(t=5),M1(t=6),M1(t=7),M1(t=8),M1(t=9),M1(t=10),M1(t=11),M1(t=12),M1(t=13),M1(t=14),M1(t=15),M1(t=16),M1(t=17),M1(t=18),M1(t=19),M2(t=0),M2(t=1),M2(t=2),M2(t=3),M2(t=4),M2(t=5),M2(t=6),M2(t=7),M2(t=8),M2(t=9),M2(t=10),M2(t=11),M2(t=12),M2(t=13),M2(t=14),M2(t=15),M2(t=16),M2(t=17),M2(t=18),M2(t=19),M3(t=0),M3(t=1),M3(t=2),M3(t=3),M3(t=4),M3(t=5),M3(t=6),M3(t=7),M3(t=8),M3(t=9),M3(t=10),M3(t=11),M3(t=12),M3(t=13),M3(t=14),M3(t=15),M3(t=16),M3(t=17),M3(t=18),M3(t=19),M4(t=0),M4(t=1),M4(t=2),M4(t=3),M4(t=4),M4(t=5),M4(t=6),M4(t=7),M4(t=8),M4(t=9),M4(t=10),M4(t=11),M4(t=12),M4(t=13),M4(t=14),M4(t=15),M4(t=16),M4(t=17),M4(t=18),M4(t=19)
covid,0.03405236,0.022822881,0.008987585,0.028815301,0.015973601,0.0016727764,0.0009161784,0.002294714,0.0026078597,0.0023431608,0.0019286977,0.0013105319,0.0015449515,0.00090435543,0.0016237807,0.002929719,0.0014422887,0.003811531,0.0015943729,0.0023638147,0.002387883,0.0020742845,0.0031047694,0.00071971485,0.0014395671,0.0022084985,0.0021187495,0.0012346145,0.0024074304,0.001302287,0.0009246873,0.0034234948,0.0014786831,0.002334171,0.0008621206,0.0010379372,0.0019231759,0.0020651396,0.003994092,0.0024854576,0.0020128395,0.0013840136,0.0017478388,0.0073908637,0.004783113,0.001220863,0.0016444573,0.0007525075,0.002841326,0.0024521572,0.0018896472,0.0004235596,0.0029596805,0.002508618,0.001834745,0.0014242822,0.0029675132,0.00051676197,0.0012919601,0.0016249426,0.0010367137,0.001165666,0.00071116904,0.0010039513,0.0019150855,0.0011774866,0.0030364576,0.00415149,0.002530042,0.0026879013,0.0015931118,0.0031093792,0.0008103435,0.004701587,0.003714952,0.0012103316,0.0012737786,0.0016168986,0.0024708943,0.003302393,0.0017743855,0.0031342257,0.0014157534,0.001534952,0.0018522055,0.0020388917,0.0007032998,0.0010382773,0.0011134451,0.001581656,0.0034444975,0.0014504178,0.0018374735,0.0017805023,0.0009809554,0.001538471,0.0010275879,0.00084363215,0.002265737,0.0023341249
health,0.019068524,0.004234257,0.019367853,0.011043826,0.01335907,0.00238834,0.0015974767,0.0037381477,0.001680927,0.0008850764,0.00088123855,0.0007151084,0.0023843006,0.0014562261,0.0014163604,0.0013275591,0.002741137,0.0021326663,0.0012247735,0.0058596083,0.0023498873,0.0021194015,0.003883803,0.0010721071,0.0036991371,0.0008994233,0.0017199796,0.0014523029,0.0012277253,0.0012360067,0.00053451915,0.003947815,0.0038841441,0.0011044849,0.0008060031,0.001316136,0.0020637314,0.001391512,0.0027362588,0.0030842554,0.00093062746,0.0013492045,0.00077276287,0.011432402,0.0025119015,0.001604507,0.0035584953,0.0012935755,0.00123601,0.0026701652,0.008365951,0.0010657039,0.0030669726,0.001887006,0.0019388845,0.0036328998,0.0014262284,0.0012407531,0.0008995514,0.0025567801,0.0017516644,0.0031648283,0.0012847927,0.0018162347,0.0018275162,0.00089822896,0.0030859304,0.006039384,0.002830528,0.0017801267,0.0017085528,0.0038965929,0.00070290564,0.0051118922,0.003348906,0.0008684801,0.003260098,0.0011051489,0.001166351,0.0025841037,0.0006924644,0.0013325701,0.0031493779,0.0018066873,0.0011933662,0.0034936722,0.0015209218,0.0012876743,0.0024498713,0.00088396086,0.0018018846,0.0018899895,0.0025299466,0.000971889,0.0008074568,0.0014808568,0.0038759278,0.001745653,0.0029062314,0.0016810762
government,0.016529415,0.024979437,0.029081138,0.014155725,0.0007693378,0.0030203203,0.0007218706,0.0022514795,0.0024143504,0.001320755,0.0012732662,0.0029556912,0.0018031191,0.00048673077,0.0016413017,0.0044104066,0.0035155157,0.002713603,0.0014212995,0.0018244972,0.0029695232,0.0015924218,0.002746673,0.0018218476,0.0013270311,0.0014724262,0.002511887,0.00224386,0.0012457283,0.0013680675,0.0010205933,0.0015173636,0.0017352442,0.0024517875,0.0023064427,0.0015495969,0.0009921927,0.001720904,0.0052431747,0.0025411688,0.001196236,0.0018170794,0.0017572202,0.002684585,0.0015674449,0.004247513,0.0027415082,0.0015218497,0.0019748758,0.00063129864,0.005348478,0.00176441,0.0019414052,0.0037121354,0.001246497,0.0013732719,0.003711041,0.00147872,0.0025467968,0.00071312115,0.0021329536,0.0025184967,0.0008663352,0.0009509182,0.00069999177,0.0012308155,0.0018902831,0.0048354473,0.0014847239,0.00067467464,0.00023712247,0.0023851553,0.0058506783,0.0026462353,0.0020600348,0.0013187028,0.0022329865,0.0010566933,0.003313585,0.0015490736,0.0018634028,0.0006343133,0.0008045894,0.0038522366,0.002188072,0.0010615195,0.0018246796,0.0018605262,0.0075767054,0.0022119945,0.0022497089,0.00063965254,0.0006416559,0.0031217,0.001069583,0.003571099,0.0019342582,0.0014378512,0.0015431987,0.0021685695
people,0.015874362,0.016152214,0.01918819,0.00713868,0.011175828,0.0075222305,0.0012920345,0.0050211255,0.0017881008,0.0018389887,0.00086579134,0.00085190183,0.00055461406,0.00080378563,0.00084013323,0.0012768959,0.0015235898,0.0010714383,0.0033345902,0.0030058257,0.001155771,0.002395652,0.001912541,0.003364712,0.0011223491,0.0025949862,0.0007494661,0.0014366292,0.0006752296,0.0009870369,0.0014679015,0.0019245415,0.0007937508,0.00070469134,0.0035857598,0.0035081943,0.0016611562,0.0012672814,0.005259504,0.0021934675,0.0025560523,0.001131004,0.0015615647,0.0049168104,0.0007957671,0.0016081643,0.0009917384,0.001157063,0.0031253702,0.0019067472,0.004326795,0.0013282973,0.0025078102,0.0014652765,0.00257032,0.0026783966,0.0018272835,0.0015725316,0.0016783644,0.0010016804,0.0033760576,0.0006149077,0.0018280015,0.0011516531,0.0014578016,0.0020511867,0.0019791853,0.0016027114,0.0037785897,0.0026481168,0.00086436106,0.0046089604,0.0017862549,0.003539272,0.00205652,0.0011185165,0.0022420231,0.0013736443,0.0012747971,0.0024313477,0.0014863283,0.00083179784,0.0011397046,0.0019854978,0.000597331,0.0025700666,0.0009492258,0.0017167721,0.003390555,0.005169282,0.0029403067,0.0011745554,0.0006514715,0.001093771,0.0018169087,0.002617835,0.0019061726,0.0012068872,0.0010238345,0.0007995367
coronavirus,0.014213048,0.016602704,0.016165534,0.01356182,0.009053853,0.002840941,0.0020491658,0.0019799292,0.00049706723,0.0040634214,0.0013600586,0.0015660601,0.0017017949,0.0016230068,0.0013635303,0.0011284107,0.0008717678,0.0014213999,0.00564711,0.0030562337,0.0035129937,0.0021670195,0.0027858363,0.00063249166,0.0015908293,0.00375125,0.00163455,0.0015506411,0.0018907677,0.0007493541,0.0010579505,0.0013647956,0.0020232801,0.0007808635,0.0026135733,0.0025850418,0.002037327,0.00114065,0.0021024845,0.0023831313,0.0039504403,0.0034873977,0.00405367,0.008849246,0.0015888138,0.0027492344,0.0028044006,0.0014411806,0.0041298,0.0020430335,0.0013407003,0.0015076022,0.0023170754,0.0030478216,0.0009769924,0.0024270923,0.0037262514,0.002587784,0.004091397,0.0014699755,0.0025424273,0.0013754487,0.00082833087,0.00048642824,0.00072781695,0.0012153413,0.003290957,0.0046444675,0.0009289635,0.0007709216,0.0005641008,0.0045222244,0.0016168894,0.0011064834,0.0009853827,0.00095228775,0.0018166393,0.0013413224,0.0020529872,0.0022573546,0.0011176707,0.0015166032,0.0018117853,0.00453568,0.0012276621,0.0015003026,0.0011765872,0.0034968948,0.0029266148,0.0013494751,0.0019087866,0.0012613217,0.001813393,0.0020138617,0.0013224025,0.0030488477,0.0021685064,0.0016107064,0.0017221217,0.00069298066
public,0.013102663,0.011349635,0.014317015,0.017146265,0.0030817743,0.0073926346,0.0006122759,0.0037680413,0.0019912042,0.00076295825,0.001113032,0.0010485,0.0012334096,0.001543054,0.0021213482,0.0036400813,0.0019625071,0.0027924478,0.0025682172,0.003967557,0.003238931,0.001238283,0.010531966,0.0027055028,0.0016304923,0.0024691569,0.0024060227,0.002329536,0.00069951214,0.0019628967,0.0019058653,0.002467525,0.0012496776,0.0019490866,0.0014710833,0.0009124448,0.0011598298,0.0025175265,0.002292101,0.002057564,0.008546365,0.0014029724,0.0013601169,0.0025308374,0.00059344084,0.002383286,0.0015090916,0.00075795146,0.0023251593,0.00066170486,0.003260727,0.0012437544,0.0014820297,0.0050603403,0.00044375044,0.0019689857,0.005199025,0.0015315117,0.0037812195,0.0023230158,0.0016109205,0.0009639789,0.00065739633,0.0011768077,0.0025232597,0.00065597275,0.0016115829,0.004087343,0.0021454985,0.0016941947,0.0009132276,0.0053809546,0.00085705455,0.003609411,0.004793104,0.00077501556,0.0028680356,0.0024531167,0.003133883,0.0013458796,0.00051385385,0.0011851738,0.0011569117,0.0032557114,0.0010247424,0.0022410704,0.0012900978,0.0022531857,0.0038950036,0.0014045407,0.0039317673,0.001704472,0.0018043644,0.0012195519,0.0026904726,0.0016577778,0.004920322,0.00091864256,0.0017306078,0.0015623685
march,0.012218127,0.010039577,0.0066614505,0.008620686,0.009239782,0.0033436762,0.0020116456,0.0021691646,0.0018000768,0.0015298281,0.0014910513,0.0014192747,0.0015239347,0.0008119815,0.0016017891,0.004201057,0.00250923,0.004241334,0.010385283,0.0054753493,0.0026420746,0.0028458505,0.0021542772,0.0009677837,0.0013615027,0.0018532248,0.007424352,0.002411435,0.002064625,0.00066745596,0.00085641164,0.004707262,0.0018205071,0.0017914145,0.0020694658,0.0031596334,0.0016226206,0.0032199244,0.00377965,0.0016744607,0.0037041407,0.0018300377,0.0019941982,0.0010362566,0.0018262671,0.0037226612,0.0012290243,0.004447114,0.0037160262,0.0016413614,0.0019157543,0.0013740228,0.004831455,0.0030561292,0.0006679027,0.0013036176,0.004373168,0.0021368086,0.0012861238,0.0037624019,0.00151763,0.00038905573,0.0016277006,0.0011572232,0.0020444782,0.0020893035,0.0026648177,0.003420885,0.009320054,0.005434205,0.001580697,0.0033257727,0.0016579857,0.0048488355,0.0015054627,0.0017453305,0.00077272084,0.0014835475,0.0011898456,0.003490291,0.0036295126,0.0016025975,0.0018994338,0.0035184186,0.0027045321,0.0012453025,0.0016734442,0.003436241,0.0023827206,0.0020885142,0.0040664626,0.004443697,0.003103035,0.0013498309,0.0022495592,0.0033529715,0.00071625365,0.0041775303,0.0017059646,0.00168246
country,0.011842963,0.003160118,0.012478239,0.009789526,0.008893405,0.0020913547,0.0015495704,0.0035096768,0.0010949491,0.00075523544,0.0017796269,0.0017869873,0.0018253466,0.0028202017,0.0028155972,0.0011946225,0.0007093147,0.000683528,0.0019586927,0.0038543046,0.0016756885,0.00065880717,0.0051912586,0.00043508672,0.0015002989,0.00087290443,0.0007672408,0.0017525025,0.0023297668,0.0008781785,0.0025932014,0.0015208891,0.004125847,0.0008619117,0.0013797247,0.003955832,0.0014445345,0.0030996895,0.0024548129,0.0009358169,0.0013568138,0.002376534,0.00096534996,0.001642806,0.0015799779,0.003117527,0.0032516497,0.004297555,0.0017791437,0.003068993,0.0030173373,0.0021081115,0.0035784624,0.0041890065,0.00090995623,0.004959446,0.0014150034,0.0015445643,0.002385355,0.0019491606,0.0032906744,0.005728797,0.0008589602,0.0012422833,0.001037968,0.0004755667,0.0019720576,0.005963944,0.0018452463,0.0011977924,0.0021723525,0.007768316,0.0031152472,0.002165141,0.00086890854,0.0014733437,0.0027904545,0.001072285,0.0018973433,0.0024911335,0.0018549312,0.0008267837,0.0010117652,0.0021837119,0.0022914582,0.0025716857,0.0016248535,0.0019875497,0.0032328095,0.0018797347,0.004089738,0.0014557384,0.0013995691,0.001084221,0.0018235542,0.006630162,0.0015181351,0.0018360424,0.0010329133,0.0020441597
april,0.010454966,0.009742974,0.0101083815,0.009187164,0.011329876,0.0036989055,0.0015794239,0.0013148814,0.0037773463,0.00090852694,0.00097449217,0.001023265,0.0025053348,0.0006701217,0.003076683,0.002495737,0.00074622023,0.0033756073,0.0021977432,0.0038739282,0.0017209433,0.00091835205,0.0022627201,0.00081532035,0.0036826436,0.0011685069,0.0021472487,0.0013903693,0.0018188783,0.0010290212,0.0005149581,0.0009836375,0.002262588,0.0006018732,0.0012199614,0.0014017748,0.0024652076,0.0051763435,0.0029451216,0.004285057,0.0013144214,0.0013178074,0.00086377974,0.0029521622,0.0012972093,0.0024754729,0.0033941616,0.0019414835,0.0015539372,0.0021806976,0.002689273,0.0007378521,0.0030997074,0.00375956,0.0032270155,0.0025884972,0.0034263982,0.000810741,0.0010170689,0.0007989132,0.0016307395,0.0004924681,0.001855884,0.0033252619,0.0017833915,0.00049946614,0.002296136,0.0036865498,0.0027754863,0.0019942448,0.0015906297,0.0028429315,0.00426183,0.0014268742,0.00612219,0.0019000432,0.0017045923,0.0034350418,0.002898888,0.0025762701,0.0016858147,0.001484702,0.0010263296,0.0011087814,0.0020748938,0.0019532999,0.0008225728,0.0018788534,0.0028016102,0.0030082022,0.0031317933,0.0008240976,0.0016711305,0.002280228,0.0023514177,0.002346992,0.002502156,0.0034096802,0.0018931513,0.0033337472
ministry,0.01021168,0.0050849025,0.0033294193,0.0051308544,0.007036859,0.0011735812,0.0022184937,0.003782247,0.002156544,0.0006917366,0.00281868,0.0018496728,0.002399132,0.0008742375,0.003140431,0.0021021606,0.0019503483,0.001620892,0.0032449728,0.0028777912,0.0019772328,0.0047355373,0.0017812989,0.0017307609,0.0010820015,0.0022734425,0.0020795946,0.0019104435,0.0026455463,0.0015367588,0.0022726196,0.0022244775,0.0032939578,0.0007196995,0.0008204104,0.0017844242,0.0009649153,0.001399159,0.002156155,0.0015927388,0.0030434302,0.0011468754,0.0025298717,0.0048522973,0.0012137601,0.0011777885,0.0029605955,0.0023411375,0.0031027973,0.0028482883,0.005428484,0.0010955315,0.0035925084,0.0018183314,0.0032170042,0.0034599332,0.0021122086,0.0023052068,0.004632064,0.001196089,0.0018175805,0.003482364,0.0013744214,0.0031363673,0.0028884746,0.00068955845,0.002162598,0.002434696,0.0012666485,0.001678723,0.00096710166,0.0032741982,0.0022653586,0.0020509278,0.0024324844,0.001300704,0.0030687272,0.0012517977,0.0022217887,0.0007233193,0.0012375539,0.0018400084,0.00069045834,0.0018482908,0.0019524709,0.002956694,0.0021657753,0.0018294104,0.0014585105,0.0011299717,0.0046177055,0.0013791118,0.0013086608,0.001345063,0.0021452606,0.0030862403,0.0008719903,0.002512017,0.0016561631,0.0018913229
