source,time,topic,topic_value
garda,0,0,0.2701886296272278
garda,0,1,0.16515254974365234
garda,0,2,0.18737562000751495
garda,0,3,0.2246551364660263
garda,0,4,0.15262801945209503
garda,1,0,0.26320040225982666
garda,1,1,0.16606836020946503
garda,1,2,0.1817653924226761
garda,1,3,0.22970633208751678
garda,1,4,0.15925954282283783
garda,2,0,0.26003387570381165
garda,2,1,0.167582169175148
garda,2,2,0.1813623160123825
garda,2,3,0.2290327399969101
garda,2,4,0.16198886930942535
garda,3,0,0.259532630443573
garda,3,1,0.16770286858081818
garda,3,2,0.18128632009029388
garda,3,3,0.2290235012769699
garda,3,4,0.1624547243118286
garda,4,0,0.2594349682331085
garda,4,1,0.16771645843982697
garda,4,2,0.18127496540546417
garda,4,3,0.22905254364013672
garda,4,4,0.16252106428146362
garda,5,0,0.2594129145145416
garda,5,1,0.1677200049161911
garda,5,2,0.18127191066741943
garda,5,3,0.2290640026330948
garda,5,4,0.16253125667572021
garda,6,0,0.2594071924686432
garda,6,1,0.16772139072418213
garda,6,2,0.18127036094665527
garda,6,3,0.22906740009784698
garda,6,4,0.16253367066383362
garda,7,0,0.25940534472465515
garda,7,1,0.16772203147411346
garda,7,2,0.1812695860862732
garda,7,3,0.2290683537721634
garda,7,4,0.1625346690416336
garda,8,0,0.2594046890735626
garda,8,1,0.16772229969501495
garda,8,2,0.18126921355724335
garda,8,3,0.22906868159770966
garda,8,4,0.1625351756811142
garda,9,0,0.25940436124801636
garda,9,1,0.1677224487066269
garda,9,2,0.18126896023750305
garda,9,3,0.22906877100467682
garda,9,4,0.1625354140996933
garda,10,0,0.2594042420387268
garda,10,1,0.16772250831127167
garda,10,2,0.18126888573169708
garda,10,3,0.229068785905838
garda,10,4,0.16253554821014404
garda,11,0,0.25940418243408203
garda,11,1,0.16772256791591644
garda,11,2,0.1812688410282135
garda,11,3,0.2290688008069992
garda,11,4,0.16253562271595
garda,12,0,0.25940412282943726
garda,12,1,0.16772256791591644
garda,12,2,0.1812688112258911
garda,12,3,0.2290688008069992
garda,12,4,0.1625356674194336
garda,13,0,0.25940412282943726
garda,13,1,0.16772259771823883
garda,13,2,0.18126878142356873
garda,13,3,0.2290688008069992
garda,13,4,0.1625356674194336
garda,14,0,0.2594040632247925
garda,14,1,0.16772259771823883
garda,14,2,0.18126876652240753
garda,14,3,0.2290688008069992
garda,14,4,0.16253569722175598
garda,15,0,0.25940412282943726
garda,15,1,0.16772261261940002
garda,15,2,0.18126878142356873
garda,15,3,0.22906886041164398
garda,15,4,0.16253571212291718
garda,16,0,0.2594040334224701
garda,16,1,0.16772259771823883
garda,16,2,0.18126875162124634
garda,16,3,0.2290688008069992
garda,16,4,0.16253571212291718
garda,17,0,0.2594040334224701
garda,17,1,0.16772261261940002
garda,17,2,0.18126876652240753
garda,17,3,0.22906886041164398
garda,17,4,0.16253574192523956
garda,18,0,0.2594040334224701
garda,18,1,0.16772261261940002
garda,18,2,0.18126876652240753
garda,18,3,0.22906886041164398
garda,18,4,0.16253574192523956
garda,19,0,0.2594040334224701
garda,19,1,0.16772261261940002
garda,19,2,0.18126876652240753
garda,19,3,0.22906886041164398
garda,19,4,0.16253574192523956
sbs news,0,0,0.25964629650115967
sbs news,0,1,0.16762448847293854
sbs news,0,2,0.18063846230506897
sbs news,0,3,0.2296457141637802
sbs news,0,4,0.16244500875473022
sbs news,1,0,0.2597736120223999
sbs news,1,1,0.1676463484764099
sbs news,1,2,0.18078425526618958
sbs news,1,3,0.22950156033039093
sbs news,1,4,0.1622941941022873
sbs news,2,0,0.2595115005970001
sbs news,2,1,0.16777628660202026
sbs news,2,2,0.18116456270217896
sbs news,2,3,0.22898678481578827
sbs news,2,4,0.1625608205795288
sbs news,3,0,0.2594470977783203
sbs news,3,1,0.1677303910255432
sbs news,3,2,0.1812499761581421
sbs news,3,3,0.22902098298072815
sbs news,3,4,0.16255147755146027
sbs news,4,0,0.25941944122314453
sbs news,4,1,0.16772152483463287
sbs news,4,2,0.18126772344112396
sbs news,4,3,0.2290535569190979
sbs news,4,4,0.16253776848316193
sbs news,5,0,0.2594095468521118
sbs news,5,1,0.167721226811409
sbs news,5,2,0.18127012252807617
sbs news,5,3,0.2290644645690918
sbs news,5,4,0.16253454983234406
sbs news,6,0,0.2594062387943268
sbs news,6,1,0.16772176325321198
sbs news,6,2,0.1812698096036911
sbs news,6,3,0.22906753420829773
sbs news,6,4,0.16253452003002167
sbs news,7,0,0.2594050168991089
sbs news,7,1,0.1677221804857254
sbs news,7,2,0.18126939237117767
sbs news,7,3,0.22906841337680817
sbs news,7,4,0.1625349521636963
sbs news,8,0,0.25940456986427307
sbs news,8,1,0.16772237420082092
sbs news,8,2,0.18126912415027618
sbs news,8,3,0.22906868159770966
sbs news,8,4,0.16253529489040375
sbs news,9,0,0.25940436124801636
sbs news,9,1,0.16772247850894928
sbs news,9,2,0.18126893043518066
sbs news,9,3,0.229068785905838
sbs news,9,4,0.16253547370433807
sbs news,10,0,0.2594042420387268
sbs news,10,1,0.16772250831127167
sbs news,10,2,0.1812688410282135
sbs news,10,3,0.229068785905838
sbs news,10,4,0.16253556311130524
sbs news,11,0,0.25940415263175964
sbs news,11,1,0.16772255301475525
sbs news,11,2,0.1812688112258911
sbs news,11,3,0.229068785905838
sbs news,11,4,0.16253562271595
sbs news,12,0,0.25940412282943726
sbs news,12,1,0.16772256791591644
sbs news,12,2,0.18126878142356873
sbs news,12,3,0.2290688008069992
sbs news,12,4,0.1625356674194336
sbs news,13,0,0.25940412282943726
sbs news,13,1,0.16772259771823883
sbs news,13,2,0.18126876652240753
sbs news,13,3,0.2290688008069992
sbs news,13,4,0.16253569722175598
sbs news,14,0,0.2594040632247925
sbs news,14,1,0.16772259771823883
sbs news,14,2,0.18126876652240753
sbs news,14,3,0.2290688008069992
sbs news,14,4,0.16253569722175598
sbs news,15,0,0.25940412282943726
sbs news,15,1,0.16772261261940002
sbs news,15,2,0.18126876652240753
sbs news,15,3,0.22906886041164398
sbs news,15,4,0.16253571212291718
sbs news,16,0,0.2594040334224701
sbs news,16,1,0.16772259771823883
sbs news,16,2,0.18126875162124634
sbs news,16,3,0.2290688008069992
sbs news,16,4,0.16253571212291718
sbs news,17,0,0.2594040334224701
sbs news,17,1,0.16772261261940002
sbs news,17,2,0.18126876652240753
sbs news,17,3,0.22906886041164398
sbs news,17,4,0.16253574192523956
sbs news,18,0,0.2594040334224701
sbs news,18,1,0.16772261261940002
sbs news,18,2,0.18126876652240753
sbs news,18,3,0.22906886041164398
sbs news,18,4,0.16253574192523956
sbs news,19,0,0.2594040334224701
sbs news,19,1,0.16772261261940002
sbs news,19,2,0.18126876652240753
sbs news,19,3,0.22906886041164398
sbs news,19,4,0.16253574192523956
msn news,0,0,0.25964629650115967
msn news,0,1,0.16762448847293854
msn news,0,2,0.18063846230506897
msn news,0,3,0.2296457141637802
msn news,0,4,0.16244500875473022
msn news,1,0,0.2597736120223999
msn news,1,1,0.1676463484764099
msn news,1,2,0.18078425526618958
msn news,1,3,0.22950156033039093
msn news,1,4,0.1622941941022873
msn news,2,0,0.2595115005970001
msn news,2,1,0.16777628660202026
msn news,2,2,0.18116456270217896
msn news,2,3,0.22898678481578827
msn news,2,4,0.1625608205795288
msn news,3,0,0.2594470977783203
msn news,3,1,0.1677303910255432
msn news,3,2,0.1812499761581421
msn news,3,3,0.22902098298072815
msn news,3,4,0.16255147755146027
msn news,4,0,0.25941944122314453
msn news,4,1,0.16772152483463287
msn news,4,2,0.18126772344112396
msn news,4,3,0.2290535569190979
msn news,4,4,0.16253776848316193
msn news,5,0,0.2594095468521118
msn news,5,1,0.167721226811409
msn news,5,2,0.18127012252807617
msn news,5,3,0.2290644645690918
msn news,5,4,0.16253454983234406
msn news,6,0,0.2594062387943268
msn news,6,1,0.16772176325321198
msn news,6,2,0.1812698096036911
msn news,6,3,0.22906753420829773
msn news,6,4,0.16253452003002167
msn news,7,0,0.2594050168991089
msn news,7,1,0.1677221804857254
msn news,7,2,0.18126939237117767
msn news,7,3,0.22906841337680817
msn news,7,4,0.1625349521636963
msn news,8,0,0.25940456986427307
msn news,8,1,0.16772237420082092
msn news,8,2,0.18126912415027618
msn news,8,3,0.22906868159770966
msn news,8,4,0.16253529489040375
msn news,9,0,0.25940436124801636
msn news,9,1,0.16772247850894928
msn news,9,2,0.18126893043518066
msn news,9,3,0.229068785905838
msn news,9,4,0.16253547370433807
msn news,10,0,0.2594042420387268
msn news,10,1,0.16772250831127167
msn news,10,2,0.1812688410282135
msn news,10,3,0.229068785905838
msn news,10,4,0.16253556311130524
msn news,11,0,0.25940415263175964
msn news,11,1,0.16772255301475525
msn news,11,2,0.1812688112258911
msn news,11,3,0.229068785905838
msn news,11,4,0.16253562271595
msn news,12,0,0.25940412282943726
msn news,12,1,0.16772256791591644
msn news,12,2,0.18126878142356873
msn news,12,3,0.2290688008069992
msn news,12,4,0.1625356674194336
msn news,13,0,0.25940412282943726
msn news,13,1,0.16772259771823883
msn news,13,2,0.18126876652240753
msn news,13,3,0.2290688008069992
msn news,13,4,0.16253569722175598
msn news,14,0,0.2594040632247925
msn news,14,1,0.16772259771823883
msn news,14,2,0.18126876652240753
msn news,14,3,0.2290688008069992
msn news,14,4,0.16253569722175598
msn news,15,0,0.25940412282943726
msn news,15,1,0.16772261261940002
msn news,15,2,0.18126876652240753
msn news,15,3,0.22906886041164398
msn news,15,4,0.16253571212291718
msn news,16,0,0.2594040334224701
msn news,16,1,0.16772259771823883
msn news,16,2,0.18126875162124634
msn news,16,3,0.2290688008069992
msn news,16,4,0.16253571212291718
msn news,17,0,0.2594040334224701
msn news,17,1,0.16772261261940002
msn news,17,2,0.18126876652240753
msn news,17,3,0.22906886041164398
msn news,17,4,0.16253574192523956
msn news,18,0,0.2594040334224701
msn news,18,1,0.16772261261940002
msn news,18,2,0.18126876652240753
msn news,18,3,0.22906886041164398
msn news,18,4,0.16253574192523956
msn news,19,0,0.2594040334224701
msn news,19,1,0.16772261261940002
msn news,19,2,0.18126876652240753
msn news,19,3,0.22906886041164398
msn news,19,4,0.16253574192523956
rnz,0,0,0.25964629650115967
rnz,0,1,0.16762448847293854
rnz,0,2,0.18063846230506897
rnz,0,3,0.2296457141637802
rnz,0,4,0.16244500875473022
rnz,1,0,0.2597736120223999
rnz,1,1,0.1676463484764099
rnz,1,2,0.18078425526618958
rnz,1,3,0.22950156033039093
rnz,1,4,0.1622941941022873
rnz,2,0,0.2595115005970001
rnz,2,1,0.16777628660202026
rnz,2,2,0.18116456270217896
rnz,2,3,0.22898678481578827
rnz,2,4,0.1625608205795288
rnz,3,0,0.2594470977783203
rnz,3,1,0.1677303910255432
rnz,3,2,0.1812499761581421
rnz,3,3,0.22902098298072815
rnz,3,4,0.16255147755146027
rnz,4,0,0.25941944122314453
rnz,4,1,0.16772152483463287
rnz,4,2,0.18126772344112396
rnz,4,3,0.2290535569190979
rnz,4,4,0.16253776848316193
rnz,5,0,0.2594095468521118
rnz,5,1,0.167721226811409
rnz,5,2,0.18127012252807617
rnz,5,3,0.2290644645690918
rnz,5,4,0.16253454983234406
rnz,6,0,0.2594062387943268
rnz,6,1,0.16772176325321198
rnz,6,2,0.1812698096036911
rnz,6,3,0.22906753420829773
rnz,6,4,0.16253452003002167
rnz,7,0,0.2594050168991089
rnz,7,1,0.1677221804857254
rnz,7,2,0.18126939237117767
rnz,7,3,0.22906841337680817
rnz,7,4,0.1625349521636963
rnz,8,0,0.25940456986427307
rnz,8,1,0.16772237420082092
rnz,8,2,0.18126912415027618
rnz,8,3,0.22906868159770966
rnz,8,4,0.16253529489040375
rnz,9,0,0.25940436124801636
rnz,9,1,0.16772247850894928
rnz,9,2,0.18126893043518066
rnz,9,3,0.229068785905838
rnz,9,4,0.16253547370433807
rnz,10,0,0.2594042420387268
rnz,10,1,0.16772250831127167
rnz,10,2,0.1812688410282135
rnz,10,3,0.229068785905838
rnz,10,4,0.16253556311130524
rnz,11,0,0.25940415263175964
rnz,11,1,0.16772255301475525
rnz,11,2,0.1812688112258911
rnz,11,3,0.229068785905838
rnz,11,4,0.16253562271595
rnz,12,0,0.25940412282943726
rnz,12,1,0.16772256791591644
rnz,12,2,0.18126878142356873
rnz,12,3,0.2290688008069992
rnz,12,4,0.1625356674194336
rnz,13,0,0.25940412282943726
rnz,13,1,0.16772259771823883
rnz,13,2,0.18126876652240753
rnz,13,3,0.2290688008069992
rnz,13,4,0.16253569722175598
rnz,14,0,0.2594040632247925
rnz,14,1,0.16772259771823883
rnz,14,2,0.18126876652240753
rnz,14,3,0.2290688008069992
rnz,14,4,0.16253569722175598
rnz,15,0,0.25940412282943726
rnz,15,1,0.16772261261940002
rnz,15,2,0.18126876652240753
rnz,15,3,0.22906886041164398
rnz,15,4,0.16253571212291718
rnz,16,0,0.2594040334224701
rnz,16,1,0.16772259771823883
rnz,16,2,0.18126875162124634
rnz,16,3,0.2290688008069992
rnz,16,4,0.16253571212291718
rnz,17,0,0.2594040334224701
rnz,17,1,0.16772261261940002
