source,time,topic,topic_value
garda,0,0,0.0061353412456810474
garda,0,1,-0.0019457563757896423
garda,0,2,0.07123680412769318
garda,0,3,-0.03333801403641701
garda,0,4,-0.03368333354592323
garda,1,0,0.003988674841821194
garda,1,1,-0.0027965083718299866
garda,1,2,0.07107094675302505
garda,1,3,-0.032790664583444595
garda,1,4,-0.032751839607954025
garda,2,0,0.0026861513033509254
garda,2,1,-0.0032124239951372147
garda,2,2,0.07068232446908951
garda,2,3,-0.03229718282818794
garda,2,4,-0.03213851526379585
garda,3,0,0.001987299881875515
garda,3,1,-0.0030731670558452606
garda,3,2,0.07147009670734406
garda,3,3,-0.0325738899409771
garda,3,4,-0.03196601942181587
garda,4,0,0.0016593337059020996
garda,4,1,-0.003060251474380493
garda,4,2,0.07199139893054962
garda,4,3,-0.03288312628865242
garda,4,4,-0.031969670206308365
garda,5,0,0.0015497738495469093
garda,5,1,-0.0030635427683591843
garda,5,2,0.07223139703273773
garda,5,3,-0.033112186938524246
garda,5,4,-0.03202645853161812
garda,6,0,0.0015567168593406677
garda,6,1,-0.0030104368925094604
garda,6,2,0.07232604175806046
garda,6,3,-0.03328181430697441
garda,6,4,-0.0320928655564785
garda,7,0,0.0016209110617637634
garda,7,1,-0.0028960462659597397
garda,7,2,0.07235392183065414
garda,7,3,-0.03341831639409065
garda,7,4,-0.03215612843632698
garda,8,0,0.0017181141301989555
garda,8,1,-0.002732701599597931
garda,8,2,0.07234571129083633
garda,8,3,-0.03354140743613243
garda,8,4,-0.03221901133656502
garda,9,0,0.0018232325091958046
garda,9,1,-0.002536281943321228
garda,9,2,0.0723271518945694
garda,9,3,-0.033653926104307175
garda,9,4,-0.032274436205625534
garda,10,0,0.0019301502034068108
garda,10,1,-0.0023204218596220016
garda,10,2,0.0723036602139473
garda,10,3,-0.03376137837767601
garda,10,4,-0.03232536092400551
garda,11,0,0.00203575287014246
garda,11,1,-0.002094244584441185
garda,11,2,0.07227874547243118
garda,11,3,-0.03386525437235832
garda,11,4,-0.03237277641892433
garda,12,0,0.0021308930590748787
garda,12,1,-0.0018677189946174622
