,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
Active case detection,0.11714566,-0.27168074,-0.13147178,0.07057545,-0.1647675,-0.23991589,-0.38135555,-0.31449527,-0.23629925,-0.059259836
Adapting,-0.22840586,-0.2995629,-0.01639918,-0.021125337,-0.4575025,-0.40366307,-0.27844623,-0.38603148,-0.12993962,0.03619259
"Cancelling, closing, restricting or adapting public gatherings outside the home",-0.15651916,-0.25616303,-0.21957545,-0.090145096,-0.27377814,0.07028616,-0.0946243,0.10461573,-0.15350762,0.056653924
"Cancelling, restricting or adapting mass gatherings",0.11058408,-0.07080236,-0.22819172,-0.39059561,0.12371496,-0.21347441,-0.10248386,-0.38961902,0.054606702,-0.3516419
"Cancelling, restricting or adapting private gatherings outside the home",-0.3377669,-0.2603409,-0.4109155,-0.24371399,-0.28485453,0.15768218,0.1871593,0.051511668,-0.114286065,-0.19235854
Cleaning and disinfecting surfaces and objects,-0.41134238,-0.37483257,-0.05741596,-0.12596408,-0.4462228,-0.484579,-0.014390863,-0.37038174,-0.481593,-0.096746616
Closing,0.10411474,0.026199197,0.26908338,0.11224904,0.05063704,-0.18684596,0.24018553,0.18675046,0.21786167,-0.049274646
Closing internal land borders,-0.36271024,-0.42206147,-0.022616003,-0.22979817,-0.2045609,-0.44380212,-0.2203909,-0.26589194,-0.4136453,-0.35906273
Closing international land borders,-0.4553616,-0.06154937,-0.38669208,-0.28893173,-0.08444418,-0.08670279,0.01928581,-0.45592177,-0.056173332,-0.15228568
Coding required,-0.44589704,-0.043042105,-0.250152,-0.45897716,-0.20439954,-0.19886902,-0.41573384,-0.41141802,-0.15577775,0.027213695
Contact tracing,0.07465258,-0.08347606,-0.4351311,0.0643406,0.106682226,-0.0908719,-0.45177928,0.048611645,0.10013162,-0.10989922
Entry screening and isolation or quarantine,0.3838169,0.22889623,0.46656215,0.41227227,0.17368594,-0.06676825,0.22651094,0.087083034,0.28780434,-0.0063886866
Exit screening and isolation or quarantine,-0.2119536,0.112401836,-0.03657235,-0.015197049,-0.11504814,-0.2101145,-0.37119812,-0.037629172,-0.19142728,0.08326546
Financial packages,0.38903016,0.3077779,-0.08084778,0.47893286,0.3375833,0.24769333,-0.122785866,0.41628385,0.48467997,0.4187557
General public awareness campaigns,-0.058967285,0.25592345,0.40831885,-0.06803683,0.29655376,-0.13261445,-0.042370696,-0.12382186,0.38014647,-0.1247321
Isolation,0.2877334,-0.066010125,0.34696698,-0.0023976064,0.051160105,0.31580195,0.17534699,0.0030956797,0.34635973,0.2723776
Legal and policy regulations,-0.45995414,-0.46798956,-0.21031205,-0.060262784,-0.42141154,-0.30600753,-0.29882982,-0.031542864,-0.20436208,-0.042644087
Limiting face touching,-0.36509594,-0.02526765,-0.38527188,-0.119365074,-0.14017709,-0.038808547,-0.3704383,-0.23813275,-0.11577604,-0.3375265
Not of interest,-0.07638376,-0.2988625,-0.28082567,0.021112898,0.10373939,-0.27606678,-0.2567793,0.045300696,-0.2050717,0.005291506
Other,-0.12483322,0.055585697,-0.31139264,0.043201905,0.09459588,-0.15158276,-0.07323665,-0.30467162,-0.41465202,-0.00883942
Passive case detection,-0.10234686,-0.2581397,0.033522606,-0.36696345,-0.48987025,-0.39584085,-0.303897,-0.43758023,-0.29416123,-0.49446866
Performing hand hygiene,-0.24804708,-0.21895751,-0.43153474,-0.13910948,-0.05079716,-0.006612659,-0.08801359,0.036111854,0.018552555,0.08971331
Performing respiratory etiquette,-0.26135334,-0.44487223,-0.07177204,-0.15760146,-0.03414,-0.097193345,0.09387197,-0.41014224,0.08636343,-0.25784767
Physical distancing,0.11985116,-0.35959303,-0.068803936,-0.22028893,-0.34745887,-0.26468605,-0.42747673,-0.444235,-0.4787586,-0.060564216
Protecting displaced populations,-0.15459669,0.09190935,0.12821001,-0.15676259,-0.11982878,-0.1833309,-0.42691338,-0.41154784,0.013976093,-0.38586238
Protecting populations in closed settings,0.035115007,-0.007667995,0.0803774,0.08106703,-0.27000642,0.14864178,0.26532724,-0.10342039,-0.11418468,0.2000437
Providing travel advice or warning,-0.10167441,-0.45331848,-0.41726232,-0.46640483,-0.08114916,0.10838518,-0.13984649,-0.4385937,-0.4900649,-0.25662228
Quarantine,0.049332228,-0.29595414,-0.1506066,-0.35436898,-0.18978885,-0.37896863,0.07115714,-0.15968876,-0.19816254,-0.35802707
Restricting entry,-0.3499553,-0.13908775,-0.37485814,-0.024516502,-0.36876714,-0.30798662,-0.03340089,-0.34070623,-0.21498436,-0.35161522
Restricting exit,-0.24788503,-0.45389885,-0.30899602,-0.16626403,-0.08163719,-0.36663523,-0.04626071,0.04884191,-0.4849179,-0.059565056
Restricting private gatherings at home,-0.44211492,-0.24074452,-0.000472415,-0.40040454,-0.02493565,-0.06477615,0.03075295,-0.32014897,-0.23916292,-0.14978833
Restricting visas,-0.19662762,-0.10685685,0.15047261,-0.3176403,-0.18637563,-0.28249687,-0.0351909,0.048187315,0.23893102,-0.017352546
Scaling up,0.007836498,0.44410333,0.27698585,0.2671988,0.022519035,0.038461197,0.4116735,0.28103596,-0.03898074,0.24928789
Shielding vulnerable groups,-0.23746124,-0.26691997,-0.046038017,-0.17593834,-0.1488494,0.017294813,0.069563754,-0.21980971,0.0061436864,-0.01632992
