M0,M1,M2,M3,M4
covid,people,coronavirus,covid,days
coronavirus,public,government,government,state
health,allowed,covid,health,emergency
public,covid,country,ministry,covid
country,april,march,public,government
march,government,closed,million,april
april,coronavirus,essential,sri,lockdown
people,gatherings,announced,measures,curfew
essential,police,bank,services,health
services,schools,spread,people,national
police,mco,closure,march,quarantine
medical,health,border,quarantine,coronavirus
spread,closed,allowed,lanka,people
quarantine,march,work,country,march
order,emergency,citizens,pandemic,country
national,extended,flights,medical,public
measures,banned,travel,home,essential
ministry,quarantine,people,minister,period
including,lockdown,day,workers,risk
pandemic,period,home,state,home
