source,time,topic,topic_value
garda,0,0,0.20074361562728882
garda,0,1,0.1991279274225235
garda,0,2,0.21424710750579834
garda,0,3,0.19297394156455994
garda,0,4,0.19290733337402344
garda,1,0,0.2003832906484604
garda,1,1,0.19902825355529785
garda,1,2,0.21428656578063965
garda,1,3,0.193147212266922
garda,1,4,0.1931547224521637
garda,2,0,0.20016509294509888
garda,2,1,0.19898787140846252
garda,2,2,0.21424895524978638
garda,2,3,0.19328373670578003
garda,2,4,0.19331440329551697
garda,3,0,0.20001794397830963
garda,3,1,0.1990083009004593
garda,3,2,0.2144099622964859
garda,3,3,0.19322316348552704
garda,3,4,0.19334067404270172
garda,4,0,0.19995465874671936
garda,4,1,0.19901318848133087
garda,4,2,0.21452423930168152
garda,4,3,0.19316565990447998
garda,4,4,0.1933421939611435
garda,5,0,0.19993801414966583
garda,5,1,0.19901776313781738
garda,5,2,0.21458138525485992
garda,5,3,0.19312651455402374
garda,5,4,0.19333632290363312
garda,6,0,0.19994209706783295
garda,6,1,0.1990310102701187
garda,6,2,0.21460455656051636
garda,6,3,0.1930963397026062
garda,6,4,0.19332607090473175
garda,7,0,0.1999543011188507
garda,7,1,0.19905313849449158
garda,7,2,0.21460987627506256
garda,7,3,0.19306938350200653
garda,7,4,0.19331322610378265
garda,8,0,0.19997091591358185
garda,8,1,0.19908283650875092
garda,8,2,0.21460507810115814
garda,8,3,0.19304287433624268
garda,8,4,0.1932983249425888
garda,9,0,0.19998717308044434
garda,9,1,0.19911722838878632
garda,9,2,0.2145959883928299
garda,9,3,0.19301657378673553
garda,9,4,0.19328302145004272
garda,10,0,0.2000027894973755
garda,10,1,0.19915446639060974
garda,10,2,0.21458476781845093
garda,10,3,0.1929902732372284
garda,10,4,0.1932675987482071
garda,11,0,0.20001761615276337
garda,11,1,0.19919323921203613
garda,11,2,0.21457266807556152
garda,11,3,0.19296416640281677
garda,11,4,0.1932523548603058
garda,12,0,0.20002977550029755
garda,12,1,0.19923152029514313
garda,12,2,0.21456129848957062
garda,12,3,0.1929391622543335
garda,12,4,0.1932383030653
garda,13,0,0.20004260540008545
garda,13,1,0.19926981627941132
garda,13,2,0.214549258351326
garda,13,3,0.19291427731513977
garda,13,4,0.19322405755519867
garda,14,0,0.2000538855791092
garda,14,1,0.19930696487426758
garda,14,2,0.21453797817230225
garda,14,3,0.1928904503583908
garda,14,4,0.19321073591709137
garda,15,0,0.20006640255451202
garda,15,1,0.19934380054473877
garda,15,2,0.2145259827375412
garda,15,3,0.19286681711673737
garda,15,4,0.19319702684879303
garda,16,0,0.20007629692554474
garda,16,1,0.19937866926193237
garda,16,2,0.21451547741889954
garda,16,3,0.19284480810165405
garda,16,4,0.19318470358848572
garda,17,0,0.2000860869884491
garda,17,1,0.1994120329618454
garda,17,2,0.2145053744316101
garda,17,3,0.19282373785972595
garda,17,4,0.19317296147346497
garda,18,0,0.20009545981884003
garda,18,1,0.19944381713867188
garda,18,2,0.21449558436870575
garda,18,3,0.19280357658863068
garda,18,4,0.19316160678863525
garda,19,0,0.20010435581207275
garda,19,1,0.19947406649589539
garda,19,2,0.2144862413406372
garda,19,3,0.19278445839881897
garda,19,4,0.19315080344676971
sbs news,0,0,0.20074361562728882
sbs news,0,1,0.1991279274225235
sbs news,0,2,0.21424710750579834
sbs news,0,3,0.19297394156455994
sbs news,0,4,0.19290733337402344
sbs news,1,0,0.2003832906484604
sbs news,1,1,0.19902825355529785
sbs news,1,2,0.21428656578063965
sbs news,1,3,0.193147212266922
sbs news,1,4,0.1931547224521637
sbs news,2,0,0.20016509294509888
