,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
Active case detection,1.3260571,1.619657,1.2261876,1.1618396,1.6964324,1.7084854,1.4215659,1.3731086,1.5932608,1.3342625
Adapting,-1.293225,-1.7657647,-1.7016897,-1.7426927,-1.4265146,-1.6790096,-1.7190642,-1.370854,-1.6339028,-1.1059214
"Cancelling, closing, restricting or adapting public gatherings outside the home",-0.95976394,-1.8242137,-1.6409187,-1.2127066,-1.5415504,-1.7676512,-1.6929975,-1.2439145,-1.1504653,-0.9720287
"Cancelling, restricting or adapting mass gatherings",-1.4500414,-1.2789465,-1.6892617,-1.4158819,-1.4455545,-1.7633057,-1.3834367,-1.6442986,-1.4221222,-0.88772905
"Cancelling, restricting or adapting private gatherings outside the home",-1.4404408,-1.4196825,-1.6618893,-1.1649139,-1.3342345,-1.4406463,-1.6696107,-1.5333284,-1.4354045,-1.4269087
Cleaning and disinfecting surfaces and objects,-1.2562375,-1.6855395,-1.2912573,-1.2015092,-1.6761721,-1.5593879,-1.2426162,-1.7027206,-1.219349,-1.1279399
Closing,-0.9747809,-1.8495073,-1.5953679,-1.6860027,-1.2574507,-1.6467928,-1.4584677,-1.60344,-1.4829147,-1.079552
Closing internal land borders,-1.1610963,-1.81539,-1.6158317,-1.7374891,-1.6266807,-1.3962505,-1.4122583,-1.6839557,-1.1922505,-0.9263294
Closing international land borders,-0.91789013,-1.3719498,-1.1344339,-1.3604451,-1.62761,-1.6826448,-1.4434863,-1.3233198,-1.735954,-0.901424
Coding required,-0.93259174,-1.6295696,-1.621685,-1.6520555,-1.3803874,-1.4228323,-1.7027311,-1.4100399,-1.3066232,-1.0817403
Contact tracing,-1.0383253,-1.8604674,-1.4881654,-1.4549876,-1.4715593,-1.6486263,-1.2701658,-1.7292129,-1.3006672,-1.3938723
Entry screening and isolation or quarantine,-1.1874949,-1.4192926,-1.6274257,-1.1825713,-1.6038706,-1.4368653,-1.4722068,-1.6860167,-1.3138341,-1.4120235
