source,time,topic,topic_value
media,0,0,0.01956874318420887
media,0,1,0.25555193424224854
media,0,2,0.09998700767755508
media,0,3,0.08560524135828018
media,0,4,0.17924506962299347
media,0,5,0.11559411138296127
media,0,6,0.08582606911659241
media,0,7,0.07413554191589355
media,0,8,0.07203064113855362
media,0,9,0.012455541640520096
media,1,0,0.0194840244948864
media,1,1,0.2561035752296448
media,1,2,0.0997534990310669
media,1,3,0.085476815700531
media,1,4,0.1793781816959381
media,1,5,0.11541428416967392
media,1,6,0.08591312915086746
media,1,7,0.07415956258773804
media,1,8,0.07193395495414734
media,1,9,0.012383180670440197
media,2,0,0.0195419080555439
media,2,1,0.25573399662971497
media,2,2,0.0997425764799118
media,2,3,0.08563656359910965
media,2,4,0.17915049195289612
media,2,5,0.1151600107550621
media,2,6,0.08617892116308212
media,2,7,0.07416857779026031
media,2,8,0.07221727073192596
media,2,9,0.012469757348299026
media,3,0,0.019482068717479706
media,3,1,0.2560408413410187
media,3,2,0.09960710257291794
media,3,3,0.08551681041717529
media,3,4,0.17950895428657532
media,3,5,0.11504409462213516
media,3,6,0.08611826598644257
media,3,7,0.0740714892745018
media,3,8,0.07218866050243378
media,3,9,0.012421680614352226
media,4,0,0.019436093047261238
media,4,1,0.25630342960357666
media,4,2,0.09947999566793442
media,4,3,0.08540265262126923
media,4,4,0.17983432114124298
media,4,5,0.11502516269683838
media,4,6,0.08602692931890488
media,4,7,0.07402952015399933
media,4,8,0.07209354639053345
media,4,9,0.012368233874440193
media,5,0,0.019412506371736526
media,5,1,0.25644245743751526
media,5,2,0.09939339011907578
media,5,3,0.08532565087080002
media,5,4,0.18004363775253296
media,5,5,0.11503772437572479
media,5,6,0.085966557264328
media,5,7,0.0740199089050293
media,5,8,0.07202357053756714
media,5,9,0.012334685772657394
media,6,0,0.019401350989937782
media,6,1,0.2565062940120697
media,6,2,0.09933881461620331
media,6,3,0.08527708798646927
media,6,4,0.18016928434371948
media,6,5,0.11505521833896637
media,6,6,0.08593340218067169
media,6,7,0.07401985675096512
media,6,8,0.07198265939950943
media,6,9,0.012316085398197174
media,7,0,0.019396081566810608
media,7,1,0.2565341293811798
media,7,2,0.0993046760559082
media,7,3,0.08524680137634277
media,7,4,0.1802450567483902
media,7,5,0.11507023125886917
media,7,6,0.08591609448194504
media,7,7,0.07402114570140839
media,7,8,0.0719599723815918
media,7,9,0.012305929325520992
media,8,0,0.0193935539573431
media,8,1,0.2565461993217468
media,8,2,0.09928295761346817
media,8,3,0.08522775769233704
media,8,4,0.1802917867898941
media,8,5,0.11508157104253769
media,8,6,0.08590690046548843
media,8,7,0.0740218535065651
media,8,8,0.07194719463586807
media,8,9,0.012300231494009495
media,9,0,0.019392337650060654
media,9,1,0.2565518021583557
media,9,2,0.09926887601613998
media,9,3,0.08521563559770584
media,9,4,0.18032144010066986
media,9,5,0.11508984863758087
media,9,6,0.08590169250965118
media,9,7,0.07402190566062927
media,9,8,0.07193970680236816
media,9,9,0.01229691319167614
media,10,0,0.019391754642128944
media,10,1,0.2565547227859497
media,10,2,0.09925945848226547
media,10,3,0.08520776778459549
media,10,4,0.1803404986858368
media,10,5,0.11509577184915543
media,10,6,0.08589846640825272
media,10,7,0.07402157038450241
media,10,8,0.07193508744239807
media,10,9,0.012294896878302097
media,11,0,0.0193914957344532
media,11,1,0.25655660033226013
media,11,2,0.0992530882358551
media,11,3,0.0852026417851448
media,11,4,0.18035303056240082
media,11,5,0.11510000377893448
media,11,6,0.08589625358581543
media,11,7,0.07402109354734421
media,11,8,0.07193212956190109
media,11,9,0.012293636798858643
media,12,0,0.019391387701034546
media,12,1,0.25655800104141235
media,12,2,0.09924868494272232
media,12,3,0.08519923686981201
media,12,4,0.1803613156080246
media,12,5,0.11510305851697922
media,12,6,0.08589465171098709
media,12,7,0.07402059435844421
media,12,8,0.07193019986152649
media,12,9,0.012292827479541302
media,13,0,0.019391357898712158
media,13,1,0.25655925273895264
media,13,2,0.0992455929517746
media,13,3,0.08519697934389114
media,13,4,0.1803669035434723
media,13,5,0.11510521918535233
media,13,6,0.0858934223651886
media,13,7,0.074020154774189
media,13,8,0.07192888110876083
media,13,9,0.012292293831706047
media,14,0,0.019391357898712158
media,14,1,0.2565602660179138
media,14,2,0.09924338757991791
media,14,3,0.08519543707370758
media,14,4,0.18037058413028717
media,14,5,0.11510678380727768
media,14,6,0.08589249104261398
media,14,7,0.07401976734399796
media,14,8,0.07192795723676682
media,14,9,0.012291942723095417
media,15,0,0.0193913746625185
media,15,1,0.25656116008758545
media,15,2,0.09924183785915375
media,15,3,0.08519440144300461
media,15,4,0.18037313222885132
media,15,5,0.11510790884494781
media,15,6,0.0858917236328125
media,15,7,0.07401945441961288
media,15,8,0.07192731648683548
media,15,9,0.012291712686419487
media,16,0,0.019391393288969994
media,16,1,0.256561815738678
media,16,2,0.09924066811800003
media,16,3,0.0851937085390091
media,16,4,0.1803748458623886
media,16,5,0.11510873585939407
media,16,6,0.08589113503694534
media,16,7,0.07401920855045319
media,16,8,0.07192685455083847
media,16,9,0.012291556224226952
media,17,0,0.019391417503356934
media,17,1,0.25656241178512573
media,17,2,0.09923986345529556
media,17,3,0.08519324660301208
media,17,4,0.1803760677576065
media,17,5,0.11510930210351944
media,17,6,0.08589068055152893
media,17,7,0.07401902228593826
media,17,8,0.0719265267252922
media,17,9,0.01229144912213087
media,18,0,0.019391434267163277
media,18,1,0.25656288862228394
media,18,2,0.09923922270536423
media,18,3,0.08519288897514343
media,18,4,0.1803768277168274
media,18,5,0.11510971933603287
media,18,6,0.08589030802249908
media,18,7,0.07401886582374573
media,18,8,0.07192627340555191
media,18,9,0.01229138020426035
media,19,0,0.019391460344195366
media,19,1,0.25656330585479736
media,19,2,0.099238820374012
media,19,3,0.08519269526004791
media,19,4,0.18037743866443634
media,19,5,0.11511003971099854
media,19,6,0.0858900398015976
media,19,7,0.07401878386735916
media,19,8,0.07192611694335938
media,19,9,0.012291338294744492
official,0,0,0.01947064884006977
official,0,1,0.2560150623321533
official,0,2,0.10012656450271606
official,0,3,0.08555378019809723
official,0,4,0.17935432493686676
official,0,5,0.11538170278072357
official,0,6,0.08578898757696152
official,0,7,0.07390537858009338
official,0,8,0.07201047241687775
official,0,9,0.012393258512020111
official,1,0,0.019484423100948334
official,1,1,0.25610053539276123
official,1,2,0.09981953352689743
official,1,3,0.08552168309688568
official,1,4,0.17933593690395355
official,1,5,0.11534389108419418
official,1,6,0.08594407886266708
official,1,7,0.0741197019815445
official,1,8,0.07194479554891586
official,1,9,0.012385430745780468
official,2,0,0.019541721791028976
official,2,1,0.25573280453681946
official,2,2,0.09976405650377274
official,2,3,0.08564827591180801
official,2,4,0.17913952469825745
official,2,5,0.11513881385326385
official,2,6,0.08619087934494019
official,2,7,0.07415459305047989
official,2,8,0.0722193643450737
official,2,9,0.012469989247620106
official,3,0,0.019481515511870384
official,3,1,0.2560427784919739
official,3,2,0.09961308538913727
official,3,3,0.08551856130361557
official,3,4,0.17950722575187683
official,3,5,0.1150386780500412
official,3,6,0.08612251281738281
official,3,7,0.07406683266162872
official,3,8,0.072187639772892
official,3,9,0.012421118095517159
official,4,0,0.019435707479715347
official,4,1,0.25630515813827515
official,4,2,0.09948141127824783
official,4,3,0.0854022428393364
official,4,4,0.17983472347259521
official,4,5,0.11502411961555481
official,4,6,0.08602852374315262
official,4,7,0.0740281268954277
official,4,8,0.0720924437046051
official,4,9,0.01236774306744337
official,5,0,0.019412269815802574
official,5,1,0.2564433515071869
official,5,2,0.09939349442720413
official,5,3,0.08532498776912689
official,5,4,0.1800442785024643
official,5,5,0.11503762006759644
official,5,6,0.08596719801425934
official,5,7,0.07401952147483826
official,5,8,0.07202279567718506
official,5,9,0.01233435608446598
official,6,0,0.01940121501684189
official,6,1,0.2565067410469055
official,6,2,0.09933863580226898
official,6,3,0.08527658879756927
official,6,4,0.18016985058784485
official,6,5,0.11505527794361115
official,6,6,0.08593370020389557
official,6,7,0.07401976734399796
official,6,8,0.07198221236467361
official,6,9,0.01231589075177908
official,7,0,0.019395999610424042
official,7,1,0.2565343976020813
official,7,2,0.09930448234081268
official,7,3,0.08524645864963531
official,7,4,0.18024547398090363
official,7,5,0.11507027596235275
official,7,6,0.08591625839471817
official,7,7,0.0740211233496666
official,7,8,0.07195970416069031
official,7,9,0.012305806390941143
official,8,0,0.019393501803278923
