source,time,topic,topic_value
media,0,0,-0.10008443892002106
media,0,1,0.14464403688907623
media,0,2,0.07921531796455383
media,0,3,-0.04660016670823097
media,0,4,-0.10876939445734024
media,1,0,-0.09395970404148102
media,1,1,0.14307956397533417
media,1,2,0.07853248715400696
media,1,3,-0.050152119249105453
media,1,4,-0.11415959149599075
media,2,0,-0.10471488535404205
media,2,1,0.11977656930685043
media,2,2,0.08349896967411041
media,2,3,-0.037326376885175705
media,2,4,-0.10257897526025772
media,3,0,-0.10840107500553131
media,3,1,0.10284529626369476
media,3,2,0.08518868684768677
media,3,3,-0.029561493545770645
media,3,4,-0.0927807167172432
media,4,0,-0.1017681211233139
media,4,1,0.0875251516699791
media,4,2,0.08685879409313202
media,4,3,-0.028242360800504684
media,4,4,-0.08628580719232559
media,5,0,-0.08336682617664337
media,5,1,0.06888207793235779
media,5,2,0.08898408710956573
media,5,3,-0.03292239084839821
media,5,4,-0.08187121897935867
media,6,0,-0.04675425961613655
media,6,1,0.04117342084646225
media,6,2,0.09005947411060333
media,6,3,-0.045437972992658615
media,6,4,-0.0781487300992012
media,7,0,0.029806654900312424
media,7,1,-0.008624694310128689
media,7,2,0.08453421294689178
media,7,3,-0.07458135485649109
media,7,4,-0.07340244203805923
media,8,0,0.1680961698293686
media,8,1,-0.0947675034403801
media,8,2,0.06346161663532257
media,8,3,-0.1289626508951187
media,8,4,-0.06588295847177505
media,9,0,0.31816577911376953
media,9,1,-0.19443432986736298
media,9,2,0.04169628024101257
media,9,3,-0.18570388853549957
media,9,4,-0.0589417889714241
media,10,0,0.4240954518318176
media,10,1,-0.27178269624710083
media,10,2,0.038885414600372314
media,10,3,-0.21951545774936676
media,10,4,-0.05324096232652664
media,11,0,0.493272989988327
media,11,1,-0.3226030766963959
media,11,2,0.04484444856643677
media,11,3,-0.2354721575975418
media,11,4,-0.04609275609254837
media,12,0,0.5367707014083862
media,12,1,-0.3540899455547333
media,12,2,0.049891263246536255
media,12,3,-0.242486372590065
media,12,4,-0.040550149977207184
media,13,0,0.5634052157402039
media,13,1,-0.37323886156082153
media,13,2,0.0524926483631134
media,13,3,-0.2460254281759262
media,13,4,-0.03779885917901993
media,14,0,0.5783949494361877
media,14,1,-0.3846033215522766
media,14,2,0.05329865217208862
media,14,3,-0.24730153381824493
media,14,4,-0.036517538130283356
