M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
covid,coronavirus,medical,health,covid,public,quarantine,april,coronavirus,china
pandemic,march,masks,covid,coronavirus,ministry,february,march,state,travel
government,outbreak,epidemic,care,patients,health,coronavirus,announced,emergency,days
canada,due,control,cases,cdc,measures,cases,closed,spread,passengers
million,february,equipment,hospitals,disease,coronavirus,confirmed,lockdown,police,countries
health,minister,face,hospital,virus,schools,wuhan,government,government,korea
response,spread,china,testing,test,spread,people,measures,president,iran
support,cancelled,prevention,patients,research,people,health,public,military,italy
minister,country,coronavirus,public,clinical,avoid,tested,authorities,city,south
emergency,scheduled,protective,ministry,study,home,positive,flights,country,nationals
food,concerns,supplies,people,drug,school,china,remain,order,allowed
federal,amid,outbreak,coronavirus,testing,covid,authorities,essential,forces,enter
services,announced,million,staff,vaccine,students,days,restrictions,declared,apply
canadian,world,production,medical,published,prevent,virus,country,media,hong
workers,national,central,suspected,researchers,virus,symptoms,covid,virus,kong
provide,iranian,chinese,country,health,march,flight,curfew,governor,japan
billion,events,province,workers,treatment,education,city,suspended,york,quarantine
announced,year,government,facilities,sars,contact,quarantined,people,prevent,foreign
outbreak,statement,february,isolation,data,areas,home,place,part,singapore
economic,held,fight,tests,china,risk,passengers,extended,people,arriving
