time,topic,topic_value,source
0,0,0.07909666746854782,media
0,1,0.07821505516767502,media
0,2,0.0866248831152916,media
0,3,0.0920092910528183,media
0,4,0.09903420507907867,media
0,5,0.08749954402446747,media
0,6,0.14133009314537048,media
0,7,0.14531025290489197,media
0,8,0.06322801858186722,media
0,9,0.1276518851518631,media
1,0,0.07906012237071991,media
1,1,0.07792587578296661,media
1,2,0.08718784153461456,media
1,3,0.09235525131225586,media
1,4,0.09806729108095169,media
1,5,0.08733776956796646,media
1,6,0.1416691541671753,media
1,7,0.14651180803775787,media
1,8,0.06261461973190308,media
1,9,0.12727023661136627,media
2,0,0.07899299263954163,media
2,1,0.07934577763080597,media
2,2,0.08599583804607391,media
2,3,0.09384437650442123,media
2,4,0.09830070286989212,media
2,5,0.08898018300533295,media
2,6,0.14051932096481323,media
2,7,0.14406920969486237,media
2,8,0.06247483566403389,media
2,9,0.127476766705513,media
3,0,0.07854221016168594,media
3,1,0.08071333914995193,media
3,2,0.08537915349006653,media
3,3,0.09475389868021011,media
3,4,0.09829751402139664,media
3,5,0.09019055217504501,media
3,6,0.1397496908903122,media
3,7,0.14135999977588654,media
3,8,0.06279481202363968,media
3,9,0.12821871042251587,media
4,0,0.07844848185777664,media
4,1,0.08168186247348785,media
4,2,0.08487686514854431,media
4,3,0.09543399512767792,media
4,4,0.09800808876752853,media
4,5,0.0909271165728569,media
4,6,0.1386413723230362,media
4,7,0.1403096616268158,media
4,8,0.06317838281393051,media
4,9,0.12849420309066772,media
5,0,0.07888616621494293,media
5,1,0.08229347318410873,media
5,2,0.08424707502126694,media
5,3,0.09594281017780304,media
5,4,0.0975109338760376,media
5,5,0.09134935587644577,media
5,6,0.13665051758289337,media
5,7,0.1413097083568573,media
5,8,0.06373004615306854,media
5,9,0.12807972729206085,media
6,0,0.08036254346370697,media
6,1,0.08258289098739624,media
6,2,0.083128422498703,media
6,3,0.09626990556716919,media
6,4,0.09649220108985901,media
6,5,0.09159653633832932,media
6,6,0.13232234120368958,media
6,7,0.1461593210697174,media
6,8,0.0648060068488121,media
6,9,0.12627966701984406,media
7,0,0.08405858278274536,media
7,1,0.08203268051147461,media
7,2,0.08090905100107193,media
7,3,0.09626159816980362,media
7,4,0.09405875951051712,media
7,5,0.09143161028623581,media
7,6,0.12282008677721024,media
7,7,0.1600283980369568,media
7,8,0.06702571362257004,media
7,9,0.12137365341186523,media
8,0,0.08988160640001297,media
8,1,0.07930619269609451,media
8,2,0.07780850678682327,media
8,3,0.09551054239273071,media
8,4,0.0897165834903717,media
8,5,0.08973371982574463,media
8,6,0.10879137367010117,media
8,7,0.18611863255500793,media
8,8,0.0702136978507042,media
8,9,0.11291917413473129,media
9,0,0.09465516358613968,media
9,1,0.07508709281682968,media
9,2,0.07547375559806824,media
9,3,0.09415043890476227,media
9,4,0.08613739907741547,media
9,5,0.08672742545604706,media
9,6,0.09822894632816315,media
9,7,0.21194402873516083,media
9,8,0.07253687083721161,media
9,9,0.10505907237529755,media
10,0,0.09923577308654785,media
10,1,0.07069189846515656,media
10,2,0.07402188330888748,media
10,3,0.0931536853313446,media
10,4,0.08487790077924728,media
10,5,0.08313062787055969,media
10,6,0.09163795411586761,media
10,7,0.23161867260932922,media
10,8,0.07331208884716034,media
10,9,0.09831961989402771,media
11,0,0.10570818930864334,media
11,1,0.06579763442277908,media
11,2,0.07267450541257858,media
11,3,0.09249171614646912,media
11,4,0.08495678007602692,media
11,5,0.07852821797132492,media
11,6,0.08556745201349258,media
11,7,0.25065428018569946,media
11,8,0.07284829020500183,media
11,9,0.09077305346727371,media
12,0,0.1105094626545906,media
12,1,0.06187714263796806,media
12,2,0.07152669131755829,media
12,3,0.0912964716553688,media
12,4,0.08549265563488007,media
12,5,0.0747932717204094,media
12,6,0.08158674091100693,media
12,7,0.26611751317977905,media
12,8,0.07169748097658157,media
12,9,0.08510259538888931,media
13,0,0.11207358539104462,media
13,1,0.059751175343990326,media
13,2,0.0709158256649971,media
13,3,0.08977634459733963,media
13,4,0.08599723130464554,media
13,5,0.07294666767120361,media
13,6,0.0801912248134613,media
13,7,0.2751806080341339,media
13,8,0.07066299766302109,media
13,9,0.08250446617603302,media
14,0,0.11226458847522736,media
14,1,0.058734290301799774,media
14,2,0.07066705822944641,media
14,3,0.08866532891988754,media
