M0,M1,M2,M3,M4
april,china,coronavirus,covid,health
march,travel,government,patients,coronavirus
announced,passengers,outbreak,coronavirus,cases
public,days,covid,testing,ministry
government,countries,masks,test,people
measures,iran,pandemic,virus,covid
closed,italy,medical,health,public
lockdown,quarantine,million,disease,confirmed
people,south,minister,cdc,virus
authorities,korea,emergency,treatment,february
spread,february,march,research,measures
state,nationals,health,clinical,symptoms
country,allowed,due,study,risk
essential,citizens,canada,tests,case
covid,foreign,support,china,contact
coronavirus,japan,response,drug,authorities
schools,enter,equipment,chinese,medical
remain,hong,supplies,published,country
restrictions,apply,spread,vaccine,control
place,kong,workers,hospital,tested
